ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	278,237,218,258,211	480,513,406,453,402	153,97,144,75,122	247,162,197,139,170	-2	-2
1	0,3,2,1,0	0,3,1,2,0	16,11,7,5,12	8,12,4,4,18	-2	-2
2	1,1,0,1,0	0,0,0,0,1	11,9,12,5,7	12,11,28,14,3	-2	-2
4	24063,24871,22247,27605,24079	25627,26132,24866,31328,27578	21509,18790,22181,17473,17216	21754,15764,20512,16552,16048	-2	-2
5	18909,20038,18316,22118,18662	17250,18009,17598,20594,17640	19682,16063,19955,16149,16133	13800,12166,13458,11080,10682	-2	-2
6	200,291,465,239,269	47062,49065,44482,54477,46878	87,77,167,124,115	44897,37352,45528,36474,36186	-2	-2
7	1,0,6,4,2	95,106,124,104,59	2,2,1,5,7	110,92,126,113,104	-2	-2
8	44,52,64,38,29	95,106,124,104,59	59,74,89,94,69	110,92,126,113,104	-2	-2
9	56,72,60,66,33	132,186,264,157,104	76,79,129,88,80	167,191,189,180,197	-2	-2
10	35,19,29,25,41	72,33,40,52,43	58,20,27,59,35	34,26,31,53,34	-2	-2
11	35,19,29,25,41	3,1,2,2,0	58,20,27,59,35	2,0,0,2,1	-2	-2
12	11,9,8,16,4	18,11,18,15,15	8,13,20,14,2	16,36,21,6,14	-2	-2
13	2,2,3,2,1	0,0,1,2,0	43,13,40,21,13	7,7,8,11,8	-2	-2
14	3,4,3,1,5	89,102,93,93,93	5,1,4,6,3	87,68,91,108,70	-2	-2
15	9,9,17,8,10	59,80,64,81,57	10,8,18,11,6	47,24,41,54,25	-2	-2
16	18,16,5,8,4	16,10,13,12,3	37,20,33,34,30	40,38,48,31,20	-2	-2
17	8,13,7,12,2	9,3,12,8,0	10,10,11,6,5	5,10,8,8,4	-2	-2
18	995,1078,1241,1254,1145	1060,1121,1168,1316,1267	953,809,1069,836,766	579,523,630,551,537	-2	-2
19	182,179,190,166,132	196,176,228,245,187	535,479,745,523,414	439,388,508,352,353	-2	-2
20	199,181,194,239,131	196,177,228,245,188	504,369,641,506,412	439,388,507,353,353	-2	-2
21	8,5,4,10,9	3,5,5,8,4	14,10,29,32,16	9,7,16,5,5	-2	-2
23	3,3,5,2,3	0,0,0,1,0	10,7,13,17,3	0,0,0,0,1	-2	-2
24	2,4,9,2,5	8,9,14,11,11	11,15,10,11,6	6,15,12,12,7	-2	-2
25	5,5,4,3,2	0,1,7,0,0	7,7,26,8,6	21,13,16,10,7	-2	-2
26	6,8,4,8,2	9,12,7,15,16	20,14,25,14,22	21,46,35,29,35	-2	-2
27	0,0,1,0,0	1,0,0,3,0	0,0,0,0,0	2,1,2,2,1	-2	-2
28	13,12,15,14,9	15,10,17,15,14	50,66,105,66,51	45,29,50,40,36	-2	-2
29	1,1,6,3,2	5,10,11,7,14	2,3,3,3,1	11,5,10,13,13	-2	-2
30	43,33,26,35,17	24,37,34,39,32	60,41,64,59,47	47,32,64,25,34	-2	-2
31	0,0,0,0,0	0,1,0,0,0	0,0,0,0,1	0,0,0,0,1	-2	-2
32	7,1,13,6,0	1,0,1,0,0	5,17,10,22,18	3,1,0,0,0	-2	-2
33	32,18,25,23,14	1,1,0,0,0	42,24,41,26,22	2,0,0,0,0	-2	-2
34	7,2,13,8,1	10,7,11,8,3	5,17,10,21,18	15,12,12,9,7	-2	-2
