ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	2,0,0,0,0	0,0,0,0,0	2,0,4,1,3	0,0,2,0,0	2190	-1
1	0,0,0,0,0	0,2,4,2,1	3,0,0,0,0	2,3,6,2,0	88	-1
3	3,6,8,13,5	0,0,0,0,1	5,1,8,2,5	2,0,0,0,0	153	-1
5	0,0,0,0,0	37,48,50,47,56	0,0,1,0,0	166,173,185,140,119	121	-1
7	6,2,4,6,2	2,1,0,0,0	11,3,4,8,11	1,0,3,3,1	86	-1
8	69,33,40,51,43	0,1,2,1,0	34,26,31,51,33	2,0,0,0,0	140	-1
10	0,0,0,1,0	5,4,4,5,1	0,0,0,1,0	1,2,4,2,5	31	-1
11	7,11,10,15,10	0,0,0,0,0	12,12,15,15,2	0,0,3,0,0	1549	-1
12	33,32,25,37,18	0,2,0,0,0	138,133,141,109,120	4,1,1,8,8	29	-1
13	275,264,347,355,257	2,1,0,0,0	286,273,337,263,303	0,0,0,0,0	166	-1
15	121,97,86,115,59	0,0,0,0,0	105,98,140,94,69	1,0,0,1,0	302	-1
18	0,8,2,4,1	3,1,3,0,1	6,8,8,8,1	3,4,1,4,1	8	-1
19	54,76,102,98,71	2,0,2,7,1	48,21,63,92,34	1,1,1,1,2	232	-1
24	13,22,13,29,14	1,0,2,0,0	29,20,51,38,19	0,0,0,0,0	3	-1
26	10,9,10,13,16	0,0,0,0,0	9,5,10,9,14	0,1,0,0,0	89	-1
27	0,0,0,0,0	2,2,5,4,3	3,0,0,0,2	17,27,20,12,16	59	-1
28	336,378,342,401,323	0,1,0,0,1	857,814,1182,771,672	0,0,0,1,0	539	-1
29	2,9,3,4,7	0,0,1,0,0	6,1,7,7,2	0,0,0,0,0	44	-1
30	3,5,1,3,1	5,0,1,2,1	19,3,10,3,2	16,9,9,8,1	11	-1
31	0,1,0,0,0	1,3,0,0,1	0,0,0,0,1	2,0,3,0,6	24	-1
33	0,1,0,1,2	2,1,0,0,0	2,0,2,7,0	1,0,2,0,0	21	-1
34	1,1,1,0,0	3,0,1,1,1	1,0,9,0,0	10,4,21,12,5	75	-1
35	0,7,1,8,1	5,5,4,3,2	5,2,6,2,4	7,7,25,7,6	71	-1
36	4,1,5,5,6	1,0,1,0,0	16,26,35,25,22	0,0,0,1,0	5	-1
39	0,1,0,0,1	2,4,5,6,0	1,2,4,0,3	9,3,8,9,5	6	-1
40	0,1,0,0,0	1,2,0,3,2	1,0,0,0,0	13,24,26,18,13	332	-1
41	5,0,2,3,0	0,1,1,2,0	3,3,15,7,5	1,0,0,1,1	27	-1
43	15,9,10,22,13	726,826,839,892,876	3,4,4,3,3	301,360,354,317,291	71	-1
51	0,0,2,0,0	0,0,0,0,0	0,1,3,5,2	0,1,2,0,0	3	-1
53	14,6,7,10,10	54,59,60,71,67	6,5,5,5,9	37,40,63,28,33	25	-1
54	4,2,3,6,2	0,0,0,1,0	47,40,80,66,41	6,0,3,0,0	125	-1
55	49,66,41,53,39	0,0,0,0,0	239,96,255,200,156	0,0,0,1,0	143	-1
56	10,14,30,12,15	0,1,6,1,0	33,36,39,32,30	0,1,2,4,0	1	-1
58	76,52,49,51,54	0,0,0,0,0	102,105,156,118,104	1,0,0,0,0	7	-1
60	13,19,19,17,14	95,132,95,132,147	55,23,34,45,28	158,161,193,156,155	291	-1
62	0,0,0,0,0	0,0,1,0,0	5,3,2,4,1	4,2,7,6,4	44	-1
68	0,0,0,0,0	2,1,0,4,0	0,0,0,1,0	0,3,0,1,2	3	-1
71	14,12,13,9,6	0,0,0,0,0	27,15,26,26,27	0,1,2,1,0	139	-1
