ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	2,0,0,0,0	0,0,0,0,0	1,0,2,0,0	0,0,1,0,1	2129	-1
2	4070,4578,4284,5050,4599	94,154,250,115,130	5176,3835,5229,4047,4076	29,34,82,58,59	537	-1
4	3,10,9,7,6	28,24,40,37,33	6,10,8,6,5	26,28,10,8,7	86	-1
5	0,0,1,0,0	0,1,3,0,0	1,3,1,1,0	1,1,0,6,0	1673	-1
10	0,0,0,0,0	0,0,0,0,2	0,2,0,2,2	1,2,4,1,1	962	-1
11	1,0,1,0,1	10,14,13,17,10	0,0,0,0,7	25,26,45,33,9	858	-1
14	1,1,1,0,0	1,2,3,1,1	1,0,1,0,0	3,3,1,3,1	241	-1
17	3,1,1,0,0	160,176,176,219,157	0,0,0,0,0	197,213,255,179,184	72	-1
18	22,34,26,45,9	0,1,5,3,3	22,2,19,8,10	2,2,3,1,0	3116	-1
19	0,0,0,0,0	121,97,86,115,59	0,0,1,0,0	105,98,140,94,69	180	-1
21	0,0,0,0,0	10,10,15,12,15	0,0,1,0,0	23,32,35,45,20	168	-1
22	0,0,0,0,0	1,14,2,2,10	0,0,1,0,0	8,11,5,7,6	134	-1
23	0,0,0,0,1	53,54,48,47,56	1,0,0,0,0	69,48,56,86,44	1960	-1
24	2,1,0,3,0	4,1,1,3,3	8,0,5,3,0	43,18,54,32,24	1734	-1
28	69,76,87,116,79	20,13,21,16,27	42,26,37,71,33	11,2,6,12,0	189	-1
29	0,5,4,2,0	23,41,30,33,33	1,7,4,5,2	93,113,116,92,67	75	-1
30	1,4,1,3,0	18,20,23,13,29	1,0,6,3,2	16,42,27,27,31	111	-1
31	5,10,6,12,7	92,105,114,102,131	7,12,7,9,6	115,86,144,108,120	114	-1
32	5,11,13,15,13	50,62,64,52,87	8,12,16,15,7	62,76,81,63,54	82	-1
34	0,1,0,0,0	218,148,318,247,237	0,0,3,1,0	155,197,130,148,78	77	-1
35	0,0,0,0,0	0,1,0,0,0	1,0,1,0,0	0,6,0,1,2	72	-1
39	2,3,1,0,0	3,3,2,10,1	2,5,0,0,0	15,10,15,13,11	119	-1
41	9,6,7,11,8	10,9,10,13,16	14,5,8,8,14	9,5,10,9,14	807	-1
42	9,6,7,11,8	0,0,0,0,0	14,5,8,8,14	0,1,0,0,0	897	-1
43	2,0,0,0,0	6,2,9,5,1	1,0,1,0,1	9,8,10,16,7	282	-1
44	0,0,1,1,0	27,15,26,19,18	3,3,0,1,3	104,132,162,109,79	84	-1
45	0,0,0,0,0	139,132,114,140,83	0,0,0,0,1	546,541,776,525,433	79	-1
46	0,0,0,0,0	199,181,193,239,131	0,0,0,0,1	504,369,640,504,412	401	-1
47	22,23,27,29,19	336,378,342,401,323	42,65,47,39,37	857,814,1182,771,672	238	-1
50	0,0,0,0,0	1,2,0,1,0	0,0,2,0,0	0,0,1,0,2	180	-1
53	3,5,1,3,0	42,17,18,27,10	5,5,1,7,6	40,28,57,60,38	83	-1
54	2,0,1,3,0	0,5,1,2,0	3,0,5,12,2	2,0,4,0,3	3328	-1
55	0,0,2,0,0	23,26,29,19,17	7,2,5,1,0	72,69,79,61,59	491	-1
56	1,7,8,3,6	44,55,50,50,40	6,5,6,4,6	89,61,83,76,48	88	-1
57	2,2,5,6,1	152,203,171,228,223	1,2,0,0,3	99,60,122,86,108	298	-1
58	0,0,0,1,2	129,214,173,180,167	0,0,1,0,0	103,92,117,98,150	106	-1
60	0,0,0,2,0	46,35,17,51,24	0,0,1,2,1	141,117,231,177,99	252	-1
64	0,2,0,0,2	0,1,6,2,5	1,0,1,0,0	3,0,6,5,8	1161	-1
67	0,1,0,2,1	3,4,3,6,6	2,0,0,0,0	14,1,3,1,5	161	-1
68	8,16,8,17,16	69,66,78,73,66	15,2,17,20,9	52,69,89,69,43	79	-1
70	1,0,1,0,0	10,7,11,8,3	1,1,0,0,1	15,12,12,9,7	1435	-1
73	0,0,1,2,1	454,504,538,459,566	2,1,0,0,2	353,547,360,359,232	268	-1
74	7,1,4,4,2	15,21,15,11,12	6,9,14,12,8	31,33,26,46,22	1167	-1
77	0,0,0,0,0	2,17,8,27,10	0,0,0,1,0	46,37,57,36,32	210	-1
78	9,1,4,3,1	54,59,60,71,67	1,2,5,1,1	37,40,63,28,33	148	-1
79	9,1,4,3,1	14,6,7,10,10	1,0,5,1,1	6,5,5,5,9	122	-1
80	0,0,0,0,0	2,0,0,0,0	0,0,0,1,0	0,0,0,0,0	1163	-1
84	0,0,0,0,0	8,5,3,3,5	3,2,1,2,0	11,7,8,17,9	974	-1
87	0,0,1,0,0	5,14,12,5,1	0,1,0,0,0	20,8,29,15,20	1675	-1
89	0,1,1,0,0	4,6,3,1,6	4,4,5,5,3	13,15,24,19,14	1284	-1
90	0,0,0,0,0	7,6,9,7,14	0,0,0,1,0	30,28,52,21,19	170	-1
91	3,12,16,9,5	0,1,4,5,3	3,7,15,11,11	2,0,4,0,5	212	-1
92	1,2,4,2,3	142,148,187,195,181	1,0,2,1,2	109,144,117,124,99	206	-1
94	0,0,0,0,0	5,2,4,2,0	0,1,0,0,0	3,2,4,4,4	674	-1
95	2,0,2,0,0	6,9,11,9,6	0,1,0,1,0	3,6,7,7,5	665	-1
98	6,3,9,2,4	115,133,187,173,199	1,3,5,2,3	129,93,157,140,104	81	-1
99	1,0,6,3,5	2,1,3,2,2	7,6,15,25,7	16,7,20,17,9	408	-1
106	2,0,0,0,0	41,41,36,40,46	0,0,0,0,0	38,47,37,36,32	72	-1
107	4,1,1,3,3	13,19,21,21,25	0,2,2,2,1	20,9,37,19,11	345	-1
108	5,6,2,1,4	19,25,13,19,18	2,0,5,1,4	27,14,39,27,13	100	-1
109	2,4,2,4,4	0,1,0,0,0	3,1,3,0,3	0,0,0,0,1	491	-1
110	6,12,1,9,4	23,26,16,18,31	8,1,11,1,4	41,25,42,46,20	325	-1
111	6,8,0,5,0	0,0,0,0,1	5,0,8,1,2	0,0,0,0,0	527	-1
112	12,12,11,15,7	0,0,0,2,1	12,8,24,13,10	0,4,0,1,2	148	-1
113	2,0,0,0,0	8,8,6,4,3	0,0,0,0,0	17,22,24,11,11	96	-1
123	0,0,0,0,0	4,1,0,0,1	1,0,1,0,3	2,2,15,6,6	307	-1
127	15,8,14,26,24	154,184,165,201,211	22,7,25,22,9	209,253,349,270,185	92	-1
