ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	12,2,11,17,15	0,2,2,1,1	7,13,11,9,14	2,0,1,1,0	189	-1
1	0,2,0,0,3	0,0,0,0,0	9,1,3,2,0	0,0,1,0,1	85	-1
7	19,20,22,24,29	2,0,0,0,2	171,118,223,136,106	2,8,5,8,3	98	-1
8	11,7,9,13,11	0,0,0,0,0	78,58,90,57,60	0,0,0,1,0	65	-1
9	39,53,48,54,35	10,19,11,11,6	116,104,148,114,87	23,12,33,22,22	83	-1
10	1,1,3,0,2	73,75,81,69,73	1,0,0,0,0	94,65,126,91,71	134	-1
11	140,183,164,164,125	0,0,0,0,0	203,150,230,139,145	0,0,0,0,1	131	-1
12	287,240,251,223,184	2,1,0,0,0	204,172,165,117,140	0,0,0,0,0	110	-1
13	4,4,5,4,2	1,0,0,0,0	4,1,0,0,1	0,0,0,0,0	71	-1
14	47,57,59,45,37	1,0,0,0,0	40,36,28,22,23	0,0,0,0,0	20	-1
15	641,619,517,568,466	0,0,2,0,0	408,278,352,266,337	0,0,0,0,0	68	-1
16	275,273,225,248,213	0,0,2,0,0	176,121,162,111,147	0,0,0,0,0	58	-1
17	644,584,560,631,475	1,0,2,1,0	368,243,316,181,286	0,0,0,0,1	103	-1
18	5,7,4,5,6	366,350,344,376,268	2,1,2,6,1	217,151,172,108,164	133	-1
19	834,847,734,807,660	0,3,2,3,4	452,307,363,242,328	2,5,0,2,0	86	-1
20	1,0,0,0,1	505,538,434,473,422	0,0,0,2,1	251,162,211,154,178	64	-1
22	0,1,0,2,1	0,0,0,0,0	6,7,9,14,2	6,0,8,3,1	167	-1
23	0,2,0,0,0	0,1,0,0,0	0,0,1,2,0	5,6,4,4,1	55	-1
24	0,0,0,0,0	0,2,4,2,1	0,0,1,0,0	2,3,6,2,0	147	-1
27	218,237,264,193,200	1,0,0,0,0	198,275,180,240,266	0,3,0,1,0	82	-1
28	219,231,258,198,196	1,0,0,0,0	196,280,179,239,263	0,3,0,1,0	97	-1
30	0,0,0,0,1	0,0,0,0,0	0,0,0,0,0	2,0,1,0,0	194	-1
31	0,0,0,0,1	0,0,0,0,0	0,0,0,0,0	0,0,0,1,0	36	-1
32	1,1,1,1,33	0,0,0,3,0	10,2,1,2,1	0,0,0,1,0	118	-1
33	265,282,243,317,358	0,0,0,0,0	287,151,263,215,180	1,2,0,0,0	118	-1
