"","unique.se_cutoff.geneSymbol.","rep.1..length.unique.se_cutoff.geneSymbol..."
"1","Mlf1",1
"2","Hnrnpf",1
"3","P2rx4",1
"4","Adgre5",1
"5","Amn1",1
"6","Trak2",1
"7","Kansl1",1
"8","Ddx39",1
"9","Lrrc20",1
"10","Ube2e2",1
"11","Fam193b",1
"12","Gm49395",1
"13","Rmnd1",1
"14","Zfp106",1
"15","Neo1",1
"16","Rnf14",1
"17","Gsk3b",1
"18","Ssbp2",1
"19","Eif4g2",1
"20","Ppp6r3",1
"21","4833439L19Rik",1
"22","Col11a2",1
"23","Crtc2",1
"24","Neurl4",1
"25","Fam171a1",1
"26","Clip2",1
"27","Tnnt1",1
"28","Cdc42bpa",1
"29","Slc29a1",1
"30","Kif21a",1
"31","Ptprm",1
"32","Kdm3b",1
"33","Odf2l",1
"34","Zfp362",1
"35","Usf2",1
"36","Qrsl1",1
"37","Chd3",1
"38","Eef2k",1
"39","Tasp1",1
"40","Zfp825",1
"41","Nars",1
"42","Armc8",1
"43","Dock6",1
"44","Ehmt1",1
"45","Mthfd2l",1
"46","Pqlc3",1
"47","Enah",1
"48","Crlf3",1
"49","Cables1",1
"50","Mtf2",1
"51","Cdkl3",1
"52","Zfp839",1
"53","Tia1",1
"54","Edc3",1
"55","Ankrd17",1
"56","Zmiz1",1
"57","Adal",1
"58","Epb41",1
"59","Crim1",1
"60","Srl",1
"61","Hnrnpa2b1",1
"62","Osbpl9",1
"63","Gtf2ird1",1
"64","Thrap3",1
"65","Otulin",1
"66","Nbr1",1
"67","Mdm2",1
"68","Tfdp2",1
"69","Cttn",1
"70","Camta2",1
"71","Ttn",1
"72","Mybpc1",1
"73","Emc1",1
"74","Gbf1",1
"75","Tmem255b",1
"76","Rab5b",1
"77","Kdm5a",1
"78","Gtpbp8",1
"79","Lrch3",1
"80","Zfp384",1
"81","St6galnac6",1
"82","Zfp346",1
"83","Sirt5",1
"84","Opa1",1
"85","Optn",1
"86","Zfp280c",1
"87","Iffo2",1
"88","Rai1",1
"89","Bcor",1
"90","Dis3",1
"91","Mia2",1
"92","Erg",1
"93","Psmd5",1
"94","Rcor3",1
"95","Ttc14",1
"96","Phf14",1
"97","Spopl",1
"98","Smarcad1",1
"99","Ncam1",1
"100","Kif13a",1
"101","Mtg2",1
"102","Macf1",1
"103","Rgs12",1
"104","Meaf6",1
"105","Rian",1
"106","Rps24",1
"107","Mir99ahg",1
"108","Larp4b",1
"109","Tmem234",1
