ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	2,0,4,1,3	0,0,2,0,0	0,0,1	0,0,0	-2	-1
1	3,0,0,0,0	2,3,6,2,0	0,0,0	1,2,4	-2	-1
3	5,1,8,2,5	2,0,0,0,0	1,0,0	0,0,0	-2	-1
5	0,0,1,0,0	166,173,185,140,119	0,0,0	86,114,113	-2	-1
7	11,3,4,8,11	1,0,3,3,1	9,3,2	0,0,0	-2	-1
8	34,26,31,51,33	2,0,0,0,0	50,58,55	1,3,0	-2	-1
10	0,0,0,1,0	1,2,4,2,5	0,0,0	1,0,4	-2	-1
11	12,12,15,15,2	0,0,3,0,0	9,32,16	0,0,0	-2	-1
12	138,133,141,109,120	4,1,1,8,8	85,122,112	3,6,6	-2	-1
14	105,98,140,94,69	1,0,0,1,0	28,25,15	0,0,0	-2	-1
17	6,8,8,8,1	3,4,1,4,1	3,12,3	0,3,2	-2	-1
18	48,21,63,92,34	1,1,1,1,2	23,22,30	0,2,4	-2	-1
20	5,10,6,10,4	0,0,0,0,0	1,4,5	0,1,0	-2	-1
23	29,20,51,38,19	0,0,0,0,0	33,18,14	0,0,1	-2	-1
25	9,5,10,9,14	0,1,0,0,0	12,8,6	0,0,0	-2	-1
26	3,0,0,0,2	17,27,20,12,16	2,1,1	13,59,45	-2	-1
27	857,814,1182,771,672	0,0,0,1,0	666,405,369	1,0,0	-2	-1
29	19,3,10,3,2	16,9,9,8,1	7,3,1	1,1,0	-2	-1
30	0,0,0,0,1	2,0,3,0,6	0,0,0	0,0,1	-2	-1
32	2,0,2,7,0	1,0,2,0,0	0,0,0	1,0,1	-2	-1
33	1,0,9,0,0	10,4,21,12,5	0,0,0	8,3,1	-2	-1
34	5,2,6,2,4	7,7,25,7,6	1,2,2	7,6,1	-2	-1
35	16,26,35,25,22	0,0,0,1,0	8,26,29	0,1,4	-2	-1
38	1,2,4,0,3	9,3,8,9,5	1,3,3	1,10,3	-2	-1
39	1,0,0,0,0	13,24,26,18,13	0,0,0	6,30,34	-2	-1
40	3,3,15,7,5	1,0,0,1,1	3,3,2	2,5,3	-2	-1
42	3,4,4,3,3	301,360,354,317,291	3,15,3	295,185,213	-2	-1
50	0,1,3,5,2	0,1,2,0,0	1,0,0	2,1,0	-2	-1
51	717,1075,870,783,648	0,0,0,0,0	469,613,534	1,0,0	-2	-1
53	6,5,5,5,9	37,40,63,28,33	4,4,1	35,6,14	-2	-1
54	47,40,80,66,41	6,0,3,0,0	40,33,31	0,0,0	-2	-1
55	239,96,255,200,156	0,0,0,1,0	176,89,80	0,0,0	-2	-1
56	33,36,39,32,30	0,1,2,4,0	11,12,14	1,0,1	-2	-1
58	102,105,156,118,104	1,0,0,0,0	73,79,74	0,0,0	-2	-1
60	55,23,34,45,28	158,161,193,156,155	39,32,23	144,234,181	-2	-1
62	5,3,2,4,1	4,2,7,6,4	1,3,1	7,3,5	-2	-1
68	0,0,0,1,0	0,3,0,1,2	0,0,1	0,5,3	-2	-1
71	27,15,26,26,27	0,1,2,1,0	21,20,18	0,0,0	-2	-1
72	7,9,7,9,4	0,0,1,0,0	4,5,3	0,0,0	-2	-1
73	4,6,2,3,2	13,11,24,12,20	3,3,2	5,6,8	-2	-1
74	30,15,42,27,15	0,0,0,0,1	7,17,7	0,0,0	-2	-1
76	7,3,8,5,1	22,29,52,46,12	8,1,3	20,13,18	-2	-1
84	5,17,18,6,5	1,6,5,2,2	9,20,10	5,10,6	-2	-1
87	2,5,10,10,1	2,2,6,2,0	6,3,4	0,0,2	-2	-1
88	1,0,0,0,0	1,4,0,2,0	0,0,0	0,2,1	-2	-1
89	328,308,378,272,282	1,0,0,2,1	306,173,284	0,1,1	-2	-1
91	27,11,28,27,13	40,29,23,27,14	6,19,17	11,9,15	-2	-1
94	0,0,0,0,1	1,1,4,9,6	3,0,0	4,0,0	-2	-1
101	28,25,83,39,16	2,0,0,2,1	16,11,9	2,0,0	-2	-1
102	1,2,1,0,0	0,0,0,1,0	0,1,1	1,0,1	-2	-1
114	1,1,0,0,0	6,3,4,8,5	0,0,0	8,6,1	-2	-1
115	0,1,0,1,1	73,65,79,51,48	0,0,2	30,39,39	-2	-1
117	4,2,8,3,1	1,2,0,0,1	4,4,6	0,0,0	-2	-1
118	3,0,5,1,3	9,9,16,6,11	7,2,1	14,12,3	-2	-1
119	0,2,0,1,1	0,1,0,0,0	1,0,0	0,0,0	-2	-1
120	9,9,16,6,11	15,6,5,12,4	14,12,3	5,3,5	-2	-1
