ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	1,0,2,0,0	0,0,1,0,1	0,0,0	0,1,0	-2	-1
2	5176,3835,5229,4047,4076	29,34,82,58,59	3156,1688,1280	35,35,26	-2	-1
4	6,10,8,6,5	26,28,10,8,7	4,8,9	9,51,33	-2	-1
5	1,3,1,1,0	1,1,0,6,0	0,0,0	2,2,0	-2	-1
10	0,2,0,2,2	1,2,4,1,1	1,1,2	3,2,1	-2	-1
11	0,0,0,0,7	25,26,45,33,9	1,0,0	19,2,8	-2	-1
14	1,0,1,0,0	3,3,1,3,1	0,0,0	0,3,0	-2	-1
17	0,0,0,0,0	197,213,255,179,184	2,0,3	154,174,188	-2	-1
18	22,2,19,8,10	2,2,3,1,0	5,4,2	0,0,0	-2	-1
19	0,0,1,0,0	105,98,140,94,69	0,0,0	28,25,15	-2	-1
21	0,0,1,0,0	23,32,35,45,20	0,0,0	10,6,5	-2	-1
22	0,0,1,0,0	8,11,5,7,6	0,0,0	4,0,1	-2	-1
23	1,0,0,0,0	69,48,56,86,44	0,0,1	62,75,73	-2	-1
24	8,0,5,3,0	43,18,54,32,24	2,1,2	22,4,7	-2	-1
28	42,26,37,71,33	11,2,6,12,0	13,25,20	4,7,3	-2	-1
29	1,7,4,5,2	93,113,116,92,67	0,8,0	45,34,34	-2	-1
30	1,0,6,3,2	16,42,27,27,31	1,0,0	18,11,8	-2	-1
31	7,12,7,9,6	115,86,144,108,120	6,7,3	85,56,62	-2	-1
32	8,12,16,15,7	62,76,81,63,54	3,5,6	23,27,29	-2	-1
34	0,0,3,1,0	155,197,130,148,78	0,0,1	97,221,194	-2	-1
35	1,0,1,0,0	0,6,0,1,2	1,0,0	4,1,5	-2	-1
36	0,0,0,0,0	2,6,1,0,4	1,0,0	5,3,4	-2	-1
38	0,0,0,0,0	100,71,78,56,77	1,1,1	364,602,1013	-2	-1
39	2,5,0,0,0	15,10,15,13,11	0,1,0	4,4,5	-2	-1
41	14,5,8,8,14	9,5,10,9,14	2,1,3	12,8,6	-2	-1
