ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	153,97,144,75,122	247,162,197,139,170	109,127,112	152,192,221	103	86
1	16,11,7,5,12	8,12,4,4,18	1,3,0	1,1,0	189	127
2	11,9,12,5,7	12,11,28,14,3	2,0,0	3,3,5	66	85
3	2,1,2,0,0	0,0,0,0,0	0,0,0	0,1,0	76	58
4	87,77,167,124,115	44897,37352,45528,36474,36186	66,73,59	27159,17255,13412	75	75
5	2,2,1,5,7	110,92,126,113,104	0,1,0	13,13,33	274	238
6	59,74,89,94,69	110,92,126,113,104	18,19,27	13,13,33	119	238
7	1,0,2,1,0	167,191,189,179,197	0,0,0	39,30,23	238	125
8	76,79,129,88,80	167,191,189,180,197	25,28,21	38,30,23	238	125
9	58,20,27,59,35	34,26,31,53,34	71,101,97	50,58,55	108	558
10	58,20,27,59,35	2,0,0,2,1	71,101,97	1,3,0	108	417
11	8,13,20,14,2	16,36,21,6,14	1,6,8	12,11,12	128	140
12	6,6,9,14,12	4,2,15,5,7	5,9,6	3,8,11	108	128
13	43,13,40,21,13	7,7,8,11,8	12,18,19	4,10,14	104	55
14	5,1,4,6,3	87,68,91,108,70	3,3,6	76,77,83	42	98
15	10,8,18,11,6	47,24,41,54,25	7,6,7	39,14,16	179	55
16	36,20,33,34,29	30,33,33,10,17	32,22,18	5,6,8	124	145
17	37,20,33,34,30	40,38,48,31,20	32,22,19	14,25,24	124	111
18	10,10,11,6,5	5,10,8,8,4	6,8,4	1,4,6	202	57
19	535,479,745,523,414	439,388,508,352,353	450,347,312	296,311,287	683	89
20	504,369,641,506,412	439,388,507,353,353	421,188,197	297,311,287	137	89
21	14,10,29,32,16	9,7,16,5,5	4,9,4	9,4,2	104	248
23	10,7,13,17,3	0,0,0,0,1	4,7,13	0,0,0	133	105
24	40,15,38,38,23	32,13,38,27,22	34,25,28	31,19,16	127	134
25	11,15,10,11,6	6,15,12,12,7	7,16,21	18,9,8	72	79
26	7,7,26,8,6	21,13,16,10,7	7,6,2	12,9,3	143	207
27	20,14,25,14,22	21,46,35,29,35	18,16,20	16,17,7	83	103
29	50,66,105,66,51	45,29,50,40,36	25,46,31	17,22,19	152	146
30	2,1,3,0,2	44,31,48,43,35	0,6,8	17,22,19	56	146
31	2,1,3,0,2	0,0,3,0,0	0,6,8	0,2,3	56	116
32	60,41,64,59,47	47,32,64,25,34	27,38,28	17,35,21	85	84
33	0,0,0,0,1	0,0,0,0,1	0,1,1	4,5,4	34	17
34	5,17,10,22,18	3,1,0,0,0	5,3,7	0,1,0	275	1588
35	42,24,41,26,22	2,0,0,0,0	6,13,16	1,0,0	120	52
36	7,17,10,21,18	2,3,0,1,4	5,3,7	0,1,0	275	120
38	269,455,277,265,172	0,0,0,0,0	156,319,263	1,0,0	75	174
40	936,668,1112,851,781	2214,1556,2498,1797,1776	1472,1526,1750	3315,3968,4508	63	149
41	6,2,7,1,5	8,1,3,6,2	1,0,0	1,4,2	62	134
42	18,10,23,12,13	0,0,0,0,0	5,6,14	0,1,0	56	101
43	252,229,266,247,237	2,2,0,2,1	231,335,305	1,1,0	154	372
44	252,229,266,247,237	111,105,137,109,130	231,335,305	111,170,120	154	80
45	490,416,506,467,384	2,1,0,1,0	404,568,517	3,0,2	154	19
46	11,7,7,6,3	6,6,13,10,4	7,1,0	2,5,2	98	210
47	48,51,50,42,21	37,28,48,56,42	18,31,6	29,10,15	95	111
48	37,18,48,42,23	14,3,19,20,22	13,12,14	16,8,6	119	71
49	11,9,12,9,8	10,3,23,19,10	8,6,6	5,7,13	123	103
50	6,5,7,6,10	7,10,11,7,9	4,7,12	10,5,4	98	123
