ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	7,13,11,9,14	2,0,1,1,0	10,10,10	1,1,0	189	-1
1	9,1,3,2,0	0,0,1,0,1	2,0,1	0,1,0	85	-1
3	0,0,3,0,3	0,0,2,0,0	0,1,1	0,0,0	60	-1
7	171,118,223,136,106	2,8,5,8,3	158,193,223	7,8,2	98	-1
8	78,58,90,57,60	0,0,0,1,0	73,100,125	0,0,0	65	-1
9	1,8,2,7,2	1,0,0,0,0	6,10,2	0,0,0	65	-1
10	116,104,148,114,87	23,12,33,22,22	119,127,100	16,34,20	83	-1
11	1,0,0,0,0	94,65,126,91,71	2,0,0	82,31,43	134	-1
12	203,150,230,139,145	0,0,0,0,1	122,125,111	0,0,0	131	-1
13	254,187,210,175,203	0,0,0,0,0	147,181,186	0,0,1	20	-1
14	368,243,316,181,286	0,0,0,0,1	238,329,290	3,0,2	103	-1
15	2,1,2,6,1	217,151,172,108,164	4,0,1	130,202,178	133	-1
16	452,307,363,242,328	2,5,0,2,0	275,385,389	1,0,0	86	-1
17	0,0,0,2,1	251,162,211,154,178	0,1,2	151,204,226	64	-1
19	6,7,9,14,2	6,0,8,3,1	3,2,2	0,0,2	167	-1
20	0,0,1,2,0	5,6,4,4,1	0,0,0	0,1,2	55	-1
21	0,0,1,0,0	2,3,6,2,0	0,0,0	1,2,4	147	-1
24	198,275,180,240,266	0,3,0,1,0	78,217,210	0,0,0	82	-1
25	196,280,179,239,263	0,3,0,1,0	82,213,207	0,0,0	97	-1
26	0,0,0,1,0	2,0,1,0,0	0,2,4	0,3,0	83	-1
30	287,151,263,215,180	1,2,0,0,0	133,67,85	0,0,0	118	-1
31	202,197,275,162,193	7,2,1,2,1	115,75,94	0,0,0	72	-1
32	4,0,6,2,0	0,1,0,0,0	6,3,3	0,0,0	182	-1
33	5,0,10,3,3	5,0,1,0,1	1,1,6	2,3,0	138	-1
34	3,5,2,8,6	0,0,0,1,0	3,2,13	0,0,0	92	-1
35	2,4,3,7,5	0,2,0,0,0	2,2,13	0,1,3	92	-1
36	2,3,2,7,5	0,0,0,1,0	2,2,13	0,0,0	111	-1
37	2,3,2,7,5	0,2,0,0,0	2,2,13	0,1,3	111	-1
38	0,0,0,1,0	0,2,0,0,0	0,0,0	0,1,3	109	-1
39	1,2,0,1,1	0,1,1,0,0	1,0,0	0,0,0	109	-1
43	224,214,288,259,216	0,0,0,2,0	118,135,134	0,0,0	122	-1
44	39,60,27,22,77	2,0,0,0,0	4,3,0	0,0,0	127	-1
45	45,59,31,23,71	0,0,1,0,0	4,5,0	0,0,0	189	-1
46	47,38,56,33,35	0,0,1,0,0	17,28,21	0,0,0	195	-1
48	27,22,42,29,14	0,0,1,0,0	7,4,5	0,0,0	85	-1
49	12,11,28,14,3	0,0,1,0,0	3,3,5	0,0,0	85	-1
50	11,9,12,5,7	0,0,1,0,0	2,0,0	0,0,0	66	-1
51	26,20,28,23,18	1,0,1,0,0	10,1,0	0,0,0	66	-1
52	1,0,0,0,0	0,0,0,0,0	4,0,0	0,1,0	44	-1
54	0,0,0,0,0	1,0,2,0,0	0,1,0	0,0,0	58	-1
59	364,276,417,378,264	0,2,0,2,1	209,86,96	0,0,0	167	-1
60	143,264,238,136,142	43,56,54,53,29	167,93,140	9,9,13	86	-1
61	97,134,127,112,85	1,1,6,0,0	40,38,38	0,0,0	71	-1
62	61,25,107,68,40	0,0,0,0,2	35,10,14	0,0,0	50	-1
66	37,38,48,41,40	1,0,0,0,0	35,22,19	0,0,0	95	-1
67	43838,33761,42048,34059,33150	4,14,11,7,7	25557,18114,13654	1,0,0	69	-1
68	5,6,3,4,6	1,0,0,0,0	12,3,2	0,0,0	62	-1
69	16265,13616,16183,13097,12680	29,34,82,58,59	9691,5195,4082	35,35,26	75	-1
70	44897,37352,45528,36474,36186	3,1,0,1,0	27159,17255,13412	11,4,4	75	-1
71	87,77,167,124,115	3,1,0,1,0	66,73,59	11,4,4	75	-1
72	64,45,87,68,58	28795,23835,29480,23499,23622	33,40,36	17565,12111,9356	75	-1
80	12,4,6,13,25	0,0,3,4,3	3,19,5	0,2,3	195	-1
81	5,2,4,11,14	2,1,6,1,8	2,8,4	0,0,3	195	-1
82	15,10,23,18,40	2,1,6,1,8	7,8,7	0,0,3	88	-1
83	22,12,22,18,47	0,0,0,2,0	8,17,5	0,0,0	88	-1
84	20,7,18,17,41	0,0,2,0,0	16,2,4	0,1,0	317	-1
85	13,18,5,6,6	0,1,2,2,1	4,35,22	3,0,0	51	-1
86	22,16,5,3,1	1,3,1,1,0	6,19,17	1,5,5	99	-1
87	22,16,5,3,1	1,3,1,1,0	6,21,22	1,5,5	272	-1
90	6,4,13,3,5	9,13,20,15,10	4,8,7	5,32,29	200	-1
91	24,20,27,25,11	0,3,1,0,0	19,15,18	0,1,1	65	-1
92	82,82,101,93,65	1,1,0,6,0	49,70,54	2,2,0	92	-1
94	5,2,3,0,2	0,0,0,0,0	2,3,2	0,0,1	278	-1
95	4,0,3,2,0	3,0,2,0,1	2,1,0	1,3,1	247	-1
97	0,0,0,0,0	0,0,1,0,0	1,1,0	0,0,0	94	-1
105	87,68,105,63,68	0,0,2,2,0	16,15,28	1,0,0	124	-1
106	78,81,130,91,87	1,0,2,0,0	25,29,21	0,0,0	274	-1
107	2,2,1,5,7	0,0,0,0,0	0,1,0	1,0,0	274	-1
108	135,153,218,180,149	1,0,2,0,0	43,47,48	0,0,0	119	-1
109	59,74,89,94,69	0,0,0,0,0	18,19,27	1,0,0	119	-1
110	110,92,126,113,104	0,0,0,0,0	13,13,33	1,0,0	238	-1
111	185,171,253,200,184	0,0,0,1,0	38,41,54	0,0,0	238	-1
112	276,283,313,292,301	0,0,0,1,0	51,43,56	0,0,0	125	-1
116	0,0,0,0,0	1,2,8,1,0	0,0,1	2,0,0	109	-1
117	1478,1803,1624,1363,1174	0,1,0,0,0	910,988,891	0,0,0	181	-1
118	331,382,364,372,359	50,33,24,33,37	478,548,671	74,73,24	44	-1
120	11,7,27,11,13	13,26,25,17,9	5,5,6	4,22,11	104	-1
121	110,48,48,102,68	0,0,0,2,1	122,180,174	0,0,0	108	-1
122	54,28,21,43,33	0,0,0,0,0	52,83,78	0,1,1	417	-1
123	86,54,52,94,66	0,0,0,0,0	101,138,133	0,1,1	558	-1
124	51,36,44,45,52	0,1,0,0,0	30,58,47	0,0,0	128	-1
125	40,32,48,38,37	0,0,2,0,0	34,31,16	0,0,0	159	-1
127	115,100,147,105,89	3,3,8,2,3	84,125,122	1,1,4	134	-1
128	142,123,135,93,63	0,0,1,0,0	90,65,95	0,0,0	91	-1
129	70,67,89,62,60	0,0,0,0,0	46,39,32	0,1,0	93	-1
130	62,31,62,70,51	0,0,0,0,0	74,48,41	1,0,0	125	-1
132	5,11,21,15,9	0,2,1,2,0	6,2,4	0,0,0	285	-1
133	17,23,33,30,11	0,2,1,2,0	15,34,20	0,0,0	1835	-1
134	14,12,18,17,2	0,0,3,0,0	9,33,16	0,0,0	478	-1
135	1438,1890,1521,1226,1178	0,1,0,0,0	1133,805,682	0,0,0	95	-1
