ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0,0,0,0	0,2,4,2,1	0,3,0	0,0,1	-2	-1
2	3,6,8,13,5	0,0,0,0,1	2,0,0	0,0,0	-2	-1
6	6,2,4,6,2	2,1,0,0,0	4,6,2	0,0,0	-2	-1
7	69,33,40,51,43	0,1,2,1,0	115,101,106	0,1,0	-2	-1
9	0,0,0,1,0	5,4,4,5,1	0,0,0	0,0,3	-2	-1
11	33,32,25,37,18	0,2,0,0,0	97,116,70	2,6,3	-2	-1
12	275,264,347,355,257	2,1,0,0,0	266,286,268	0,0,0	-2	-1
16	0,8,2,4,1	3,1,3,0,1	2,10,6	0,1,2	-2	-1
17	54,76,102,98,71	2,0,2,7,1	34,42,33	4,5,2	-2	-1
22	13,22,13,29,14	1,0,2,0,0	13,22,9	0,0,0	-2	-1
25	0,0,0,0,0	2,2,5,4,3	1,3,3	20,14,19	-2	-1
26	336,378,342,401,323	0,1,0,0,1	658,590,668	0,2,2	-2	-1
27	2,9,3,4,7	0,0,1,0,0	1,7,3	0,0,2	-2	-1
28	3,5,1,3,1	5,0,1,2,1	6,6,5	4,2,2	-2	-1
29	0,1,0,0,0	1,3,0,0,1	0,0,0	0,1,0	-2	-1
31	0,1,0,1,2	2,1,0,0,0	0,3,1	0,0,3	-2	-1
32	1,1,1,0,0	3,0,1,1,1	0,1,0	9,7,4	-2	-1
33	0,7,1,8,1	5,5,4,3,2	2,1,3	6,8,1	-2	-1
34	4,1,5,5,6	1,0,1,0,0	5,24,11	1,1,0	-2	-1
37	0,1,0,0,1	2,4,5,6,0	0,2,5	5,3,2	-2	-1
38	0,1,0,0,0	1,2,0,3,2	0,0,2	8,8,10	-2	-1
39	5,0,2,3,0	0,1,1,2,0	0,2,2	1,1,0	-2	-1
41	15,9,10,22,13	726,826,839,892,876	13,11,4	347,437,317	-2	-1
51	14,6,7,10,10	54,59,60,71,67	5,2,10	38,29,49	-2	-1
52	4,2,3,6,2	0,0,0,1,0	24,61,9	0,0,0	-2	-1
54	10,14,30,12,15	0,1,6,1,0	16,18,15	1,0,1	-2	-1
57	13,19,19,17,14	95,132,95,132,147	26,64,36	192,238,180	-2	-1
68	14,12,13,9,6	0,0,0,0,0	19,28,18	0,3,0	-2	-1
70	11,12,5,8,5	7,9,8,21,15	3,6,3	14,10,24	-2	-1
71	19,29,14,23,22	0,1,0,0,0	17,19,11	1,0,0	-2	-1
72	19,25,13,19,18	0,0,0,0,0	17,17,10	0,0,3	-2	-1
74	0,0,0,1,0	3,2,1,4,1	0,2,1	3,17,6	-2	-1
77	6,17,6,6,11	0,1,0,0,0	17,12,3	0,0,0	-2	-1
78	1487,1285,1700,1311,1434	0,0,0,2,0	1456,1341,1471	0,0,0	-2	-1
79	1,0,0,0,0	2,1,0,0,3	0,1,0	1,0,0	-2	-1
80	1,0,1,0,0	2,1,2,6,7	0,0,0	1,1,1	-2	-1
83	36,27,36,35,24	0,0,1,0,0	5,8,6	0,0,1	-2	-1
84	1,0,0,1,0	0,0,0,0,0	0,16,2	2,2,0	-2	-1
87	0,0,1,0,0	2,1,0,1,0	5,7,2	0,3,1	-2	-1
88	0,0,1,0,0	0,0,0,0,0	0,0,0	0,2,0	-2	-1
89	160,151,220,183,227	1,0,2,1,0	251,399,269	0,1,0	-2	-1
91	5,7,7,12,7	6,4,6,8,7	9,12,14	11,12,18	-2	-1
94	0,0,0,0,0	3,4,5,7,3	0,0,1	1,4,3	-2	-1
99	0,0,0,0,1	3,0,5,3,0	0,1,0	3,0,1	-2	-1
101	8,9,14,10,9	1,0,0,0,0	8,11,11	1,0,0	-2	-1
102	7,4,4,4,1	0,4,3,3,0	0,0,6	2,2,2	-2	-1
114	0,0,0,0,1	1,5,4,14,2	0,0,0	1,0,4	-2	-1
115	0,0,0,1,0	14,20,14,9,11	1,0,0	29,26,20	-2	-1
117	1,1,0,3,0	0,0,0,0,0	0,6,2	0,1,0	-2	-1
118	0,2,4,1,3	18,11,9,16,18	3,1,0	12,8,15	-2	-1
119	0,0,0,1,0	0,1,1,0,3	1,0,0	1,0,0	-2	-1
120	0,0,0,1,0	1,1,0,0,3	1,0,0	0,0,1	-2	-1
121	0,1,1,0,3	1,1,0,0,3	1,0,0	0,0,1	-2	-1
122	18,11,9,16,18	1,13,14,18,16	12,8,15	14,10,1	-2	-1
123	73,62,76,76,73	0,0,2,0,0	66,55,69	0,0,0	-2	-1
124	56,64,81,78,71	0,0,2,0,0	68,57,55	0,0,0	-2	-1
125	5,0,0,4,4	0,0,0,0,0	1,2,1	0,0,1	-2	-1
126	589,694,696,681,614	0,0,0,1,0	700,1074,656	0,0,1	-2	-1
127	17,20,14,14,15	194,240,193,207,202	31,44,27	292,428,273	-2	-1
132	4,3,1,0,4	0,0,0,1,0	8,18,15	0,0,0	-2	-1
133	0,1,0,0,0	0,0,0,0,1	0,0,0	2,3,2	-2	-1
137	3,6,4,1,2	55,46,57,52,49	0,5,0	44,52,37	-2	-1
138	10,9,3,13,11	4,4,3,6,3	18,12,11	2,2,11	-2	-1
139	0,0,0,1,0	3,11,8,6,13	0,2,0	9,16,6	-2	-1
140	3,2,1,5,0	1,2,2,0,0	4,13,2	1,0,0	-2	-1
144	1,0,0,1,0	0,4,1,2,0	1,0,0	0,4,0	-2	-1
146	3,7,5,5,2	0,0,1,0,0	9,52,16	0,0,0	-2	-1
148	12,7,18,14,10	10,11,13,19,11	27,21,22	11,15,14	-2	-1
149	7,5,15,5,9	9,6,3,11,11	13,9,13	13,10,18	-2	-1
150	26,29,22,39,25	3,1,1,2,5	29,19,26	3,1,2	-2	-1
153	0,0,0,1,0	0,2,0,1,0	0,0,0	2,2,0	-2	-1
154	0,0,0,0,2	0,0,0,0,0	0,0,0	0,1,0	-2	-1
156	23,21,29,21,11	0,1,0,0,0	20,25,30	0,0,0	-2	-1
157	2,3,0,3,0	8,15,11,13,17	2,0,2	11,16,15	-2	-1
160	5,5,5,2,6	10,10,24,15,25	2,2,3	28,26,27	-2	-1
161	1,0,1,0,1	111,114,129,152,125	0,4,3	111,131,127	-2	-1
166	22,15,11,27,15	5,13,9,13,7	57,86,46	17,26,11	-2	-1
169	0,1,0,0,0	24,12,26,27,19	1,1,2	9,14,6	-2	-1
170	22,15,16,22,19	0,0,0,0,0	15,10,9	0,1,0	-2	-1
171	1,0,2,2,2	5,2,3,3,6	2,1,2	3,11,2	-2	-1
182	53,46,49,85,22	7,8,1,1,6	18,63,19	5,1,5	-2	-1
188	6,2,4,2,3	0,2,1,0,0	3,7,0	0,2,2	-2	-1
191	29,36,10,32,21	2,0,0,0,0	32,31,26	0,0,0	-2	-1
192	0,0,0,0,0	0,1,0,2,1	4,3,2	6,13,3	-2	-1
