ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	12,2,11,17,15	0,2,2,1,1	12,11,5	0,1,0	-2	-1
1	0,2,0,0,3	0,0,0,0,0	2,0,1	0,1,0	-2	-1
6	19,20,22,24,29	2,0,0,0,2	39,134,47	0,8,5	-2	-1
7	39,53,48,54,35	10,19,11,11,6	63,105,65	11,26,9	-2	-1
8	1,1,3,0,2	73,75,81,69,73	0,0,0	33,114,58	-2	-1
9	140,183,164,164,125	0,0,0,0,0	92,207,98	0,1,1	-2	-1
10	287,240,251,223,184	2,1,0,0,0	243,235,210	0,0,0	-2	-1
11	4,4,5,4,2	1,0,0,0,0	2,0,2	0,0,0	-2	-1
12	47,57,59,45,37	1,0,0,0,0	39,25,45	0,0,0	-2	-1
13	641,619,517,568,466	0,0,2,0,0	431,466,521	0,0,0	-2	-1
14	275,273,225,248,213	0,0,2,0,0	199,208,242	0,0,0	-2	-1
15	644,584,560,631,475	1,0,2,1,0	437,384,475	0,0,2	-2	-1
16	5,7,4,5,6	366,350,344,376,268	0,2,1	254,211,275	-2	-1
17	834,847,734,807,660	0,3,2,3,4	539,426,542	0,0,2	-2	-1
18	1,0,0,0,1	505,538,434,473,422	0,1,1	313,246,293	-2	-1
20	0,1,0,2,1	0,0,0,0,0	3,0,0	0,5,1	-2	-1
21	0,2,0,0,0	0,1,0,0,0	0,0,0	3,2,0	-2	-1
25	218,237,264,193,200	1,0,0,0,0	164,125,180	0,0,0	-2	-1
26	219,231,258,198,196	1,0,0,0,0	164,123,178	0,0,0	-2	-1
30	1,1,1,1,33	0,0,0,3,0	0,0,1	0,0,0	-2	-1
31	277,269,228,264,291	0,1,1,1,33	170,137,224	0,0,0	-2	-1
35	1,1,1,0,1	0,0,0,0,0	7,10,3	0,2,0	-2	-1
37	1,1,1,0,1	0,0,0,0,0	6,10,3	0,2,0	-2	-1
50	173,216,222,211,195	1,1,0,0,0	214,273,189	0,0,0	-2	-1
51	108,100,114,138,123	2,0,0,0,0	117,208,119	0,0,0	-2	-1
