ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	15,9,12,8,17	318,311,273,284,214	6,2,5	205,220,264	50	-1
4	0,0,0,1,0	0,0,0,0,1	2,3,0	1,7,2	2	-1
6	31233,32005,30604,38065,33417	94,137,244,140,149	23457,21612,14306	82,37,86	1141	-1
7	4177,4715,4534,5182,4739	7,4,2,2,0	4011,4970,2528	9,6,7	613	-1
9	5,12,10,12,15	0,0,3,0,1	12,1,5	1,0,1	138	-1
10	15,8,15,11,10	1,0,0,2,0	22,31,35	0,0,1	1739	-1
14	1,0,6,4,1	44,52,64,38,28	3,0,0	25,37,30	154	-1
15	4,1,3,4,1	0,2,0,0,0	5,4,2	0,1,0	18	-1
16	0,0,5,0,0	1,0,0,0,0	2,6,1	1,1,0	73	-1
17	6,3,9,14,4	8,22,13,25,22	18,26,32	30,27,35	51	-1
18	6,3,9,16,4	335,328,305,367,283	18,26,32	658,565,555	51	-1
19	12,17,15,14,10	0,0,1,0,0	15,20,17	0,2,0	949	-1
21	1,2,0,0,2	67,56,88,58,69	0,2,0	57,52,55	47	-1
25	42,64,62,54,30	34,22,23,37,18	40,66,45	34,32,20	2	-1
26	152,144,127,139,113	30,38,22,27,33	53,34,45	7,11,10	27	-1
28	1,14,2,2,10	10,10,15,12,15	2,1,5	3,9,7	33	-1
30	19,30,25,23,31	0,0,1,0,0	22,25,26	1,0,0	2003	-1
31	105,135,133,136,130	0,1,0,0,0	118,143,92	2,0,0	4	-1
33	136,158,164,222,153	20,13,21,16,27	82,73,85	10,12,5	52	-1
34	22,26,28,22,36	92,105,114,102,131	15,25,24	75,78,80	2	-1
39	3,2,8,1,1	0,0,0,0,0	9,21,12	1,0,0	156	-1
47	1,1,1,1,2	2,2,5,4,3	5,8,8	20,14,19	2	-1
49	1,4,3,4,1	7,6,3,4,2	3,3,2	9,11,5	2	-1
50	2,1,3,1,0	0,0,0,0,0	7,9,9	0,1,0	3	-1
51	20,32,36,34,31	25,20,27,27,27	17,4,12	7,6,6	2	-1
52	0,0,0,0,0	5,12,8,5,11	0,3,1	4,8,5	76	-1
54	5,14,13,7,14	1,0,0,0,0	1,1,2	0,0,0	8	-1
55	37,40,41,48,38	1,1,0,1,0	27,42,33	1,1,0	2	-1
58	2,0,0,1,3	0,0,0,1,0	4,2,5	0,0,0	3	-1
62	9,8,10,14,3	0,0,0,1,2	12,15,9	0,2,0	53	-1
63	23,11,15,15,11	0,1,0,2,1	15,13,11	1,0,2	1556	-1
