ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	278,237,218,258,211	480,513,406,453,402	183,173,202	302,233,283	103	86
2	24063,24871,22247,27605,24079	25627,26132,24866,31328,27578	17828,15914,10948	18853,17734,11490	62	69
3	18909,20038,18316,22118,18662	17250,18009,17598,20594,17640	16574,14410,10198	12906,8904,7944	75	62
4	200,291,465,239,269	47062,49065,44482,54477,46878	122,93,143	37594,33925,23005	75	75
5	1,0,6,4,2	95,106,124,104,59	3,0,0	54,26,42	274	238
6	1,0,6,4,1	132,186,264,157,103	3,0,1	52,64,77	274	125
7	44,52,64,38,29	95,106,124,104,59	25,37,30	54,26,42	119	238
8	44,52,64,38,28	132,186,264,157,103	25,37,31	52,64,77	119	125
9	0,1,1,0,5	132,186,264,157,103	0,0,0	52,64,77	238	125
10	56,72,60,66,33	132,186,264,157,104	47,38,49	50,64,77	238	125
11	35,19,29,25,41	72,33,40,52,43	97,97,85	116,102,106	108	558
12	35,19,29,25,41	3,1,2,2,0	97,97,85	1,2,0	108	417
13	27,35,38,44,22	71,91,90,96,84	57,59,54	130,154,105	41	131
14	3,4,3,1,5	89,102,93,93,93	1,2,2	103,78,65	42	98
15	9,9,17,8,10	59,80,64,81,57	5,12,15	26,37,32	179	55
16	18,16,5,8,4	16,10,13,12,3	21,20,12	24,27,16	124	111
17	0,0,0,1,1	24,37,29,53,30	0,0,0	23,18,27	49	117
18	9,5,5,8,8	24,37,29,53,30	5,11,15	23,18,27	53	117
19	199,181,194,239,131	196,177,228,245,188	382,387,360	371,325,406	137	89
20	8,5,4,10,9	3,5,5,8,4	8,7,4	3,11,3	104	248
22	6,8,4,8,2	9,12,7,15,16	9,16,10	11,18,16	83	103
23	0,0,1,0,0	1,0,0,3,0	0,1,0	0,0,1	76	25
24	1,1,6,3,2	5,10,11,7,14	0,2,1	1,2,0	65	130
25	43,33,26,35,17	24,37,34,39,32	39,24,36	17,33,23	85	84
26	0,0,0,0,0	0,1,0,0,0	1,0,1	0,1,0	34	17
27	32,18,25,23,14	1,1,0,0,0	19,20,15	0,0,0	120	52
31	2,2,0,0,0	5,3,3,3,4	3,1,1	1,7,6	62	134
32	13,20,16,21,17	0,0,0,0,1	11,8,11	0,0,0	56	101
33	2,5,1,4,2	5,15,12,5,24	2,0,3	25,31,15	141	213
34	77,135,112,162,160	0,4,1,2,3	258,346,238	0,2,1	154	372
35	77,135,112,162,160	66,97,71,97,109	258,346,238	137,176,128	154	80
36	169,263,224,294,285	0,5,2,0,2	464,620,457	0,0,0	154	19
37	0,0,0,0,3	0,0,1,0,0	0,0,1	1,13,3	1371	141
38	12,4,5,7,5	5,14,11,4,1	17,18,16	11,21,7	70	68
39	2,1,0,1,3	6,6,9,8,3	1,7,1	5,5,9	71	209
40	57,49,56,79,62	31,52,69,52,52	35,41,28	35,6,38	44	84
41	0,0,1,2,0	31,52,69,52,52	0,0,0	35,6,38	38	84
42	2,3,1,1,0	5,1,0,4,1	9,9,4	11,26,7	123	103
43	4,1,4,2,0	2,1,0,2,2	10,4,9	8,16,4	98	123
44	1,0,3,4,2	2,6,4,9,6	1,4,4	4,17,8	60	90
45	16827,15107,20149,20961,21459	2,2,1,2,5	41712,39895,49558	17,11,11	69	78
46	14696,13508,17688,18604,19415	12597,11039,15013,16208,16187	36665,36137,43986	33403,27650,38760	62	69
47	18,31,18,25,21	31752,28710,37942,39596,40313	9,11,8	80491,79223,96098	75	75
48	12,14,11,19,8	12,9,7,12,13	9,12,8	5,11,5	65	64
49	3,1,1,3,0	11,13,8,13,8	6,61,26	72,204,73	146	149
50	7,6,1,6,4	8,8,5,19,5	43,134,47	70,153,60	149	167
51	3,8,5,7,11	7,1,2,7,7	5,4,3	8,7,1	83	101
52	4,4,3,5,2	4,6,3,2,2	2,4,6	1,0,3	105	83
53	6,2,0,0,3	2,0,1,0,0	5,11,2	3,9,7	72	77
54	1,0,2,2,0	1,2,0,7,3	2,10,5	1,2,1	80	72
55	272,307,295,313,395	737,688,706,804,932	192,236,179	295,289,335	89	181
56	14,23,13,18,19	9,20,19,21,19	45,62,28	41,64,38	88	143
57	19,9,14,22,15	30,41,45,35,33	42,59,29	71,73,68	143	176
58	2,1,0,5,5	3,1,1,0,5	6,16,14	3,4,0	106	103
59	2,1,0,4,5	3,1,1,0,5	11,28,27	5,6,4	106	103
61	39,29,30,59,31	51,58,48,51,29	14,11,7	15,19,7	170	110
62	92,73,90,91,66	66,78,70,92,77	132,151,102	115,137,119	123	91
63	43,45,37,31,34	143,189,174,177,125	53,111,62	175,248,175	77	146
64	17,27,29,23,16	28,32,28,56,33	17,28,26	20,31,23	152	122
66	25,21,31,25,23	23,23,26,26,21	27,29,24	14,35,24	83	65
67	1,0,2,2,0	3,12,3,12,7	2,0,1	11,3,5	116	242
68	1,0,2,2,0	4,11,3,16,7	2,0,1	12,6,5	116	224
69	0,0,1,0,0	8,16,20,21,17	0,0,0	7,15,5	21	383
70	5,7,7,7,2	10,17,20,22,18	0,1,0	7,15,4	21	383
71	10,12,11,13,8	18,17,12,26,22	3,1,3	7,3,7	135	63
72	14,11,15,24,18	16,18,18,17,10	23,29,17	24,33,21	160	176
73	8,3,4,5,3	0,0,0,0,1	3,3,6	1,0,0	60	231
75	0,0,2,1,0	16,19,21,30,19	0,3,0	16,24,9	234	175
76	10,4,5,3,5	16,19,21,30,19	4,7,1	16,24,9	115	175
77	1,9,18,17,11	16,19,21,30,19	9,10,8	16,24,9	94	175
78	17,25,38,37,22	18,24,32,31,18	38,25,36	16,28,28	181	82
79	17,21,22,15,6	21,29,32,31,18	17,15,26	17,28,29	114	82
80	17,21,22,15,6	1,6,2,3,1	17,15,26	6,2,2	114	181
81	15,22,22,15,6	28,38,43,28,36	17,15,25	38,33,52	114	181
82	15,7,5,9,9	15,19,11,27,24	38,51,17	56,87,41	71	95
84	0,2,1,1,0	0,1,3,1,0	2,0,2	1,2,1	178	178
85	2,5,5,4,2	3,3,2,6,0	8,8,12	6,8,5	143	172
86	429,447,546,516,447	547,633,663,638,637	322,278,313	335,263,331	107	62
87	571,592,667,711,531	774,873,978,905,902	441,362,476	476,443,490	113	107
88	2828,2957,2592,2593,2712	134,153,149,186,133	3041,3676,2487	212,415,239	203	14
89	53,70,38,35,35	739,521,606,674,583	10,23,17	942,1232,856	358	22
90	58,60,40,62,66	157,141,144,167,174	50,54,45	104,85,95	209	98
91	17,13,22,19,19	12,13,15,12,16	11,8,23	6,11,10	140	89
92	101,130,118,134,144	0,0,2,0,0	103,164,127	1,2,3	209	134
93	0,0,0,0,2	0,0,0,1,0	1,7,3	0,0,0	209	134
94	63,98,91,92,92	69,81,87,84,99	83,113,96	68,70,74	195	209
95	6,3,3,9,2	35,40,43,44,39	5,6,14	32,26,40	186	62
97	0,0,0,0,0	0,2,0,0,0	2,0,0	0,0,0	76	167
98	0,0,0,0,0	0,2,0,0,0	2,0,0	0,0,0	76	137
102	290,310,353,346,272	303,373,328,328,337	219,224,264	185,180,172	113	64
103	187,264,223,219,165	328,391,388,365,323	237,318,263	284,320,317	143	150
104	105,123,134,129,143	2,0,2,2,0	181,179,184	0,0,0	124	77
105	13,8,19,21,13	0,1,3,0,5	29,33,31	0,3,2	59	124
106	7,11,15,15,2	60,57,67,50,50	20,11,11	59,81,50	34	58
107	26,20,31,19,23	65,75,74,70,68	17,25,23	54,74,64	58	133
108	1,3,2,1,1	5,3,5,3,4	0,7,1	2,4,1	173	134
111	25,25,39,29,32	44,38,34,42,34	28,50,52	34,46,38	125	57
112	15,28,28,19,22	156,193,164,154,216	6,8,5	49,70,54	53	105
113	10,23,23,17,54	20,50,50,29,129	2645,4618,2905	4072,5987,4374	159	104
114	0,0,1,0,0	2,1,0,0,0	2,21,4	0,24,3	74	71
115	0,0,0,0,0	0,1,0,0,0	5,9,0	1,4,0	74	59
116	31,26,31,52,1	1,4,8,5,9	0,35,0	2,1,1	32	38
117	24,31,27,45,34	35,31,46,31,39	48,119,50	70,192,92	193	193
119	161,181,203,227,207	128,134,159,157,147	158,237,155	138,151,163	89	119
120	22,21,22,23,14	18,22,17,37,21	47,45,33	38,77,50	70	70
121	0,0,0,0,1	95,77,84,126,94	1,0,2	59,79,72	122	134
122	3,1,5,2,6	4,6,9,3,5	5,10,6	3,12,4	305	141
123	4,4,5,2,4	14,22,19,23,26	5,3,2	7,11,10	64	63
124	13,11,15,14,31	44,65,56,61,77	14,37,17	63,183,60	106	137
127	0,2,0,0,1	1,2,6,7,0	1,0,5	2,3,3	188	35
128	0,0,0,0,0	1,5,5,11,3	2,0,0	5,9,5	177	75
129	6,5,1,6,1	7,9,13,4,4	8,14,4	8,22,11	75	88
131	0,1,0,0,0	7,10,3,3,3	0,1,0	9,15,6	109	86
132	26,41,44,50,18	67,67,74,84,73	52,117,45	108,172,90	172	130
133	0,5,3,0,3	35,35,36,31,27	7,11,2	63,146,60	90	90
134	10,15,9,10,14	9,0,2,1,3	42,53,26	15,13,5	125	20
