ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	2,0,0,0,0	0,0,0,0,0	0,1,0	0,1,0	2129	-1
2	4070,4578,4284,5050,4599	94,154,250,115,130	3951,4909,2448	52,35,62	537	-1
4	3,10,9,7,6	28,24,40,37,33	8,1,1	20,15,21	86	-1
5	0,0,1,0,0	0,1,3,0,0	1,0,0	2,0,0	1673	-1
10	0,0,0,0,0	0,0,0,0,2	1,0,0	2,1,1	962	-1
11	1,0,1,0,1	10,14,13,17,10	2,2,0	15,11,5	858	-1
14	1,1,1,0,0	1,2,3,1,1	0,0,0	1,2,2	241	-1
17	3,1,1,0,0	160,176,176,219,157	1,0,1	180,194,173	72	-1
18	22,34,26,45,9	0,1,5,3,3	12,7,5	0,0,1	3116	-1
22	0,0,0,0,1	53,54,48,47,56	0,0,2	53,71,55	1960	-1
23	2,1,0,3,0	4,1,1,3,3	1,7,3	4,9,5	1734	-1
27	69,76,87,116,79	20,13,21,16,27	37,48,40	10,12,5	189	-1
28	0,5,4,2,0	23,41,30,33,33	0,2,1	55,62,38	75	-1
29	1,4,1,3,0	18,20,23,13,29	3,1,4	13,21,18	111	-1
30	5,10,6,12,7	92,105,114,102,131	5,5,10	75,78,80	114	-1
31	5,11,13,15,13	50,62,64,52,87	2,6,6	37,43,51	82	-1
33	0,1,0,0,0	218,148,318,247,237	0,0,0	217,89,352	77	-1
34	0,0,0,0,0	0,1,0,0,0	1,2,0	1,1,4	72	-1
35	0,0,0,0,0	0,3,0,0,0	0,0,1	4,4,5	89	-1
36	0,0,0,0,0	2,3,2,5,0	0,1,0	8,11,2	408	-1
37	0,0,0,0,0	44,31,37,47,66	0,2,0	184,777,222	103	-1
38	2,3,1,0,0	3,3,2,10,1	2,1,0	6,4,2	119	-1
40	9,6,7,11,8	10,9,10,13,16	3,1,2	6,2,10	807	-1
42	2,0,0,0,0	6,2,9,5,1	1,0,0	2,7,7	282	-1
43	0,0,1,1,0	27,15,26,19,18	4,1,1	94,150,145	84	-1
44	0,0,0,0,0	139,132,114,140,83	0,0,1	383,486,354	79	-1
45	0,0,0,0,0	199,181,193,239,131	0,0,1	381,387,359	401	-1
46	22,23,27,29,19	336,378,342,401,323	33,36,39	658,590,667	238	-1
52	3,5,1,3,0	42,17,18,27,10	3,0,0	23,37,28	83	-1
53	2,0,1,3,0	0,5,1,2,0	9,4,0	2,0,0	3328	-1
54	0,0,2,0,0	23,26,29,19,17	0,4,0	39,37,27	491	-1
55	1,7,8,3,6	44,55,50,50,40	3,6,4	52,52,54	88	-1
56	2,2,5,6,1	152,203,171,228,223	2,3,1	76,47,84	298	-1
57	0,0,0,1,2	129,214,173,180,167	0,0,0	92,53,87	106	-1
59	0,0,0,2,0	46,35,17,51,24	0,3,1	171,170,205	252	-1
63	0,2,0,0,2	0,1,6,2,5	0,0,0	2,3,0	1161	-1
66	0,1,0,2,1	3,4,3,6,6	1,3,0	4,9,3	161	-1
67	8,16,8,17,16	69,66,78,73,66	11,5,9	57,45,56	79	-1
69	1,0,1,0,0	10,7,11,8,3	0,0,0	4,7,4	1435	-1
72	0,0,1,2,1	454,504,538,459,566	0,0,0	213,299,595	268	-1
73	7,1,4,4,2	15,21,15,11,12	6,10,4	14,41,30	1167	-1
77	9,1,4,3,1	54,59,60,71,67	3,1,1	38,29,49	148	-1
78	9,1,4,3,1	14,6,7,10,10	3,1,2	5,2,10	122	-1
79	0,0,0,0,0	2,0,0,0,0	0,0,1	0,0,0	1163	-1
83	0,0,0,0,0	8,5,3,3,5	0,3,3	4,14,6	974	-1
86	0,0,1,0,0	5,14,12,5,1	0,0,0	10,21,7	1675	-1
88	0,1,1,0,0	4,6,3,1,6	0,3,1	5,17,7	1284	-1
90	3,12,16,9,5	0,1,4,5,3	20,10,10	3,2,0	212	-1
91	1,2,4,2,3	142,148,187,195,181	4,2,2	166,112,122	206	-1
94	2,0,2,0,0	6,9,11,9,6	0,0,0	1,2,3	665	-1
97	6,3,9,2,4	115,133,187,173,199	1,0,7	115,84,105	81	-1
98	1,0,6,3,5	2,1,3,2,2	16,22,12	6,7,5	408	-1
105	2,0,0,0,0	41,41,36,40,46	0,0,0	24,23,19	72	-1
106	4,1,1,3,3	13,19,21,21,25	1,2,1	9,10,11	345	-1
107	5,6,2,1,4	19,25,13,19,18	3,0,0	17,17,10	100	-1
108	2,4,2,4,4	0,1,0,0,0	0,2,1	1,0,0	491	-1
109	6,12,1,9,4	23,26,16,18,31	0,4,2	29,11,13	325	-1
110	6,8,0,5,0	0,0,0,0,1	0,2,1	0,0,0	527	-1
111	12,12,11,15,7	0,0,0,2,1	7,10,10	0,1,0	148	-1
112	2,0,0,0,0	8,8,6,4,3	0,0,0	13,16,5	96	-1
122	0,0,0,0,0	4,1,0,0,1	3,0,0	2,6,2	307	-1
123	0,0,0,0,0	11,8,4,13,2	1,0,0	11,8,8	466	-1
126	15,8,14,26,24	154,184,165,201,211	13,17,24	216,269,253	92	-1
128	0,1,1,3,4	0,1,0,0,0	2,8,5	0,2,0	56	-1
131	23,19,13,11,10	1,0,2,1,0	21,26,41	0,1,0	341	-1
132	0,3,1,0,0	137,135,208,172,219	0,0,0	230,373,228	189	-1
139	0,1,3,3,0	3,12,7,5,4	2,1,0	8,10,7	1595	-1
141	3,0,0,0,0	0,1,1,1,2	4,2,0	0,6,0	108	-1
143	0,0,0,1,0	0,1,0,0,0	0,1,0	3,1,0	866	-1
144	0,0,0,1,0	1,0,0,4,0	0,1,0	4,4,0	884	-1
152	0,0,0,1,0	1,0,1,0,2	0,2,0	0,4,1	211	-1
155	2,0,3,4,3	53,52,36,36,58	5,2,6	80,75,90	81	-1
157	1,0,1,5,0	7,1,2,2,0	0,2,0	3,5,1	728	-1
159	7,8,3,9,7	112,121,124,130,95	1,1,3	57,82,39	77	-1
161	14,20,49,32,37	0,1,1,0,3	9,16,11	1,0,0	1028	-1
163	55,36,41,34,30	395,399,435,375,398	29,34,27	540,733,571	72	-1
174	0,0,0,2,0	4,0,0,0,0	0,0,0	3,5,1	72	-1
180	0,0,0,1,0	166,177,201,152,136	1,0,0	122,141,141	119	-1
182	0,0,1,0,0	1,2,1,4,0	1,0,0	6,2,6	378	-1
190	0,0,1,0,0	2,1,5,1,0	0,1,0	0,2,2	1451	-1
191	1,1,5,0,0	14,15,19,9,3	3,4,2	6,8,12	109	-1
192	0,0,1,0,2	7,7,5,2,1	0,0,7	4,7,9	94	-1
196	2,0,1,2,1	31,26,28,27,38	1,2,2	44,31,39	116	-1
200	0,0,0,0,0	0,0,1,0,0	1,4,0	1,3,5	116	-1
204	0,0,2,2,0	2,3,5,2,0	2,2,0	1,4,1	2172	-1
205	0,1,2,0,1	3,5,1,5,3	1,1,0	3,5,3	1055	-1
208	0,2,0,0,0	1,4,1,0,2	0,0,0	0,1,3	83	-1
216	0,0,1,1,0	4,4,2,8,7	1,3,0	18,78,9	1003	-1
219	0,0,0,0,0	19,26,23,28,5	0,0,1	23,34,28	143	-1
224	21,18,24,36,25	382,406,503,460,480	2,5,3	117,127,135	870	-1
226	0,0,2,4,0	7,8,6,7,2	0,0,0	3,0,1	79	-1
229	4,2,2,2,0	51,82,64,77,52	6,6,5	93,153,90	316	-1
238	0,0,1,2,5	5,1,5,6,0	1,0,0	1,1,3	1039	-1
239	0,1,1,3,0	10,4,12,8,13	0,0,0	1,10,5	701	-1
240	0,0,1,0,0	2,5,8,6,3	0,2,0	6,7,6	244	-1
243	15,15,20,13,20	124,69,122,150,16	4,3,5	16,90,6	177	-1
244	0,0,2,0,0	0,0,2,3,0	0,0,0	0,1,0	162	-1
249	8,2,9,10,0	28,36,38,51,13	0,2,1	5,31,9	119	-1
250	11,2,13,15,0	7,8,1,1,6	2,4,1	5,1,5	376	-1
251	3,0,4,5,0	45,44,40,75,22	2,2,0	18,61,18	126	-1
256	4,6,12,5,9	0,2,0,0,0	10,15,6	0,0,0	93	-1
257	0,3,0,0,0	25,36,22,22,39	1,0,0	19,31,31	81	-1
259	1,1,0,1,0	43,40,44,36,30	1,1,1	41,31,22	70	-1
266	0,1,2,0,0	12,9,5,6,13	0,0,0	3,7,9	105	-1
267	11,14,20,18,20	39,46,33,28,46	2,1,2	18,8,14	402	-1
268	30,30,50,42,50	22,8,9,11,15	12,10,10	2,1,3	443	-1
270	36,31,19,24,30	154,196,180,221,293	5,6,12	105,93,111	2279	-1
273	1,5,3,0,2	659,726,891,698,895	6,2,1	758,358,769	214	-1
274	4,8,3,7,3	224,234,266,251,255	0,5,2	149,158,207	91	-1
275	0,0,0,0,0	234,267,249,276,223	0,1,0	153,134,141	115	-1
276	21,17,14,8,21	174,121,173,140,181	15,12,9	118,119,125	590	-1
277	3,0,0,0,0	3,7,1,3,3	0,0,0	3,4,6	82	-1
278	6,7,10,4,3	5,10,6,4,4	7,7,6	11,9,7	196	-1
279	2,2,1,0,1	12,22,13,13,17	1,0,2	11,18,10	86	-1
282	6,4,10,3,7	16,18,15,21,7	6,5,5	26,23,35	425	-1
287	2,2,0,0,0	2,2,5,1,0	0,0,0	4,1,1	101	-1
288	0,7,2,10,0	18,18,27,33,14	2,0,4	16,25,25	130	-1
289	0,3,0,2,2	31,30,30,41,32	2,0,7	23,24,31	210	-1
294	0,0,0,0,1	78,74,62,73,34	3,0,2	59,83,65	2127	-1
297	3,3,0,1,0	0,0,0,2,0	1,1,0	0,0,0	391	-1
298	0,3,0,0,1	13,23,23,27,16	2,0,2	24,26,29	1520	-1
302	43,55,65,73,54	1,0,0,1,3	31,59,57	2,2,0	128	-1
304	4,6,3,3,2	28,30,13,29,18	5,11,2	41,106,50	85	-1
306	2,10,10,11,9	179,150,171,191,198	5,2,3	105,101,131	119	-1
307	0,0,0,1,0	0,0,2,1,0	0,0,0	2,1,1	247	-1
310	6,6,4,4,0	9,9,15,21,11	3,1,1	17,28,17	242	-1
311	2,1,5,1,1	20,18,28,26,13	3,4,2	45,29,22	84	-1
313	0,0,2,0,0	6,13,2,10,7	1,1,0	5,18,12	90	-1
314	0,0,2,0,0	171,183,197,195,199	1,1,0	263,333,253	70	-1
317	1,0,1,3,1	89,71,98,75,76	0,1,2	50,57,56	248	-1
