ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	6,2,5	205,220,264	2,5,7	115,170,158	-2	-1
4	2,3,0	1,7,2	0,5,2	2,2,2	-2	-1
6	23457,21612,14306	82,37,86	15429,11774,8713	43,24,25	-2	-1
7	4011,4970,2528	9,6,7	3181,1727,1314	11,4,4	-2	-1
9	12,1,5	1,0,1	3,13,14	3,0,0	-2	-1
10	22,31,35	0,0,1	25,31,31	0,1,1	-2	-1
14	3,0,0	25,37,30	0,1,0	18,19,27	-2	-1
15	5,4,2	0,1,0	7,3,1	0,0,0	-2	-1
16	2,6,1	1,1,0	8,4,4	0,1,0	-2	-1
17	18,26,32	30,27,35	18,10,16	74,73,24	-2	-1
18	15,20,17	0,2,0	15,12,14	0,0,0	-2	-1
20	0,2,0	57,52,55	0,0,2	49,55,26	-2	-1
24	40,66,45	34,32,20	44,60,60	29,31,39	-2	-1
25	53,34,45	7,11,10	39,24,18	8,3,3	-2	-1
27	2,1,5	3,9,7	4,0,1	10,6,5	-2	-1
29	22,25,26	1,0,0	23,37,36	0,0,0	-2	-1
30	118,143,92	2,0,0	106,117,104	1,1,0	-2	-1
32	82,73,85	10,12,5	41,38,41	4,7,3	-2	-1
33	15,25,24	75,78,80	23,18,11	85,56,62	-2	-1
38	9,21,12	1,0,0	16,26,19	0,2,0	-2	-1
46	5,8,8	20,14,19	7,19,17	13,59,45	-2	-1
47	0,2,3	1,3,3	3,5,9	2,1,1	-2	-1
49	3,3,2	9,11,5	4,2,7	10,6,7	-2	-1
50	7,9,9	0,1,0	3,18,15	0,0,3	-2	-1
51	17,4,12	7,6,6	11,7,2	6,0,3	-2	-1
52	0,3,1	4,8,5	0,0,0	0,7,4	-2	-1
55	27,42,33	1,1,0	29,50,29	0,2,2	-2	-1
56	32,24,13	0,0,0	14,25,19	0,1,0	-2	-1
61	0,0,0	0,1,2	0,2,0	1,0,0	-2	-1
63	12,15,9	0,2,0	16,21,8	0,1,1	-2	-1
64	15,13,11	1,0,2	3,10,11	0,0,0	-2	-1
66	0,0,0	11,4,4	0,0,1	14,14,7	-2	-1
68	1,0,1	0,0,0	0,1,0	1,0,0	-2	-1
75	33,45,29	0,0,0	36,30,31	1,0,0	-2	-1
77	1,23,9	0,1,0	19,17,18	0,2,1	-2	-1
78	4,14,6	4,7,5	17,8,12	10,7,6	-2	-1
79	25,30,22	53,78,41	51,22,7	91,38,44	-2	-1
80	2,0,1	1,0,0	0,3,4	0,0,0	-2	-1
85	1,3,0	4,6,2	6,0,1	10,5,8	-2	-1
86	2,10,2	0,1,0	7,8,11	0,2,0	-2	-1
91	13,10,12	0,0,0	9,2,1	1,0,0	-2	-1
92	33,34,36	0,1,0	24,35,9	0,0,0	-2	-1
95	0,0,0	3,13,4	0,1,0	12,15,9	-2	-1
96	19,20,18	1,1,1	21,19,28	4,4,2	-2	-1
97	41,32,23	8,5,4	17,22,28	8,5,4	-2	-1
98	34,6,39	0,0,0	22,13,14	1,0,0	-2	-1
99	182,120,130	3,2,0	76,71,69	1,1,2	-2	-1
101	6,9,15	0,2,0	7,9,6	0,0,1	-2	-1
109	4,8,4	0,0,0	2,6,3	0,2,0	-2	-1
110	2,6,2	0,3,0	6,6,7	1,1,0	-2	-1
111	2,1,0	84,67,84	0,0,0	30,32,31	-2	-1
112	9,17,12	0,0,3	8,9,8	0,0,0	-2	-1
113	20,26,15	0,1,0	12,15,10	0,0,1	-2	-1
114	0,9,3	1,1,3	3,5,13	1,4,0	-2	-1
117	10,11,4	0,0,0	5,11,10	1,0,2	-2	-1
118	13,18,6	0,0,0	7,9,6	1,0,0	-2	-1
119	203,167,151	8,7,16	156,147,149	9,8,5	-2	-1
120	5,11,5	1,18,0	10,15,7	8,16,10	-2	-1
121	13,19,16	0,0,0	12,15,14	0,0,1	-2	-1
123	7,11,4	8,11,6	12,8,9	6,9,7	-2	-1
125	28,50,15	24,21,9	18,24,21	11,18,12	-2	-1
126	0,0,2	0,6,2	1,1,0	1,5,5	-2	-1
127	3,1,1	4,2,8	1,1,4	3,2,5	-2	-1
129	3,10,5	31,39,33	16,13,8	52,22,19	-2	-1
130	3,2,1	0,0,0	2,2,8	0,1,0	-2	-1
136	0,0,0	0,0,2	3,0,0	1,0,1	-2	-1
140	6,10,0	0,3,0	1,12,7	1,0,2	-2	-1
142	3,1,0	4,4,0	1,0,0	0,1,0	-2	-1
143	0,1,2	0,2,2	0,6,1	1,2,0	-2	-1
148	29,41,29	19,30,21	42,26,42	28,27,24	-2	-1
153	0,0,0	0,1,0	0,3,0	2,2,0	-2	-1
155	0,0,0	2,10,3	0,0,1	6,5,9	-2	-1
157	0,1,0	4,9,0	1,4,3	6,5,11	-2	-1
158	1,8,4	3,5,0	4,6,9	2,2,2	-2	-1
159	0,1,1	3,5,0	0,0,0	2,2,2	-2	-1
162	0,2,0	4,6,1	0,0,0	4,8,4	-2	-1
163	0,2,0	9,9,8	0,0,0	6,13,4	-2	-1
164	4,6,1	9,9,8	4,8,4	6,13,4	-2	-1
167	2,5,0	1,4,0	4,6,2	3,1,1	-2	-1
169	21,24,26	1,0,0	30,30,15	1,0,0	-2	-1
170	9,16,11	1,0,0	16,18,13	1,0,0	-2	-1
171	10,18,12	1,0,0	18,19,12	1,0,0	-2	-1
172	0,0,0	12,8,15	0,0,1	14,12,3	-2	-1
173	1,2,1	12,8,15	2,1,0	14,12,3	-2	-1
174	1,2,1	0,0,0	2,1,0	0,0,1	-2	-1
175	23,26,12	0,0,1	21,21,17	0,0,0	-2	-1
176	9,16,12	0,0,1	16,18,13	0,0,0	-2	-1
177	0,0,1	14,10,1	0,0,1	5,3,5	-2	-1
178	2,0,0	734,742,669	0,0,0	492,722,689	-2	-1
184	3,8,1	9,24,10	2,0,1	15,7,6	-2	-1
185	14,13,5	0,2,0	8,12,7	0,2,0	-2	-1
186	0,10,1	5,17,3	7,16,12	3,25,8	-2	-1
187	1,0,0	2,1,2	2,0,0	6,2,0	-2	-1
188	0,0,0	2,0,0	1,0,0	1,0,0	-2	-1
189	11,35,22	3,5,4	22,10,17	3,0,1	-2	-1
193	0,3,0	0,0,0	1,3,1	1,2,0	-2	-1
196	10,9,7	1,0,0	11,12,5	0,0,0	-2	-1
199	11,10,4	21,30,26	9,8,4	15,32,36	-2	-1
208	12,18,4	0,1,0	11,6,5	1,0,0	-2	-1
210	38,39,40	0,0,1	46,36,20	0,0,1	-2	-1
211	12,14,15	67,65,72	17,18,17	85,66,50	-2	-1
212	0,0,0	1,2,3	0,1,0	0,0,0	-2	-1
215	1,3,0	3,0,0	0,1,2	0,0,0	-2	-1
217	15,15,4	1,0,0	3,15,12	0,0,0	-2	-1
218	0,2,0	1,0,0	0,3,0	0,0,0	-2	-1
219	1,0,0	0,0,1	2,0,1	0,0,0	-2	-1
226	1,2,1	0,0,0	1,12,2	0,2,0	-2	-1
227	1,3,0	0,2,1	0,1,4	4,2,1	-2	-1
234	1,1,0	24,95,31	0,0,2	58,68,103	-2	-1
241	3,2,1	2,0,0	0,2,0	0,1,0	-2	-1
244	30,21,34	0,0,3	32,19,19	0,1,0	-2	-1
245	4,5,9	0,1,0	2,5,1	0,1,1	-2	-1
246	18,53,15	2,5,4	41,31,32	6,5,5	-2	-1
247	1,3,3	2,2,2	1,3,4	3,6,3	-2	-1
248	18,34,11	1,1,4	18,26,17	0,1,0	-2	-1
255	13,7,14	0,1,1	4,8,1	0,0,0	-2	-1
256	8,9,8	3,11,6	5,8,5	0,5,5	-2	-1
260	4,4,5	16,90,6	6,6,1	69,33,15	-2	-1
261	0,89,0	0,5,0	54,33,16	2,0,0	-2	-1
263	0,1,0	18,15,12	0,0,0	7,2,8	-2	-1
265	4,5,3	0,1,0	3,1,3	0,0,0	-2	-1
271	1,6,7	2,1,2	4,4,4	0,0,0	-2	-1
272	2,2,5	7,37,6	6,5,0	9,26,12	-2	-1
276	176,312,234	38,23,44	364,358,513	18,40,36	-2	-1
