ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	183,173,202	302,233,283	109,127,112	152,192,221	-2	-2
2	122,93,143	37594,33925,23005	66,73,59	27159,17255,13412	-2	-2
3	3,0,1	52,64,77	0,1,0	39,30,23	-2	-2
4	25,37,31	52,64,77	18,19,27	39,30,23	-2	-2
5	97,97,85	116,102,106	71,101,97	50,58,55	-2	-2
6	97,97,85	1,2,0	71,101,97	1,3,0	-2	-2
7	57,59,54	130,154,105	64,22,17	143,83,76	-2	-2
8	89,118,82	117,113,114	66,55,27	76,90,75	-2	-2
9	1,2,2	103,78,65	3,3,6	76,77,83	-2	-2
10	5,12,15	26,37,32	7,6,7	39,14,16	-2	-2
11	21,20,12	18,22,11	32,22,18	5,6,8	-2	-2
12	21,20,12	24,27,16	32,22,19	14,25,24	-2	-2
13	382,387,360	371,325,406	421,188,197	297,311,287	-2	-2
14	8,7,4	3,11,3	4,9,4	9,4,2	-2	-2
16	20,48,16	30,26,17	34,25,28	31,19,16	-2	-2
17	9,16,10	11,18,16	18,16,20	16,17,7	-2	-2
18	0,1,0	0,0,1	0,0,0	1,1,2	-2	-2
19	1,6,2	15,19,10	0,6,8	17,22,19	-2	-2
20	1,6,2	1,0,1	0,6,8	0,2,3	-2	-2
21	1,0,1	0,1,0	0,1,1	4,5,4	-2	-2
22	19,20,15	0,0,0	6,13,16	1,0,0	-2	-2
24	157,218,438	0,0,0	156,319,263	1,0,0	-2	-2
26	2243,4122,1879	1250,1861,1023	2887,4672,5008	1404,1268,1587	-2	-2
27	1128,2137,905	3178,5165,2390	1472,1526,1750	3315,3968,4508	-2	-2
28	3,1,1	1,7,6	1,0,0	1,4,2	-2	-2
29	11,8,11	0,0,0	5,6,14	0,1,0	-2	-2
30	258,346,238	0,2,1	231,335,305	1,1,0	-2	-2
31	258,346,238	137,176,128	231,335,305	111,170,120	-2	-2
32	464,620,457	0,0,0	404,568,517	3,0,2	-2	-2
33	3,3,4	1,10,3	4,1,0	4,2,3	-2	-2
