ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,1,0	0,1,0	0,0,0	0,1,0	-2	-1
2	3951,4909,2448	52,35,62	3156,1688,1280	35,35,26	-2	-1
4	8,1,1	20,15,21	4,8,9	9,51,33	-2	-1
5	1,0,0	2,0,0	0,0,0	2,2,0	-2	-1
10	1,0,0	2,1,1	1,1,2	3,2,1	-2	-1
11	2,2,0	15,11,5	1,0,0	19,2,8	-2	-1
17	1,0,1	180,194,173	2,0,3	154,174,188	-2	-1
18	12,7,5	0,0,1	5,4,2	0,0,0	-2	-1
22	0,0,2	53,71,55	0,0,1	62,75,73	-2	-1
23	1,7,3	4,9,5	2,1,2	22,4,7	-2	-1
27	37,48,40	10,12,5	13,25,20	4,7,3	-2	-1
28	0,2,1	55,62,38	0,8,0	45,34,34	-2	-1
29	3,1,4	13,21,18	1,0,0	18,11,8	-2	-1
30	5,5,10	75,78,80	6,7,3	85,56,62	-2	-1
31	2,6,6	37,43,51	3,5,6	23,27,29	-2	-1
33	0,0,0	217,89,352	0,0,1	97,221,194	-2	-1
34	1,2,0	1,1,4	1,0,0	4,1,5	-2	-1
35	0,0,1	4,4,5	1,0,0	5,3,4	-2	-1
36	0,1,0	8,11,2	0,0,0	5,18,15	-2	-1
37	0,2,0	184,777,222	1,1,1	364,602,1013	-2	-1
38	2,1,0	6,4,2	0,1,0	4,4,5	-2	-1
40	3,1,2	6,2,10	2,1,3	12,8,6	-2	-1
42	1,0,0	2,7,7	0,0,0	2,0,6	-2	-1
43	4,1,1	94,150,145	0,1,1	110,252,258	-2	-1
44	0,0,1	383,486,354	0,0,0	472,339,354	-2	-1
45	0,0,1	381,387,359	0,0,0	421,188,197	-2	-1
46	33,36,39	658,590,667	32,22,31	666,405,369	-2	-1
52	3,0,0	23,37,28	2,6,1	16,33,22	-2	-1
53	9,4,0	2,0,0	0,0,1	3,0,1	-2	-1
54	0,4,0	39,37,27	0,1,0	28,18,32	-2	-1
55	3,6,4	52,52,54	5,2,1	38,56,54	-2	-1
56	2,3,1	76,47,84	0,0,1	29,25,30	-2	-1
58	0,0,0	76,160,125	0,1,1	140,63,54	-2	-1
59	0,3,1	171,170,205	0,1,1	113,261,220	-2	-1
66	1,3,0	4,9,3	0,0,3	3,0,5	-2	-1
67	11,5,9	57,45,56	9,11,9	40,54,33	-2	-1
69	0,0,0	4,7,4	0,1,0	3,4,5	-2	-1
73	6,10,4	14,41,30	8,3,6	29,37,29	-2	-1
77	3,1,1	38,29,49	0,3,0	35,6,14	-2	-1
78	3,1,2	5,2,10	0,3,0	4,4,1	-2	-1
79	0,0,1	0,0,0	0,0,0	1,0,0	-2	-1
83	0,3,3	4,14,6	0,0,0	8,12,10	-2	-1
86	0,0,0	10,21,7	0,0,1	21,13,2	-2	-1
88	0,3,1	5,17,7	3,5,3	12,18,13	-2	-1
90	20,10,10	3,2,0	5,13,4	1,1,2	-2	-1
91	4,2,2	166,112,122	1,2,1	72,60,66	-2	-1
97	1,0,7	115,84,105	1,2,0	59,52,46	-2	-1
98	16,22,12	6,7,5	16,13,8	9,6,2	-2	-1
106	1,2,1	9,10,11	2,0,4	4,12,10	-2	-1
107	3,0,0	17,17,10	0,1,0	7,16,6	-2	-1
108	0,2,1	1,0,0	0,1,1	0,0,0	-2	-1
109	0,4,2	29,11,13	0,3,1	10,12,4	-2	-1
110	7,10,10	0,1,0	4,7,6	0,0,1	-2	-1
121	3,0,0	2,6,2	0,1,0	5,3,0	-2	-1
122	1,0,0	11,8,8	0,0,0	6,10,9	-2	-1
125	13,17,24	216,269,253	18,17,9	170,190,235	-2	-1
127	2,8,5	0,2,0	10,4,8	0,0,0	-2	-1
130	21,26,41	0,1,0	27,15,37	0,1,1	-2	-1
138	2,1,0	8,10,7	0,2,0	7,7,9	-2	-1
140	4,2,0	0,6,0	0,0,2	2,0,1	-2	-1
142	0,1,0	3,1,0	0,0,0	1,0,0	-2	-1
143	0,1,0	4,4,0	0,0,0	0,1,0	-2	-1
154	5,2,6	80,75,90	5,0,2	78,39,29	-2	-1
156	0,2,0	3,5,1	0,0,1	3,10,5	-2	-1
158	1,1,3	57,82,39	1,6,2	25,46,44	-2	-1
159	0,0,0	3,1,0	1,2,0	7,2,1	-2	-1
160	9,16,11	1,0,0	17,20,12	1,0,0	-2	-1
161	0,0,0	12,8,15	1,2,0	14,12,3	-2	-1
162	29,34,27	540,733,571	36,92,92	403,807,796	-2	-1
179	1,0,0	122,141,141	0,0,0	97,104,89	-2	-1
181	1,0,0	6,2,6	0,0,0	2,3,2	-2	-1
189	0,1,0	0,2,2	0,0,0	0,0,2	-2	-1
