ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,3,0	0,0,1	0,0,0	1,2,4	88	-1
7	115,101,106	0,1,0	50,58,55	1,3,0	140	-1
11	97,116,70	2,6,3	85,122,112	3,6,6	29	-1
15	2,10,6	0,1,2	3,12,3	0,3,2	8	-1
16	34,42,33	4,5,2	23,22,30	0,2,4	232	-1
18	2,4,5	0,0,0	1,4,5	0,1,0	5	-1
21	13,22,9	0,0,0	33,18,14	0,0,1	3	-1
24	1,3,3	20,14,19	2,1,1	13,59,45	59	-1
25	658,590,668	0,2,2	666,405,369	1,0,0	539	-1
26	1,7,3	0,0,2	3,0,3	0,0,0	44	-1
27	6,6,5	4,2,2	7,3,1	1,1,0	11	-1
30	0,3,1	0,0,3	0,0,0	1,0,1	21	-1
31	0,1,0	9,7,4	0,0,0	8,3,1	75	-1
32	2,1,3	6,8,1	1,2,2	7,6,1	71	-1
33	5,24,11	1,1,0	8,26,29	0,1,4	5	-1
36	0,2,5	5,3,2	1,3,3	1,10,3	6	-1
37	0,0,2	8,8,10	0,0,0	6,30,34	332	-1
38	0,2,2	1,1,0	3,3,2	2,5,3	27	-1
40	13,11,4	347,437,317	3,15,3	295,185,213	71	-1
48	3,1,1	0,0,0	1,0,0	2,1,0	3	-1
49	508,515,977	0,0,0	469,613,534	1,0,0	344	-1
51	5,2,10	38,29,49	4,4,1	35,6,14	25	-1
54	16,18,15	1,0,1	11,12,14	1,0,1	1	-1
57	26,64,36	192,238,180	39,32,23	144,234,181	291	-1
59	0,0,0	1,4,3	1,3,1	7,3,5	44	-1
65	0,0,0	4,1,0	0,0,1	0,5,3	3	-1
68	19,28,18	0,3,0	21,20,18	0,0,0	139	-1
70	3,6,3	14,10,24	3,3,2	5,6,8	29	-1
71	17,19,11	1,0,0	7,17,7	0,0,0	390	-1
72	17,17,10	0,0,3	7,16,6	0,0,0	592	-1
74	0,2,1	3,17,6	8,1,3	20,13,18	3	-1
78	0,1,0	1,0,0	0,0,0	1,0,1	203	-1
81	5,8,6	0,0,1	4,4,4	0,0,0	79	-1
82	0,16,2	2,2,0	9,20,10	5,10,6	150	-1
85	5,7,2	0,3,1	6,3,4	0,0,2	8	-1
87	251,399,269	0,1,0	306,173,284	0,1,1	151	-1
89	9,12,14	11,12,18	6,19,17	11,9,15	62	-1
92	0,0,1	1,4,3	3,0,0	4,0,0	3	-1
97	0,1,0	3,0,1	0,0,0	0,3,3	86	-1
99	8,11,11	1,0,0	16,11,9	2,0,0	97	-1
100	0,0,6	2,2,2	0,1,1	1,0,1	3	-1
113	1,0,0	29,26,20	0,0,2	30,39,39	388	-1
115	0,6,2	0,1,0	4,4,6	0,0,0	662	-1
116	3,1,0	12,8,15	7,2,1	14,12,3	17	-1
117	1,0,0	1,0,0	0,0,0	1,0,0	17	-1
119	1,0,0	0,0,1	1,0,0	0,0,0	8	-1
120	12,8,15	14,10,1	14,12,3	5,3,5	8	-1
121	1,2,1	0,0,1	2,1,0	0,0,1	8	-1
122	700,1074,656	0,0,1	770,820,859	0,2,0	243	-1
123	31,44,27	292,428,273	33,44,40	315,277,288	35	-1
126	0,0,1	0,0,2	0,4,3	0,0,0	64	-1
132	0,0,0	17,35,12	0,0,1	17,18,18	1138	-1
134	0,5,0	44,52,37	1,3,2	30,29,24	34	-1
135	18,12,11	2,2,11	17,16,20	0,7,8	419	-1
136	0,2,0	9,16,6	0,0,0	9,1,3	78	-1
137	4,13,2	1,0,0	4,5,5	0,0,2	16	-1
140	1,0,0	0,4,0	0,1,0	2,1,2	3	-1
142	9,52,16	0,0,0	19,67,68	0,1,0	188	-1
144	27,21,22	11,15,14	21,16,14	11,11,15	75	-1
145	13,9,13	13,10,18	4,5,8	16,24,14	139	-1
146	29,19,26	3,1,2	20,21,12	3,0,0	78	-1
152	2,0,2	11,16,15	2,0,1	16,10,12	8	-1
155	2,2,3	28,26,27	2,3,0	32,14,9	13	-1
156	0,4,3	111,131,127	1,0,3	110,52,58	45	-1
161	57,86,46	17,26,11	79,51,62	26,16,14	22	-1
164	1,1,2	9,14,6	0,0,0	9,6,14	22	-1
165	15,10,9	0,1,0	14,6,4	0,0,0	593	-1
166	2,1,2	3,11,2	1,2,0	5,6,5	41	-1
177	18,63,19	5,1,5	28,17,8	4,0,4	249	-1
183	3,7,0	0,2,2	3,1,1	0,1,3	231	-1
187	4,3,2	6,13,3	4,7,5	5,21,8	20	-1
189	0,0,3	5,9,9	1,1,0	10,1,7	59	-1
191	20,35,34	0,0,1	28,23,30	0,1,0	13	-1
194	37,85,23	0,0,0	70,53,39	1,1,0	105	-1
195	20,22,15	0,0,0	17,10,14	0,0,1	6	-1
196	2,0,9	23,24,31	0,0,3	22,32,34	110	-1
200	0,1,0	31,32,24	1,0,0	26,45,36	58	-1
201	1,0,0	0,3,2	0,0,0	0,7,1	4	-1
203	6,13,5	0,0,0	13,18,14	0,1,0	51	-1
204	4,11,0	0,0,0	6,3,4	0,0,2	227	-1
207	40,45,33	49,57,46	25,20,24	37,32,43	10	-1
208	80,87,86	7,10,7	55,50,66	10,5,4	196	-1
212	30,33,21	2,9,7	32,37,39	10,10,6	68	-1
214	3,5,2	0,0,0	1,4,1	0,1,0	31	-1
215	31,61,34	0,0,0	39,52,43	0,1,0	31	-1
224	9,7,4	8,2,3	17,11,13	0,3,2	59	-1
228	1,0,2	6,8,3	0,1,0	9,5,8	52	-1
236	4,1,8	2,0,0	0,7,8	0,0,0	1322	-1
238	4,15,8	0,0,0	10,8,11	0,1,0	91	-1
242	7,2,1	0,0,1	3,3,1	1,2,7	475	-1
247	10,3,12	47,97,63	4,0,2	84,48,59	63	-1
248	3,0,0	37,20,32	1,1,1	12,33,16	478	-1
250	0,0,5	2,2,1	0,0,0	1,3,1	53	-1
254	0,2,1	3,3,3	1,1,0	0,1,1	150	-1
255	0,3,2	0,2,0	0,1,0	0,0,0	29	-1
256	0,2,0	13,58,20	0,2,4	46,47,26	5	-1
257	0,4,0	14,33,19	1,1,3	34,7,17	4	-1
259	97,84,76	103,130,95	77,58,43	59,78,58	50	-1
265	4,12,3	1,2,3	2,13,6	4,0,0	31	-1
266	1,0,0	3,3,4	0,0,2	3,1,1	4	-1
269	9,18,7	0,0,1	25,13,12	0,1,0	1367	-1
270	17,4,21	5,0,0	4,12,4	3,3,0	26	-1
271	39,42,30	3,5,5	8,16,27	1,1,6	26	-1
272	6,5,14	4,1,2	2,5,2	2,0,2	26	-1
275	0,0,0	50,55,35	1,0,0	28,46,49	15	-1
276	0,2,2	3,2,0	1,6,3	2,0,2	223	-1
292	4,13,2	23,22,11	6,7,3	7,15,13	32	-1
293	0,1,0	3,9,2	0,1,0	1,3,4	14	-1
295	0,2,0	10,34,11	1,0,1	29,27,36	20	-1
