ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	12,11,5	0,1,0	10,10,10	1,1,0	189	-1
1	2,0,1	0,1,0	2,0,1	0,1,0	85	-1
6	39,134,47	0,8,5	158,193,223	7,8,2	98	-1
7	63,105,65	11,26,9	119,127,100	16,34,20	83	-1
8	0,0,0	33,114,58	2,0,0	82,31,43	134	-1
9	92,207,98	0,1,1	122,125,111	0,0,0	131	-1
10	265,293,321	0,0,0	147,181,186	0,0,1	20	-1
11	437,384,475	0,0,2	238,329,290	3,0,2	103	-1
12	0,2,1	254,211,275	4,0,1	130,202,178	133	-1
13	539,426,542	0,0,2	275,385,389	1,0,0	86	-1
14	0,1,1	313,246,293	0,1,2	151,204,226	64	-1
16	3,0,0	0,5,1	3,2,2	0,0,2	167	-1
25	1,4,1	0,1,0	1,1,6	2,3,0	138	-1
27	7,10,3	0,2,0	2,2,13	0,1,3	92	-1
29	6,10,3	0,2,0	2,2,13	0,1,3	111	-1
31	0,1,1	1,0,0	1,0,0	0,0,0	109	-1
36	0,5,0	0,0,0	4,0,0	0,1,0	44	-1
43	72,135,68	10,13,5	167,93,140	9,9,13	86	-1
44	29,53,23	0,1,0	40,38,38	0,0,0	71	-1
48	38351,34541,23428	5,5,2	25557,18114,13654	1,0,0	69	-1
49	13462,11973,8320	52,35,62	9691,5195,4082	35,35,26	75	-1
50	37594,33925,23005	9,6,7	27159,17255,13412	11,4,4	75	-1
51	122,93,143	9,6,7	66,73,59	11,4,4	75	-1
52	72,62,84	24241,22100,14737	33,40,36	17565,12111,9356	75	-1
60	15,1,5	2,5,3	3,19,5	0,2,3	195	-1
61	12,8,15	1,0,2	7,8,7	0,0,3	88	-1
62	11,17,15	2,0,2	16,2,4	0,1,0	317	-1
63	17,8,17	1,0,1	4,35,22	3,0,0	51	-1
64	5,13,6	4,0,4	6,19,17	1,5,5	99	-1
65	6,13,9	4,0,4	6,21,22	1,5,5	272	-1
68	2,8,7	7,14,14	4,8,7	5,32,29	200	-1
69	18,16,17	0,0,1	19,15,18	0,1,1	65	-1
70	47,75,55	2,0,0	49,70,54	2,2,0	92	-1
72	2,0,1	0,0,0	2,3,2	0,0,1	278	-1
73	0,1,0	1,0,1	2,1,0	1,3,1	247	-1
81	10,23,35	0,1,0	16,15,28	1,0,0	124	-1
84	54,26,42	2,0,0	13,13,33	1,0,0	238	-1
