ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000066152"	"Slc31a2"	chr4	+	62295886	62296076	62292631	62292698	62296974	62297355
9	"ENSMUSG00000038708"	"Golga4"	chr9	+	118551831	118551963	118548407	118548801	118553434	118553490
10	"ENSMUSG00000038708"	"Golga4"	chr9	+	118565556	118565667	118560741	118560872	118568963	118569039
11	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566907	118566979	118565556	118565667	118568963	118569039
12	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566958	118566979	118565275	118565667	118568963	118569039
13	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567180	118567249	118566958	118566979	118568963	118569039
14	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567190	118567249	118566907	118566979	118568963	118569039
15	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118568963	118569039	118577141	118577228
17	"ENSMUSG00000038708"	"Golga4"	chr9	+	118577141	118577228	118572771	118573021	118581848	118581873
25	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	75048441	75048524	75047352	75047469	75048784	75048803
26	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	75048441	75048539	75047352	75047469	75048784	75048813
30	"ENSMUSG00000022940"	"Pigp"	chr16	-	94365354	94365473	94358762	94359174	94370088	94370192
31	"ENSMUSG00000022940"	"Pigp"	chr16	-	94367560	94367633	94365354	94365473	94370088	94370192
33	"ENSMUSG00000020627"	"Klhl29"	chr12	-	5102688	5102827	5094816	5095019	5137422	5137935
50	"ENSMUSG00000047714"	"Ppp1r2"	chr16	-	31258336	31258504	31251536	31254733	31260573	31260668
51	"ENSMUSG00000047714"	"Ppp1r2"	chr16	-	31265304	31265412	31261229	31261307	31274845	31274992
53	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	121566274	121566346	121560385	121560462	121578457	121578747
54	"ENSMUSG00000022247"	"Brix1"	chr15	-	10485354	10485416	10483294	10483362	10485734	10485887
57	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518229	43518299	43514710	43516003	43518401	43518464
58	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43518464	43518229	43518299	43518643	43518719
59	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43518401	43518464	43519002	43519078
60	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43518401	43518464	43519226	43519297
61	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43519002	43519078	43518401	43518464	43519226	43519297
62	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43519002	43519078	43518643	43518719	43519226	43519297
63	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43519388	43519506	43519226	43519297	43519610	43519669
74	"ENSMUSG00000040483"	"Xaf1"	chr11	+	72306563	72306652	72304665	72304861	72308606	72308749
75	"ENSMUSG00000040483"	"Xaf1"	chr11	+	72308606	72308924	72303326	72303462	72311955	72312081
76	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711389	120711478	120710941	120711306	120711702	120711756
77	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711389	120711501	120710941	120711306	120711702	120711983
78	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711843	120711895	120711702	120711756	120713692	120713738
79	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120712439	120712539	120711843	120711895	120713692	120713732
80	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120712439	120712712	120711843	120711895	120713692	120713732
85	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701448	56701541	56701022	56701088	56702762	56702890
