ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118577141	118577228	118568963	118569039	118581848	118582117	0	278,237,218,258,211	480,513,406,453,402	153,97,144,75,122	247,162,197,139,170	-2	-2	0.0396071737738	0.139193632234	0.367,0.316,0.349,0.363,0.344	0.383,0.375,0.422,0.35,0.418	-0.042
1	"ENSMUSG00000079362"	"Gm43302"	chr5	-	105288926	105289054	105290836	105291026	105280454	105280564	105293625	105293695	1	0,3,2,1,0	0,3,1,2,0	16,11,7,5,12	8,12,4,4,18	-2	-2	1	1.0	NA,0.5,0.667,0.333,NA	0.667,0.478,0.636,0.556,0.4	-0.047
2	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100824915	100825001	100826451	100826518	100821118	100821206	100828899	100829022	2	1,1,0,1,0	0,0,0,0,1	11,9,12,5,7	12,11,28,14,3	-2	-2	1	1.0	1.0,1.0,NA,1.0,0.0	0.478,0.45,0.3,0.263,0.7	0.312
4	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518229	43518299	43518401	43518464	43514711	43516003	43518643	43518719	4	24063,24871,22247,27605,24079	25627,26132,24866,31328,27578	21509,18790,22181,17473,17216	21754,15764,20512,16552,16048	-2	-2	0.00741276374034	0.0356443533046	0.484,0.488,0.472,0.468,0.466	0.497,0.544,0.52,0.514,0.518	-0.043
5	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43518464	43518643	43518719	43518229	43518299	43519226	43519297	5	18909,20038,18316,22118,18662	17250,18009,17598,20594,17640	19682,16063,19955,16149,16133	13800,12166,13458,11080,10682	-2	-2	5.37027881897e-06	7.07528213907e-05	0.523,0.527,0.51,0.518,0.514	0.588,0.569,0.597,0.593,0.602	-0.071
6	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297	6	200,291,465,239,269	47062,49065,44482,54477,46878	87,77,167,124,115	44897,37352,45528,36474,36186	-2	-2	1	1.0	0.004,0.006,0.01,0.004,0.006	0.002,0.002,0.004,0.003,0.003	0.003
7	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919840	144920079	144918650	144918794	144923905	144924031	7	1,0,6,4,2	95,106,124,104,59	2,2,1,5,7	110,92,126,113,104	-2	-2	0.555464047674	0.965652882879	0.01,0.0,0.046,0.037,0.033	0.018,0.021,0.008,0.042,0.063	-0.005
8	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144919840	144920079	144918650	144918794	144923905	144924031	8	44,52,64,38,29	95,106,124,104,59	59,74,89,94,69	110,92,126,113,104	-2	-2	0.000757318816633	0.00528504200301	0.317,0.329,0.34,0.268,0.33	0.349,0.446,0.414,0.454,0.399	-0.096
9	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144919229	144919504	144927134	144927639	9	56,72,60,66,33	132,186,264,157,104	76,79,129,88,80	167,191,189,180,197	-2	-2	0.00538454218109	0.0278517340282	0.298,0.279,0.185,0.296,0.241	0.313,0.293,0.406,0.328,0.289	-0.066
10	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374377	38362208	38363147	38377654	38378216	10	35,19,29,25,41	72,33,40,52,43	58,20,27,59,35	34,26,31,53,34	-2	-2	0.00378082057814	0.0208691869218	0.327,0.365,0.42,0.325,0.488	0.63,0.435,0.466,0.527,0.507	-0.128
