ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46587934	46590201	46587934	46588010	46590140	46590201
1	"ENSMUSG00000031896"	"Ctrl"	chr8	-	105932823	105933059	105932823	105932905	105932979	105933059
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519002	43519078
3	"ENSMUSG00000032352"	"Lrrc1"	chr9	-	77435046	77435219	77435046	77435071	77435176	77435219
4	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711702	120711895	120711702	120711756	120711843	120711895
5	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701022	56702890	56701022	56701088	56702762	56702890
6	"ENSMUSG00000060112"	"Olfr60"	chr7	-	140346987	140347912	140346987	140347226	140347849	140347912
7	"ENSMUSG00000109354"	"Olfr706"	chr7	-	106882588	106884829	106882588	106883967	106884786	106884829
8	"ENSMUSG00000109354"	"Olfr706"	chr7	-	106882588	106884829	106882588	106884003	106884786	106884829
9	"ENSMUSG00000109354"	"Olfr706"	chr7	-	106882588	106886837	106882588	106884829	106886450	106886837
10	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96664761	96665897	96664761	96664846	96665809	96665897
11	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48488700	48490938	48488700	48489988	48490847	48490938
12	"ENSMUSG00000025474"	"Tubgcp2"	chr7	-	140004798	140005450	140004798	140004979	140005269	140005450
13	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127326552	127327014	127326552	127326651	127326872	127327014
14	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127328093	127328524	127328093	127328147	127328389	127328524
15	"ENSMUSG00000079334"	"Naa80"	chr9	+	107579099	107580935	107579099	107579385	107580456	107580935
16	"ENSMUSG00000091475"	"2810468N07Rik"	chr17	+	25573985	25574532	25573985	25574133	25574246	25574532
17	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124886682	124886946	124886682	124886779	124886852	124886946
18	"ENSMUSG00000030795"	"Fus"	chr7	+	127972553	127975920	127972553	127972770	127975887	127975920
19	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428133	89428827	89428133	89428229	89428410	89428827
