ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118577141	118577228	118568963	118569039	118581848	118582117
1	"ENSMUSG00000079362"	"Gm43302"	chr5	-	105288926	105289054	105290836	105291026	105280454	105280564	105293625	105293695
2	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100824915	100825001	100826451	100826518	100821118	100821206	100828899	100829022
3	"ENSMUSG00000060275"	"Nrg2"	chr18	-	36031882	36031941	36032335	36032412	36024305	36024408	36038230	36038351
4	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297
5	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919840	144920079	144918650	144918794	144923905	144924031
6	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144919840	144920079	144918650	144918794	144923905	144924031
7	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144918650	144918794	144927134	144927639
8	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144919229	144919504	144927134	144927639
9	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374377	38362208	38363147	38377654	38378216
10	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374236	38362244	38363147	38377654	38378216
11	"ENSMUSG00000031605"	"Klhl2"	chr8	-	64749031	64749172	64749694	64749823	64739847	64743098	64751728	64751830
12	"ENSMUSG00000023143"	"Nagpa"	chr16	-	5199615	5199744	5199942	5200051	5198730	5198936	5201373	5201513
13	"ENSMUSG00000056342"	"Usp34"	chr11	+	23420039	23420144	23421097	23421153	23418978	23419131	23421245	23421366
14	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119344508	119346469	119346568	119344172	119344252	119347729	119347810
15	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119348920	119349100	119349353	119349409	119348580	119348771	119349491	119349637
16	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70247573	70247719	70266629	70266754	70245852	70245992	70267308	70267506
17	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70256359	70256471	70266629	70266754	70247573	70247719	70267308	70267506
18	"ENSMUSG00000030347"	"D6Wsu163e"	chr6	+	126966879	126967082	126973555	126973613	126961965	126962040	126974486	126974554
19	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23111502	23111592	23110233	23110343	23111816	23112409
20	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111125	23111263	23111502	23111592	23110579	23110723	23111816	23111896
21	"ENSMUSG00000041890"	"Git2"	chr5	-	114739032	114739281	114743775	114743880	114733860	114733943	114745428	114745571
22	"ENSMUSG00000041890"	"Git2"	chr5	-	114753010	114753016	114753147	114753153	114752278	114752327	114753278	114753324
23	"ENSMUSG00000041890"	"Git2"	chr5	-	114766451	114766557	114769616	114769750	114764346	114764477	114773313	114773495
24	"ENSMUSG00000024789"	"Jak2"	chr19	+	29288673	29288801	29291166	29291301	29287900	29288087	29294855	29294943
25	"ENSMUSG00000026495"	"Efcab2"	chr1	+	178455815	178455888	178474881	178474961	178437401	178437486	178475684	178475727
26	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44161809	44161953	44163876	44164084	44160976	44161037	44166808	44166998
27	"ENSMUSG00000032952"	"Ap4b1"	chr3	+	103817759	103817843	103818803	103818907	103814824	103815321	103820253	103820461
28	"ENSMUSG00000028100"	"Nudt17"	chr3	-	96707783	96707809	96707809	96707886	96707557	96707650	96707991	96708175
29	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83730110	83730257	83733413	83733566	83729381	83729525	83734008	83734125
30	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83730110	83730257	83734295	83734352	83729381	83729525	83741106	83741169
31	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83734008	83734125	83734295	83734352	83729381	83729525	83741106	83741169
32	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107750007	107750092	107750462	107750548	107749707	107749799	107751718	107751791
33	"ENSMUSG00000034621"	"Gpatch8"	chr11	-	102531312	102531330	102537111	102537146	102528093	102528166	102538281	102538356
34	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25464848	25466437	25471797	25472073	25463328	25463900	25476343	25476703
35	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25465467	25465520	25466316	25466437	25464848	25464880	25471797	25472073
36	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25466316	25466437	25471797	25472073	25465467	25465520	25476343	25476703
37	"ENSMUSG00000097572"	"Gm26797"	chr9	-	122304827	122304893	122307194	122307335	122296367	122296442	122307956	122307999
38	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109519917	109519993	109520467	109520642	109519584	109519648	109521600	109522367
39	"ENSMUSG00000017978"	"Cadps2"	chr6	-	23344582	23344591	23354193	23354202	23344206	23344363	23355823	23355927
40	"ENSMUSG00000033065"	"Pfkm"	chr15	+	98125549	98125613	98126303	98126453	98125025	98125090	98126852	98126923
41	"ENSMUSG00000063145"	"Bbs5"	chr2	+	69661035	69661098	69663025	69663160	69656896	69656992	69665025	69665109
42	"ENSMUSG00000068250"	"Amn1"	chr6	-	149169302	149169404	149169447	149169504	149166805	149166917	149170832	149171050
43	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010003	98010376	98011342	98011497	98009857	98009916	98011865	98011942
44	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010295	98010376	98011342	98011497	98009857	98009916	98011865	98011942
45	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010626	98010646	98011342	98011497	98010295	98010376	98011865	98011942
46	"ENSMUSG00000043940"	"Wdfy3"	chr5	-	101981378	101981589	102009788	102009887	101968868	101968992	102041654	102041743
47	"ENSMUSG00000054302"	"Eapp"	chr12	-	54685859	54685971	54691999	54692095	54678509	54678623	54692774	54692956
48	"ENSMUSG00000026159"	"Agfg1"	chr1	+	82880007	82880127	82880746	82880818	82876170	82876324	82882227	82882437
49	"ENSMUSG00000020740"	"Gga3"	chr11	-	115591262	115591366	115591629	115591753	115590886	115590967	115592431	115592530
50	"ENSMUSG00000020740"	"Gga3"	chr11	-	115591629	115591753	115592431	115592530	115591262	115591366	115594705	115594781
51	"ENSMUSG00000038615"	"Nfe2l1"	chr11	-	96821250	96821409	96822103	96822319	96817413	96820516	96827197	96828223
52	"ENSMUSG00000042015"	"Wdr41"	chr13	+	94995249	94995298	95005730	95005842	94978469	94978585	95008807	95008870
53	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67029663	67029742	67031028	67031098	67022621	67023441	67031451	67031514
54	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67031028	67031098	67031451	67031514	67028847	67029742	67031950	67032026
55	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67031451	67031514	67032793	67032864	67031028	67031098	67033875	67033993
56	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67031950	67032026	67032465	67032541	67031451	67031514	67032793	67032864
57	"ENSMUSG00000020955"	"Ap4s1"	chr12	+	51720635	51720722	51722979	51723048	51716941	51717150	51730887	51730899
58	"ENSMUSG00000037151"	"Lrrc20"	chr10	+	61482335	61482482	61527059	61527209	61475800	61475889	61548047	61548215
59	"ENSMUSG00000037151"	"Lrrc20"	chr10	+	61527059	61527209	61548047	61548215	61482335	61482482	61580129	61582791
60	"ENSMUSG00000033382"	"Trappc8"	chr18	-	20854944	20855076	20860432	20860538	20852629	20852854	20862894	20862995
