"","ID","GeneID","geneSymbol","chr","strand","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"102",183,"ENSMUSG00000022538","Lsg1","chr16","-",30582055,30582160,30582055,30582142,30582530,30582651,183,"10,6,13,7,6","18,17,25,22,8","2,0,1","15,7,6",-2,-1,0.000130115138031,0.00752543471796,"0.217,0.15,0.206,0.137,0.273","0.063,0.0,0.077",0.15,42,90,3,28
"142",277,"ENSMUSG00000030996","Art1","chr7","+",102106666,102107432,102107338,102107432,102106259,102106365,277,"392,568,499,489,345","10,44,12,11,17","364,358,513","18,40,36",-2,-1,0.000215762168201,0.0110252130812,"0.951,0.866,0.954,0.957,0.91","0.91,0.817,0.877",0.06,2293,94,1235,94
"283",531,"ENSMUSG00000062078","Qk","chr17","-",10213358,10214194,10213358,10213433,10216159,10216459,531,"81,121,210,101,88","116,59,128,108,55","35,26,22","64,80,62",-2,-1,4.89848805962e-09,3.47057879024e-06,"0.259,0.506,0.451,0.319,0.444","0.215,0.14,0.151",0.227,601,466,83,206
"439",808,"ENSMUSG00000059890","Ube4a","chr9","-",44952941,44953172,44952941,44953115,44959978,44960139,808,"19,22,24,31,18","2,0,1,3,0","13,26,5","5,1,5",-2,-1,0.000699689363197,0.0254220468628,"0.826,1.0,0.923,0.838,1.0","0.565,0.929,0.333",0.308,114,6,44,11
"580",1086,"ENSMUSG00000051910","Sox6","chr7","-",115550009,115550159,115550009,115550156,115580564,115580644,1086,"18,11,13,9,6","0,1,0,1,0","38,28,29","3,2,3",-2,-1,0.000309169645515,0.0143637176293,"1.0,0.846,1.0,0.818,1.0","0.864,0.875,0.829",0.077,57,2,95,8
"595",1114,"ENSMUSG00000022995","Enah","chr1","-",181921657,181922500,181921657,181921768,181923559,181923840,1114,"64,29,37,12,16","17,21,22,26,12","4,1,4","17,18,8",-2,-1,7.81887888879e-07,0.000182987417789,"0.653,0.408,0.457,0.188,0.4","0.105,0.027,0.2",0.311,158,98,9,43
"673",1314,"ENSMUSG00000002249","Tead3","chr17","-",28333505,28333679,28333505,28333674,28333790,28333936,1314,"13,17,15,6,16","1,0,1,1,0","7,15,14","1,3,4",-2,-1,2.46780746945e-05,0.00263001184677,"0.867,1.0,0.882,0.75,1.0","0.778,0.714,0.636",0.19,67,3,36,8
"763",1476,"ENSMUSG00000023079","Gtf2ird1","chr5","-",134382529,134382685,134382529,134382586,134382780,134382830,1476,"2,1,7,2,6","12,13,10,17,8","0,0,0","1,3,4",-2,-1,0.000128076449223,0.00752543471796,"0.077,0.037,0.259,0.056,0.273","0.0,0.0,0.0",0.14,18,60,0,8
"1056",2136,"ENSMUSG00000041264","Uspl1","chr5","+",149193839,149194440,149193897,149194440,149188344,149188473,2136,"14,22,23,31,9","0,0,1,1,0","11,8,13","2,1,3",-2,-1,0.000166069963069,0.00941284550675,"1.0,1.0,0.92,0.939,1.0","0.733,0.8,0.684",0.233,99,2,32,6
"1105",2245,"ENSMUSG00000017418","Arl5b","chr2","+",15069819,15069967,15069857,15069967,15068138,15068199,2245,"7,10,16,15,4","1,0,1,0,0","9,4,2","2,1,2",-2,-1,0.000772135142469,0.0270151974538,"0.778,1.0,0.889,1.0,1.0","0.692,0.667,0.333",0.369,52,2,15,5
"1278",2565,"ENSMUSG00000018398","Sept8","chr11","+",53534948,53535135,53534954,53535135,53534432,53534628,2565,"12,20,26,39,25","9,7,10,13,8","6,6,0","8,9,5",-2,-1,0.000129341223565,0.00752543471796,"0.4,0.588,0.565,0.6,0.61","0.273,0.25,0.0",0.378,122,47,12,22
