ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46587934	46590201	46587934	46588010	46590140	46590201	0	1,0,2,0,0	0,0,1,0,1	0,0,0	0,1,0	-2	-1	1	1.0	1.0,NA,0.5,NA,0.0	NA,0.0,NA	0.5
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519002	43519078	2	5176,3835,5229,4047,4076	29,34,82,58,59	3156,1688,1280	35,35,26	-2	-1	0.0355589886449	0.422936455852	0.989,0.983,0.97,0.972,0.972	0.978,0.96,0.961	0.011
4	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711702	120711895	120711702	120711756	120711843	120711895	4	6,10,8,6,5	26,28,10,8,7	4,8,9	9,51,33	-2	-1	0.0538284913648	0.565827888019	0.103,0.152,0.286,0.273,0.263	0.182,0.073,0.12	0.09
5	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701022	56702890	56701022	56701088	56702762	56702890	5	1,3,1,1,0	1,1,0,6,0	0,0,0	2,2,0	-2	-1	1	1.0	0.333,0.6,1.0,0.077,NA	0.0,0.0,NA	0.503
10	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96664761	96665897	96664761	96664846	96665809	96665897	10	0,2,0,2,2	1,2,4,1,1	1,1,2	3,2,1	-2	-1	0.733846423646	1.0	0.0,0.333,0.0,0.5,0.5	0.143,0.2,0.5	-0.014
11	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48488700	48490938	48488700	48489988	48490847	48490938	11	0,0,0,0,7	25,26,45,33,9	1,0,0	19,2,8	-2	-1	0.492574994538	1.0	0.0,0.0,0.0,0.0,0.28	0.026,0.0,0.0	0.047
14	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127328093	127328524	127328093	127328147	127328389	127328524	14	1,0,1,0,0	3,3,1,3,1	0,0,0	0,3,0	-2	-1	1	1.0	0.143,0.0,0.333,0.0,0.0	NA,0.0,NA	0.095
17	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124886682	124886946	124886682	124886779	124886852	124886946	17	0,0,0,0,0	197,213,255,179,184	2,0,3	154,174,188	-2	-1	1	1.0	0.0,0.0,0.0,0.0,0.0	0.006,0.0,0.008	-0.005
18	"ENSMUSG00000030795"	"Fus"	chr7	+	127972553	127975920	127972553	127972770	127975887	127975920	18	22,2,19,8,10	2,2,3,1,0	5,4,2	0,0,0	-2	-1	0.00464838616265	0.165299572259	0.846,0.333,0.76,0.8,1.0	1.0,1.0,1.0	-0.252
19	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428133	89428827	89428133	89428229	89428410	89428827	19	0,0,1,0,0	105,98,140,94,69	0,0,0	28,25,15	-2	-1	1	1.0	0.0,0.0,0.004,0.0,0.0	0.0,0.0,0.0	0.001
