ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118577141	118577228	118568963	118569039	118581848	118582117
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518229	43518299	43518401	43518464	43514711	43516003	43518643	43518719
3	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43518464	43518643	43518719	43518229	43518299	43519226	43519297
6	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144923905	144924031	144918650	144918794	144927134	144927639
8	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144923905	144924031	144918650	144918794	144927134	144927645
9	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144918650	144918794	144927134	144927639
10	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144919229	144919504	144927134	144927639
11	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374377	38362208	38363147	38377654	38378216
12	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374236	38362244	38363147	38377654	38378216
14	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119344508	119346469	119346568	119344172	119344252	119347729	119347810
16	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70256359	70256471	70266629	70266754	70247573	70247719	70267308	70267506
17	"ENSMUSG00000027835"	"Pdcd10"	chr3	-	75528809	75528927	75533540	75533590	75527587	75527714	75541159	75541378
18	"ENSMUSG00000027835"	"Pdcd10"	chr3	-	75528809	75528927	75533540	75533594	75527587	75527714	75541159	75541378
19	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111125	23111263	23111502	23111592	23110579	23110723	23111816	23111896
24	"ENSMUSG00000024352"	"Spata24"	chr18	-	35660443	35660574	35660791	35660857	35660282	35660353	35662011	35662131
33	"ENSMUSG00000022020"	"Naa16"	chr14	-	79344894	79345108	79350688	79350830	79343125	79343319	79351372	79351501
34	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010003	98010376	98011342	98011497	98009857	98009916	98011865	98011942
35	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010295	98010376	98011342	98011497	98009857	98009916	98011865	98011942
37	"ENSMUSG00000018412"	"Kansl1"	chr11	-	104378684	104378826	104423921	104425293	104357480	104357596	104467638	104467752
38	"ENSMUSG00000027667"	"Zfp639"	chr3	+	32514383	32514454	32515283	32515352	32513000	32513192	32517028	32517139
40	"ENSMUSG00000031388"	"Naa10"	chrX	-	73917842	73917927	73919501	73919546	73916872	73917195	73919753	73919869
41	"ENSMUSG00000031388"	"Naa10"	chrX	-	73917842	73917927	73919501	73919540	73916919	73917195	73919753	73919869
43	"ENSMUSG00000020740"	"Gga3"	chr11	-	115591629	115591753	115592431	115592530	115591262	115591366	115594705	115594781
44	"ENSMUSG00000032307"	"Ube2q2"	chr9	+	55184903	55184964	55185669	55185760	55183101	55183186	55191841	55191900
46	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67031028	67031098	67031451	67031514	67028847	67029742	67031950	67032026
49	"ENSMUSG00000037151"	"Lrrc20"	chr10	+	61482335	61482482	61527059	61527209	61475800	61475889	61548047	61548215
50	"ENSMUSG00000037151"	"Lrrc20"	chr10	+	61527059	61527209	61548047	61548215	61482335	61482482	61580129	61582791
52	"ENSMUSG00000021884"	"Hacl1"	chr14	-	31619844	31619928	31621002	31621108	31618971	31619073	31622838	31622974
55	"ENSMUSG00000033365"	"Ipo13"	chr4	-	117894743	117894925	117895211	117895301	117894485	117894657	117895419	117895478
56	"ENSMUSG00000031657"	"Heatr3"	chr8	+	88161877	88161966	88164887	88165031	88158128	88158265	88166995	88167172
