ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566907	118566979	118566958	118566979	118565556	118565667	0	15,9,12,8,17	318,311,273,284,214	6,2,5	205,220,264	-2	-1	0.0034012160123	0.104437338731	0.023,0.014,0.022,0.014,0.038	0.014,0.005,0.009	0.013
4	"ENSMUSG00000021708"	"Rasgrf2"	chr13	-	91972180	91972288	91972180	91972285	91982593	91982856	4	0,0,0,1,0	0,0,0,0,1	2,3,0	1,7,2	-2	-1	1	1.0	NA,NA,NA,1.0,0.0	0.5,0.176,0.0	0.275
6	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43514710	43516003	43514710	43514861	43518229	43518299	6	31233,32005,30604,38065,33417	94,137,244,140,149	23457,21612,14306	82,37,86	-2	-1	0.727358846762	1.0	0.994,0.992,0.984,0.993,0.991	0.993,0.997,0.988	-0.002
7	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519226	43519297	7	4177,4715,4534,5182,4739	7,4,2,2,0	4011,4970,2528	9,6,7	-2	-1	1	1.0	0.997,0.998,0.999,0.999,1.0	0.996,0.998,0.994	0.003
9	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711702	120711895	120711702	120711756	120713692	120713738	9	5,12,10,12,15	0,0,3,0,1	12,1,5	1,0,1	-2	-1	1	1.0	1.0,1.0,0.625,1.0,0.882	0.857,1.0,0.714	0.044
10	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701022	56702890	56702762	56702890	56696717	56696789	10	15,8,15,11,10	1,0,0,2,0	22,31,35	0,0,1	-2	-1	1	1.0	0.882,1.0,1.0,0.733,1.0	1.0,1.0,0.946	-0.059
14	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919384	144919504	144918650	144918794	14	1,0,6,4,1	44,52,64,38,28	3,0,0	25,37,30	-2	-1	0.286446066597	1.0	0.011,0.0,0.045,0.05,0.018	0.057,0.0,0.0	0.006
15	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75725258	75725404	75725258	75725385	75725548	75725755	15	4,1,3,4,1	0,2,0,0,0	5,4,2	0,1,0	-2	-1	1	1.0	1.0,0.2,1.0,1.0,1.0	1.0,0.667,1.0	-0.049
16	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75725548	75725755	75725548	75725681	75726857	75727019	16	0,0,5,0,0	1,0,0,0,0	2,6,1	1,1,0	-2	-1	1	1.0	0.0,NA,1.0,NA,NA	0.5,0.75,1.0	-0.25
17	"ENSMUSG00000048416"	"Mlf1"	chr3	+	67392839	67392975	67392891	67392975	67384550	67384698	17	6,3,9,14,4	8,22,13,25,22	18,26,32	30,27,35	-2	-1	0.00492616132569	0.138250333979	0.273,0.064,0.257,0.219,0.083	0.231,0.325,0.314	-0.111
18	"ENSMUSG00000048416"	"Mlf1"	chr3	+	67392839	67392975	67392891	67392975	67390977	67391022	18	6,3,9,16,4	335,328,305,367,283	18,26,32	658,565,555	-2	-1	0.00144094128201	0.0578593345546	0.009,0.005,0.015,0.021,0.007	0.013,0.022,0.028	-0.01
19	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48488700	48490938	48488700	48489988	48493406	48493494	19	12,17,15,14,10	0,0,1,0,0	15,20,17	0,2,0	-2	-1	1	1.0	1.0,1.0,0.882,1.0,1.0	1.0,0.833,1.0	0.032
21	"ENSMUSG00000059743"	"Fdps"	chr3	-	89094451	89094577	89094451	89094529	89094859	89094932	21	1,2,0,0,2	67,56,88,58,69	0,2,0	57,52,55	-2	-1	1	1.0	0.007,0.018,0.0,0.0,0.014	0.0,0.019,0.0	0.001
25	"ENSMUSG00000030795"	"Fus"	chr7	+	127971837	127971982	127971840	127971982	127969716	127969871	25	42,64,62,54,30	34,22,23,37,18	40,66,45	34,32,20	-2	-1	0.779315407157	1.0	0.382,0.593,0.574,0.422,0.455	0.37,0.508,0.529	0.016
