"","ID","GeneID","geneSymbol","chr","strand","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"83",124,"ENSMUSG00000048416","Mlf1","chr3","+",67390977,67391022,67384550,67384698,67392891,67392975,124,"387,388,354,439,329","8,22,13,25,22","331,382,364,372,359","50,33,24,33,37",-2,-1,6.32972684711e-07,0.0001127929511,"0.96,0.898,0.932,0.898,0.882","0.768,0.853,0.883,0.849,0.829",0.078,1897,90,1808,177
"171",246,"ENSMUSG00000042079","Hnrnpf","chr6","+",117907148,117907208,117906789,117906839,117917469,117917598,246,"10,14,14,10,13","0,1,0,1,2","16,31,29,16,20","4,6,2,4,4",-2,-1,6.28184333941e-05,0.00437474507161,"1.0,0.875,1.0,0.833,0.765","0.667,0.721,0.879,0.667,0.714",0.165,61,4,112,20
"208",293,"ENSMUSG00000029470","P2rx4","chr5","+",122724593,122724674,122719129,122719226,122724989,122725131,293,"3,5,8,3,1","0,1,1,1,0","21,14,30,9,9","0,5,4,3,2",-2,-1,0.000208154349287,0.0114981221213,"1.0,0.714,0.8,0.6,1.0","1.0,0.583,0.789,0.6,0.692",0.09,20,3,83,14
"267",375,"ENSMUSG00000002885","Adgre5","chr8","-",83731902,83732037,83730110,83730257,83733413,83733566,375,"17,12,12,17,6","0,0,0,0,1","42,24,72,32,55","4,16,22,8,13",-2,-1,5.84715609264e-11,4.74099945611e-08,"1.0,1.0,1.0,1.0,0.75","0.84,0.429,0.621,0.667,0.679",0.303,64,1,225,63
"411",591,"ENSMUSG00000026028","Trak2","chr1","-",58935745,58935940,58926650,58926727,58946246,58946337,591,"11,5,11,16,14","0,0,0,0,0","102,148,189,120,73","2,3,4,5,3",-2,-1,0.000827500783458,0.033293186722,"1.0,1.0,1.0,1.0,1.0","0.962,0.961,0.959,0.923,0.924",0.054,57,0,632,17
"414",595,"ENSMUSG00000018412","Kansl1","chr11","-",104368679,104368778,104357480,104357596,104378684,104378826,595,"2,8,3,8,6","0,0,1,0,0","43,35,52,34,38","0,3,7,5,4",-2,-1,6.02807980099e-06,0.000701823054984,"1.0,1.0,0.6,1.0,1.0","1.0,0.854,0.788,0.773,0.826",0.072,27,1,202,19
"535",773,"ENSMUSG00000005481","Ddx39","chr8","+",83721465,83721524,83720956,83721140,83721733,83721852,773,"6,3,10,4,1","26,18,25,25,14","3,0,2,2,0","25,24,21,15,12",-2,-1,0.000531142689781,0.0235170737473,"0.103,0.077,0.167,0.074,0.034","0.057,0.0,0.045,0.063,0.0",0.058,24,108,7,97
"536",774,"ENSMUSG00000037151","Lrrc20","chr10","+",61482335,61482482,61475800,61475889,61527059,61527209,774,"10,6,2,9,3","0,0,0,0,0","53,69,97,60,53","6,1,8,3,1",-2,-1,4.6609082559e-06,0.000575090218118,"1.0,1.0,1.0,1.0,1.0","0.815,0.972,0.858,0.909,0.964",0.096,30,0,332,19
"617",906,"ENSMUSG00000058317","Ube2e2","chr14","-",18871493,18871544,18630298,18630431,18888265,18888297,906,"5,11,8,6,4","0,0,0,0,0","19,17,17,13,22","0,2,1,7,0",-2,-1,0.000458086936411,0.0208834291513,"1.0,1.0,1.0,1.0,1.0","1.0,0.81,0.895,0.481,1.0",0.163,34,0,88,10
"903",1349,"ENSMUSG00000114470","Gm49395","chr13","-",115088704,115088961,115049282,115049403,115101470,115101624,1349,"3,1,4,2,4","0,2,0,1,1","3,0,1,0,2","12,8,18,18,11",-2,-1,3.43665895741e-09,1.62546808979e-06,"1.0,0.2,1.0,0.5,0.667","0.111,0.0,0.027,0.0,0.083",0.629,14,4,6,67
