ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000066152"	"Slc31a2"	chr4	+	62295886	62296076	62292631	62292698	62296974	62297355	0	12,11,5	0,1,0	10,10,10	1,1,0	189	-1	nan	nan	1.0,-0.062,1.0	-0.056,-0.056,1.0	0.35
1	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46588223	46588309	46587934	46588010	46590140	46590201	1	2,0,1	0,1,0	2,0,1	0,1,0	85	-1	1	nan	1.0,-0.0,1.0	1.0,-0.0,1.0	0.0
6	"ENSMUSG00000038708"	"Golga4"	chr9	+	118519085	118519184	118514179	118514269	118522517	118522583	6	39,134,47	0,8,5	158,193,223	7,8,2	98	-1	nan	nan	1.0,-0.206,-0.106	-0.299,-0.327,8.259	-2.315
7	"ENSMUSG00000038708"	"Golga4"	chr9	+	118537241	118537325	118536758	118536943	118538876	118539024	7	63,105,65	11,26,9	119,127,100	16,34,20	83	-1	nan	nan	-0.074,-0.051,-0.095	-0.098,-0.047,-0.064	-0.004
8	"ENSMUSG00000038708"	"Golga4"	chr9	+	118548034	118548169	118538876	118539024	118548622	118548801	8	0,0,0	33,114,58	2,0,0	82,31,43	134	-1	1	nan	-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
9	"ENSMUSG00000038708"	"Golga4"	chr9	+	118551831	118551963	118548407	118548801	118553434	118553490	9	92,207,98	0,1,1	122,125,111	0,0,0	131	-1	nan	nan	1.0,2.724,-2.97	1.0,1.0,1.0	-0.749
10	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566958	118566979	118565275	118565667	118567180	118567249	10	265,293,321	0,0,0	147,181,186	0,0,1	20	-1	1	nan	1.0,1.0,1.0	1.0,1.0,1.12	-0.04
11	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118568963	118569039	118577141	118577228	11	437,384,475	0,0,2	238,329,290	3,0,2	103	-1	nan	nan	1.0,1.0,1.766	-3.352,1.0,3.452	0.889
12	"ENSMUSG00000038708"	"Golga4"	chr9	+	118576222	118576356	118572917	118573021	118577141	118577228	12	0,2,1	254,211,275	4,0,1	130,202,178	133	-1	1	nan	-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
13	"ENSMUSG00000038708"	"Golga4"	chr9	+	118577141	118577228	118572771	118573021	118581848	118581873	13	539,426,542	0,0,2	275,385,389	1,0,0	86	-1	nan	nan	1.0,1.0,1.465	1.455,1.0,1.0	0.003
