ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46587934	46590201	46587934	46588010	46590140	46590201	0	0,1,0	0,1,0	0,0,0	0,1,0	2129	-1	1	nan	NA,-0.0,NA	NA,-0.0,NA	0.0
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519002	43519078	2	3951,4909,2448	52,35,62	3156,1688,1280	35,35,26	537	-1	1	nan	-0.165,-0.354,-0.079	-0.202,-0.099,-0.101	-0.065
4	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711702	120711895	120711702	120711756	120711843	120711895	4	8,1,1	20,15,21	4,8,9	9,51,33	86	-1	nan	nan	-0.005,-0.001,-0.001	-0.005,-0.002,-0.003	0.001
5	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701022	56702890	56701022	56701088	56702762	56702890	5	1,0,0	2,0,0	0,0,0	2,2,0	1673	-1	1	nan	-0.0,NA,NA	-0.0,-0.0,NA	0.0
10	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96664761	96665897	96664761	96664846	96665809	96665897	10	1,0,0	2,1,1	1,1,2	3,2,1	962	-1	1	nan	-0.001,-0.0,-0.0	-0.0,-0.001,-0.002	0.001
11	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48488700	48490938	48488700	48489988	48490847	48490938	11	2,2,0	15,11,5	1,0,0	19,2,8	858	-1	1	nan	-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
17	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124886682	124886946	124886682	124886779	124886852	124886946	17	1,0,1	180,194,173	2,0,3	154,174,188	72	-1	nan	nan	-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
18	"ENSMUSG00000030795"	"Fus"	chr7	+	127972553	127975920	127972553	127972770	127975887	127975920	18	12,7,5	0,0,1	5,4,2	0,0,0	3116	-1	nan	nan	1.0,1.0,-0.002	1.0,1.0,1.0	-0.334
22	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119346568	119344465	119344508	119346469	119346568	22	0,0,2	53,71,55	0,0,1	62,75,73	1960	-1	1	nan	-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
23	"ENSMUSG00000020883"	"Fbxl20"	chr11	-	98095132	98097059	98095132	98095193	98096928	98097059	23	1,7,3	4,9,5	2,1,2	22,4,7	1734	-1	1	nan	-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
27	"ENSMUSG00000020486"	"Sept4"	chr11	+	87589655	87590055	87589655	87589818	87590008	87590055	27	37,48,40	10,12,5	13,25,20	4,7,3	189	-1	nan	nan	-0.02,-0.022,-0.044	-0.017,-0.019,-0.037	-0.004
28	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89363604	89363834	89363604	89363689	89363765	89363834	28	0,2,1	55,62,38	0,8,0	45,34,34	75	-1	nan	nan	-0.0,-0.0,-0.0	-0.0,-0.003,-0.0	0.001
29	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370394	89370675	89370394	89370488	89370600	89370675	29	3,1,4	13,21,18	1,0,0	18,11,8	111	-1	1	nan	-0.002,-0.0,-0.002	-0.001,-0.0,-0.0	-0.001
30	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370394	89370675	89370394	89370488	89370603	89370675	30	5,5,10	75,78,80	6,7,3	85,56,62	114	-1	1	nan	-0.001,-0.001,-0.001	-0.001,-0.001,-0.0	-0.0
31	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370752	89370993	89370752	89370808	89370891	89370993	31	2,6,6	37,43,51	3,5,6	23,27,29	82	-1	nan	nan	-0.001,-0.002,-0.001	-0.002,-0.002,-0.003	0.001
33	"ENSMUSG00000062006"	"Rpl34"	chr3	-	130729050	130729302	130729050	130729150	130729228	130729302	33	0,0,0	217,89,352	0,0,1	97,221,194	77	-1	nan	nan	-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
34	"ENSMUSG00000027776"	"Il12a"	chr3	+	68695189	68695346	68695189	68695231	68695304	68695346	34	1,2,0	1,1,4	1,0,0	4,1,5	72	-1	nan	nan	-0.014,-0.029,-0.0	-0.003,-0.0,-0.0	-0.013
35	"ENSMUSG00000027776"	"Il12a"	chr3	+	68695189	68695580	68695189	68695346	68695436	68695580	35	0,0,1	4,4,5	1,0,0	5,3,4	89	-1	nan	nan	-0.0,-0.0,-0.002	-0.002,-0.0,-0.0	0.0
36	"ENSMUSG00000034187"	"Nsf"	chr11	-	103913315	103913908	103913315	103913391	103913800	103913908	36	0,1,0	8,11,2	0,0,0	5,18,15	408	-1	1	nan	-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
37	"ENSMUSG00000075232"	"Amd1"	chr10	-	40290117	40290615	40290117	40290273	40290377	40290615	37	0,2,0	184,777,222	1,1,1	364,602,1013	103	-1	1	nan	-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
38	"ENSMUSG00000001524"	"Gtf2h4"	chr17	-	35670656	35670962	35670656	35670745	35670865	35670962	38	2,1,0	6,4,2	0,1,0	4,4,5	119	-1	1	nan	-0.003,-0.002,-0.0	-0.0,-0.002,-0.0	-0.001
40	"ENSMUSG00000027610"	"Gss"	chr2	-	155566802	155567887	155566802	155566884	155567692	155567887	40	3,1,2	6,2,10	2,1,3	12,8,6	807	-1	1	nan	-0.001,-0.001,-0.0	-0.0,-0.0,-0.001	-0.0
42	"ENSMUSG00000027610"	"Gss"	chr2	-	155578288	155578787	155578288	155578428	155578711	155578787	42	1,0,0	2,7,7	0,0,0	2,0,6	282	-1	1	nan	-0.002,-0.0,-0.0	-0.0,NA,-0.0	-0.001
43	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23108587	23108851	23108587	23108633	23108718	23108851	43	4,1,1	94,150,145	0,1,1	110,252,258	84	-1	nan	nan	-0.001,-0.0,-0.0	-0.0,-0.0,-0.0	-0.0
44	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23109984	23110343	23109984	23110153	23110233	23110343	44	0,0,1	383,486,354	0,0,0	472,339,354	79	-1	nan	nan	-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
45	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111125	23111263	45	0,0,1	381,387,359	0,0,0	421,188,197	401	-1	1	nan	-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
46	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111125	23111592	23111125	23111263	23111502	23111592	46	33,36,39	658,590,667	32,22,31	666,405,369	238	-1	1	nan	-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
52	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107751718	107751953	107751718	107751791	107751875	107751953	52	3,0,0	23,37,28	2,6,1	16,33,22	83	-1	nan	nan	-0.002,-0.0,-0.0	-0.002,-0.002,-0.001	0.001
53	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107756908	107760391	107756908	107756992	107760321	107760391	53	9,4,0	2,0,0	0,0,1	3,0,1	3328	-1	1	nan	-0.001,1.0,NA	-0.0,NA,-0.0	0.499
54	"ENSMUSG00000011877"	"Git1"	chr11	+	77503355	77504018	77503355	77503428	77503920	77504018	54	0,4,0	39,37,27	0,1,0	28,18,32	491	-1	1	nan	-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
