"","ID","GeneID","geneSymbol","chr","strand","X1stExonStart_0base","X1stExonEnd","X2ndExonStart_0base","X2ndExonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"13",13,"ENSMUSG00000056342","Usp34","chr11","+",23420039,23420144,23421097,23421153,23418978,23419131,23421245,23421366,13,"2,2,3,2,1","0,0,1,2,0","43,13,40,21,13","7,7,8,11,8",-2,-2,0.000181745972817,0.00154402704743,"1.0,1.0,0.75,0.5,1.0","0.86,0.65,0.833,0.656,0.619",0.126,10,3,130,41
"24",25,"ENSMUSG00000026048","Ercc5","chr1","+",44161809,44161953,44163876,44164084,44160976,44161037,44166808,44166998,25,"5,5,4,3,2","0,1,7,0,0","7,7,26,8,6","21,13,16,10,7",-2,-2,0.000369972819624,0.0029298656174,"1.0,0.833,0.364,1.0,1.0","0.25,0.35,0.619,0.444,0.462",0.414,19,8,54,67
"37",41,"ENSMUSG00000022020","Naa16","chr14","-",79344894,79345108,79350688,79350830,79343125,79343319,79351372,79351501,41,"2,5,1,4,2","5,15,12,5,24","0,0,3,0,0","23,3,12,10,10",-2,-2,1.08676811897e-05,0.000130857571046,"0.286,0.25,0.077,0.444,0.077","0.0,0.0,0.2,0.0,0.0",0.187,14,61,3,58
"67",71,"ENSMUSG00000079055","Slc8a3","chr12","-",81214065,81214169,81216720,81216827,81204891,81205016,81314259,81316104,71,"2,1,0,5,5","3,1,1,0,5","2,1,1,0,3","19,5,1,23,11",-2,-2,0.000653328229384,0.00468784905608,"0.4,0.5,0.0,1.0,0.5","0.095,0.167,0.5,0.0,0.214",0.285,13,10,7,59
"83",89,"ENSMUSG00000052707","Tnrc6a","chr7","+",123152163,123152185,123162493,123162877,123143749,123143837,123169535,123172118,89,"5,7,7,7,2","10,17,20,22,18","0,1,0,1,0","9,3,12,17,5",-2,-2,3.6968574646e-08,8.90276002541e-07,"0.333,0.292,0.259,0.241,0.1","0.0,0.25,0.0,0.056,0.0",0.184,28,87,2,46
"168",184,"ENSMUSG00000031133","Arhgef6","chrX","-",57241805,57241826,57243389,57243515,57240593,57240687,57244604,57244750,184,"10,15,9,10,14","9,0,2,1,3","46,34,33,31,21","35,25,20,18,22",-2,-2,0.000476230971037,0.00359840293252,"0.526,1.0,0.818,0.909,0.824","0.568,0.576,0.623,0.633,0.488",0.238,58,15,165,120
"202",222,"ENSMUSG00000045983","Eif4g1","chr16","+",20673598,20673655,20673867,20673961,20672748,20672876,20674227,20674314,222,"5,5,5,5,7","16,16,3,25,10","2,12,21,8,7","145,145,211,155,75",-2,-2,4.12017110873e-06,5.68312803636e-05,"0.238,0.238,0.625,0.167,0.412","0.014,0.076,0.091,0.049,0.085",0.273,27,70,50,731
"231",256,"ENSMUSG00000025871","4833439L19Rik","chr13","-",54561692,54561871,54564184,54564272,54559197,54559324,54564514,54564621,256,"13,7,10,20,8","30,30,33,28,21","29,20,16,36,16","123,92,123,130,77",-2,-2,0.00777323476154,0.0371046084551,"0.302,0.189,0.233,0.417,0.276","0.191,0.179,0.115,0.217,0.172",0.109,58,142,117,545
"277",320,"ENSMUSG00000063273","Naa15","chr3","+",51465593,51465692,51470085,51470229,51463263,51463372,51471484,51471570,320,"88,107,127,89,75","20,15,15,20,4","53,32,64,49,38","64,12,69,48,40",-2,-2,0,0,"0.815,0.877,0.894,0.817,0.949","0.453,0.727,0.481,0.505,0.487",0.34,486,74,236,233
"353",404,"ENSMUSG00000021282","Eif5","chr12","+",111542679,111542841,111543099,111543264,111542151,111542310,111543526,111543661,404,"376,426,487,445,498","134,168,191,174,180","249,183,281,246,179","154,166,223,174,149",-2,-2,2.22044604925e-15,2.41617425655e-13,"0.737,0.717,0.718,0.719,0.735","0.618,0.524,0.558,0.586,0.546",0.159,2232,847,1138,866
