ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118577141	118577228	118568963	118569039	118581848	118582117
1	"ENSMUSG00000060275"	"Nrg2"	chr18	-	36031882	36031941	36032335	36032412	36024305	36024408	36038230	36038351
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518229	43518299	43518401	43518464	43514711	43516003	43518643	43518719
3	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43518464	43518643	43518719	43518229	43518299	43519226	43519297
4	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297
5	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919840	144920079	144918650	144918794	144923905	144924031
6	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144923905	144924031	144918650	144918794	144927134	144927639
7	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144919840	144920079	144918650	144918794	144923905	144924031
8	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144923905	144924031	144918650	144918794	144927134	144927645
9	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144918650	144918794	144927134	144927639
10	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144919229	144919504	144927134	144927639
11	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374377	38362208	38363147	38377654	38378216
12	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374236	38362244	38363147	38377654	38378216
13	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50176876	50176918	50178388	50178520	50163421	50163649	50180175	50180275
14	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119344508	119346469	119346568	119344172	119344252	119347729	119347810
15	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119348920	119349100	119349353	119349409	119348580	119348771	119349491	119349637
16	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70256359	70256471	70266629	70266754	70247573	70247719	70267308	70267506
17	"ENSMUSG00000027835"	"Pdcd10"	chr3	-	75528809	75528927	75533540	75533590	75527587	75527714	75541159	75541378
18	"ENSMUSG00000027835"	"Pdcd10"	chr3	-	75528809	75528927	75533540	75533594	75527587	75527714	75541159	75541378
19	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111125	23111263	23111502	23111592	23110579	23110723	23111816	23111896
20	"ENSMUSG00000041890"	"Git2"	chr5	-	114739032	114739281	114743775	114743880	114733860	114733943	114745428	114745571
21	"ENSMUSG00000041890"	"Git2"	chr5	-	114753010	114753016	114753147	114753153	114752278	114752327	114753278	114753324
22	"ENSMUSG00000032952"	"Ap4b1"	chr3	+	103817759	103817843	103818803	103818907	103814824	103815321	103820253	103820461
23	"ENSMUSG00000028100"	"Nudt17"	chr3	-	96707783	96707809	96707809	96707886	96707557	96707650	96707991	96708175
24	"ENSMUSG00000024352"	"Spata24"	chr18	-	35660443	35660574	35660791	35660857	35660282	35660353	35662011	35662131
25	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107750007	107750092	107750462	107750548	107749707	107749799	107751718	107751791
26	"ENSMUSG00000034621"	"Gpatch8"	chr11	-	102531312	102531330	102537111	102537146	102528093	102528166	102538281	102538356
27	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25465467	25465520	25466316	25466437	25464848	25464880	25471797	25472073
28	"ENSMUSG00000097572"	"Gm26797"	chr9	-	122304827	122304893	122307194	122307335	122296367	122296442	122307956	122307999
29	"ENSMUSG00000097572"	"Gm26797"	chr9	-	122307194	122307335	122307403	122307444	122304827	122304893	122307956	122307999
30	"ENSMUSG00000017978"	"Cadps2"	chr6	-	23344582	23344591	23354193	23354202	23344206	23344363	23355823	23355927
31	"ENSMUSG00000063145"	"Bbs5"	chr2	+	69661035	69661098	69663025	69663160	69656896	69656992	69665025	69665109
32	"ENSMUSG00000068250"	"Amn1"	chr6	-	149169302	149169404	149169447	149169504	149166805	149166917	149170832	149171050
33	"ENSMUSG00000022020"	"Naa16"	chr14	-	79344894	79345108	79350688	79350830	79343125	79343319	79351372	79351501
34	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010003	98010376	98011342	98011497	98009857	98009916	98011865	98011942
35	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010295	98010376	98011342	98011497	98009857	98009916	98011865	98011942
36	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010626	98010646	98011342	98011497	98010295	98010376	98011865	98011942
37	"ENSMUSG00000018412"	"Kansl1"	chr11	-	104378684	104378826	104423921	104425293	104357480	104357596	104467638	104467752
38	"ENSMUSG00000027667"	"Zfp639"	chr3	+	32514383	32514454	32515283	32515352	32513000	32513192	32517028	32517139
39	"ENSMUSG00000026159"	"Agfg1"	chr1	+	82880746	82880818	82882227	82882437	82880007	82880127	82883243	82883361
40	"ENSMUSG00000031388"	"Naa10"	chrX	-	73917842	73917927	73919501	73919546	73916872	73917195	73919753	73919869
41	"ENSMUSG00000031388"	"Naa10"	chrX	-	73917842	73917927	73919501	73919540	73916919	73917195	73919753	73919869
42	"ENSMUSG00000020740"	"Gga3"	chr11	-	115591262	115591366	115591629	115591753	115590886	115590967	115592431	115592530
43	"ENSMUSG00000020740"	"Gga3"	chr11	-	115591629	115591753	115592431	115592530	115591262	115591366	115594705	115594781
44	"ENSMUSG00000032307"	"Ube2q2"	chr9	+	55184903	55184964	55185669	55185760	55183101	55183186	55191841	55191900
45	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67029663	67029742	67031028	67031098	67022621	67023441	67031451	67031514
46	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67031028	67031098	67031451	67031514	67028847	67029742	67031950	67032026
47	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67031950	67032026	67032465	67032541	67031451	67031514	67032793	67032864
48	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186362	89186427	89186753	89186819	89186171	89186261	89186955	89187243
49	"ENSMUSG00000037151"	"Lrrc20"	chr10	+	61482335	61482482	61527059	61527209	61475800	61475889	61548047	61548215
50	"ENSMUSG00000037151"	"Lrrc20"	chr10	+	61527059	61527209	61548047	61548215	61482335	61482482	61580129	61582791
51	"ENSMUSG00000021884"	"Hacl1"	chr14	-	31618971	31619073	31619844	31619928	31616359	31616514	31621002	31621108
52	"ENSMUSG00000021884"	"Hacl1"	chr14	-	31619844	31619928	31621002	31621108	31618971	31619073	31622838	31622974
53	"ENSMUSG00000021884"	"Hacl1"	chr14	-	31630960	31631038	31632895	31632968	31630032	31630127	31634198	31634279
54	"ENSMUSG00000021884"	"Hacl1"	chr14	-	31632895	31632968	31634198	31634279	31630960	31631038	31635743	31635784
55	"ENSMUSG00000033365"	"Ipo13"	chr4	-	117894743	117894925	117895211	117895301	117894485	117894657	117895419	117895478
56	"ENSMUSG00000031657"	"Heatr3"	chr8	+	88161877	88161966	88164887	88165031	88158128	88158265	88166995	88167172
57	"ENSMUSG00000031657"	"Heatr3"	chr8	+	88164887	88165031	88166995	88167172	88161517	88161966	88170858	88172027
58	"ENSMUSG00000079055"	"Slc8a3"	chr12	-	81214065	81214169	81216720	81216827	81204891	81205016	81314259	81316104
