ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000066152"	"Slc31a2"	chr4	+	62295886	62296076	62292631	62292698	62296974	62297355
9	"ENSMUSG00000038708"	"Golga4"	chr9	+	118551831	118551963	118548407	118548801	118553434	118553490
10	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566958	118566979	118565275	118565667	118567180	118567249
11	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118568963	118569039	118577141	118577228
13	"ENSMUSG00000038708"	"Golga4"	chr9	+	118577141	118577228	118572771	118573021	118581848	118581873
25	"ENSMUSG00000020627"	"Klhl29"	chr12	-	5102688	5102827	5094816	5095019	5137422	5137935
36	"ENSMUSG00000026147"	"Col9a1"	chr1	+	24232184	24232229	24231450	24231486	24233570	24233603
44	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	121566274	121566346	121560385	121560462	121578457	121578747
45	"ENSMUSG00000022247"	"Brix1"	chr15	-	10485354	10485416	10483294	10483362	10485734	10485887
48	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518229	43518299	43514710	43516003	43518401	43518464
49	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43518401	43518464	43519002	43519078
50	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43518401	43518464	43519226	43519297
51	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43519002	43519078	43518401	43518464	43519226	43519297
62	"ENSMUSG00000040483"	"Xaf1"	chr11	+	72308606	72308924	72303326	72303462	72311955	72312081
63	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711843	120711895	120711702	120711756	120713692	120713738
70	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701448	56701541	56701022	56701088	56702762	56702890
72	"ENSMUSG00000033707"	"Lrrc24"	chr15	-	76718221	76718500	76717922	76718091	76719795	76719924
73	"ENSMUSG00000033707"	"Lrrc24"	chr15	-	76718651	76718899	76718221	76718500	76719795	76719924
84	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144918650	144918794	144923905	144924031
88	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75646874	75647101	75646111	75646687	75648056	75648221
91	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48490847	48490938	48488700	48489988	48493406	48493494
93	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38362208	38363147	38373818	38374194
94	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38373818	38374236	38369483	38369592	38377654	38378216
95	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38373818	38374377	38369425	38369592	38377654	38377763
96	"ENSMUSG00000025474"	"Tubgcp2"	chr7	-	140029826	140029986	140007886	140008094	140031010	140031187
99	"ENSMUSG00000057181"	"5730455P16Rik"	chr11	-	80375506	80375632	80374073	80374217	80376802	80376883
104	"ENSMUSG00000002416"	"Ndufb2"	chr6	+	39598265	39598361	39596450	39596595	39599391	39599422
105	"ENSMUSG00000002416"	"Ndufb2"	chr6	+	39598265	39598365	39596450	39596595	39599391	39599471
107	"ENSMUSG00000031605"	"Klhl2"	chr8	-	64822990	64823097	64811679	64811801	64834442	64834568
111	"ENSMUSG00000033209"	"Ttc28"	chr5	+	111281879	111281903	111280674	111280751	111282770	111282900
112	"ENSMUSG00000059743"	"Fdps"	chr3	-	89095353	89095476	89095013	89095102	89095598	89095679
113	"ENSMUSG00000059743"	"Fdps"	chr3	-	89099299	89099440	89095598	89095679	89100668	89100831
114	"ENSMUSG00000059743"	"Fdps"	chr3	-	89100920	89101136	89100668	89100831	89101861	89101888
