ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46587934	46590201	46587934	46588010	46590140	46590201	0	0,1,0	0,1,0	0,0,0	0,1,0	-2	-1	1	1.0	NA,0.333,NA	NA,0.0,NA	0.333
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519002	43519078	2	3951,4909,2448	52,35,62	3156,1688,1280	35,35,26	-2	-1	0.336319077692	1.0	0.974,0.986,0.952	0.978,0.96,0.961	0.004
4	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711702	120711895	120711702	120711756	120711843	120711895	4	8,1,1	20,15,21	4,8,9	9,51,33	-2	-1	0.345164788257	1.0	0.167,0.032,0.023	0.182,0.073,0.12	-0.051
5	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701022	56702890	56701022	56701088	56702762	56702890	5	1,0,0	2,0,0	0,0,0	2,2,0	-2	-1	1	1.0	0.2,NA,NA	0.0,0.0,NA	0.2
10	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96664761	96665897	96664761	96664846	96665809	96665897	10	1,0,0	2,1,1	1,1,2	3,2,1	-2	-1	0.12657971952	0.96929796089	0.2,0.0,0.0	0.143,0.2,0.5	-0.214
11	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48488700	48490938	48488700	48489988	48490847	48490938	11	2,2,0	15,11,5	1,0,0	19,2,8	-2	-1	0.391268250928	1.0	0.063,0.083,0.0	0.026,0.0,0.0	0.04
17	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124886682	124886946	124886682	124886779	124886852	124886946	17	1,0,1	180,194,173	2,0,3	154,174,188	-2	-1	1	1.0	0.003,0.0,0.003	0.006,0.0,0.008	-0.003
18	"ENSMUSG00000030795"	"Fus"	chr7	+	127972553	127975920	127972553	127972770	127975887	127975920	18	12,7,5	0,0,1	5,4,2	0,0,0	-2	-1	1	1.0	1.0,1.0,0.714	1.0,1.0,1.0	-0.095
22	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119346568	119344465	119344508	119346469	119346568	22	0,0,2	53,71,55	0,0,1	62,75,73	-2	-1	1	1.0	0.0,0.0,0.018	0.0,0.0,0.007	0.004
23	"ENSMUSG00000020883"	"Fbxl20"	chr11	-	98095132	98097059	98095132	98095193	98096928	98097059	23	1,7,3	4,9,5	2,1,2	22,4,7	-2	-1	0.014181884105	0.301290307359	0.111,0.28,0.231	0.043,0.111,0.125	0.114
27	"ENSMUSG00000020486"	"Sept4"	chr11	+	87589655	87590055	87589655	87589818	87590008	87590055	27	37,48,40	10,12,5	13,25,20	4,7,3	-2	-1	0.921419728672	1.0	0.649,0.667,0.8	0.619,0.641,0.769	0.029
28	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89363604	89363834	89363604	89363689	89363765	89363834	28	0,2,1	55,62,38	0,8,0	45,34,34	-2	-1	0.129453999499	0.974893782209	0.0,0.016,0.013	0.0,0.105,0.0	-0.025
29	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370394	89370675	89370394	89370488	89370600	89370675	29	3,1,4	13,21,18	1,0,0	18,11,8	-2	-1	0.00802658617966	0.226723805758	0.103,0.023,0.1	0.027,0.0,0.0	0.066
30	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370394	89370675	89370394	89370488	89370603	89370675	30	5,5,10	75,78,80	6,7,3	85,56,62	-2	-1	0.755064880079	1.0	0.032,0.031,0.059	0.034,0.059,0.024	0.002
31	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370752	89370993	89370752	89370808	89370891	89370993	31	2,6,6	37,43,51	3,5,6	23,27,29	-2	-1	0.270561475379	1.0	0.026,0.065,0.056	0.061,0.085,0.094	-0.031
33	"ENSMUSG00000062006"	"Rpl34"	chr3	-	130729050	130729302	130729050	130729150	130729228	130729302	33	0,0,0	217,89,352	0,0,1	97,221,194	-2	-1	1	1.0	0.0,0.0,0.0	0.0,0.0,0.003	-0.001
34	"ENSMUSG00000027776"	"Il12a"	chr3	+	68695189	68695346	68695189	68695231	68695304	68695346	34	1,2,0	1,1,4	1,0,0	4,1,5	-2	-1	0.76742490037	1.0	0.333,0.5,0.0	0.111,0.0,0.0	0.241
35	"ENSMUSG00000027776"	"Il12a"	chr3	+	68695189	68695580	68695189	68695346	68695436	68695580	35	0,0,1	4,4,5	1,0,0	5,3,4	-2	-1	1	1.0	0.0,0.0,0.091	0.091,0.0,0.0	0.0
36	"ENSMUSG00000034187"	"Nsf"	chr11	-	103913315	103913908	103913315	103913391	103913800	103913908	36	0,1,0	8,11,2	0,0,0	5,18,15	-2	-1	1	1.0	0.0,0.043,0.0	0.0,0.0,0.0	0.014
37	"ENSMUSG00000075232"	"Amd1"	chr10	-	40290117	40290615	40290117	40290273	40290377	40290615	37	0,2,0	184,777,222	1,1,1	364,602,1013	-2	-1	1	1.0	0.0,0.001,0.0	0.001,0.001,0.0	-0.0
38	"ENSMUSG00000001524"	"Gtf2h4"	chr17	-	35670656	35670962	35670656	35670745	35670865	35670962	38	2,1,0	6,4,2	0,1,0	4,4,5	-2	-1	0.544920988259	1.0	0.143,0.111,0.0	0.0,0.111,0.0	0.048
40	"ENSMUSG00000027610"	"Gss"	chr2	-	155566802	155567887	155566802	155566884	155567692	155567887	40	3,1,2	6,2,10	2,1,3	12,8,6	-2	-1	0.704834960138	1.0	0.2,0.2,0.091	0.077,0.059,0.2	0.052
42	"ENSMUSG00000027610"	"Gss"	chr2	-	155578288	155578787	155578288	155578428	155578711	155578787	42	1,0,0	2,7,7	0,0,0	2,0,6	-2	-1	1	1.0	0.2,0.0,0.0	0.0,NA,0.0	0.067
43	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23108587	23108851	23108587	23108633	23108718	23108851	43	4,1,1	94,150,145	0,1,1	110,252,258	-2	-1	1	1.0	0.021,0.003,0.003	0.0,0.002,0.002	0.008
44	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23109984	23110343	23109984	23110153	23110233	23110343	44	0,0,1	383,486,354	0,0,0	472,339,354	-2	-1	1	1.0	0.0,0.0,0.001	0.0,0.0,0.0	0.0
45	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111125	23111263	45	0,0,1	381,387,359	0,0,0	421,188,197	-2	-1	1	1.0	0.0,0.0,0.001	0.0,0.0,0.0	0.0
46	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111125	23111592	23111125	23111263	23111502	23111592	46	33,36,39	658,590,667	32,22,31	666,405,369	-2	-1	0.805561480788	1.0	0.024,0.03,0.028	0.023,0.026,0.04	-0.002
52	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107751718	107751953	107751718	107751791	107751875	107751953	52	3,0,0	23,37,28	2,6,1	16,33,22	-2	-1	0.014326792472	0.301290307359	0.061,0.0,0.0	0.059,0.083,0.022	-0.034
53	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107756908	107760391	107756908	107756992	107760321	107760391	53	9,4,0	2,0,0	0,0,1	3,0,1	-2	-1	1	1.0	0.692,1.0,NA	0.0,NA,0.333	0.679
54	"ENSMUSG00000011877"	"Git1"	chr11	+	77503355	77504018	77503355	77503428	77503920	77504018	54	0,4,0	39,37,27	0,1,0	28,18,32	-2	-1	0.843407949146	1.0	0.0,0.051,0.0	0.0,0.027,0.0	0.008
55	"ENSMUSG00000011877"	"Git1"	chr11	+	77505503	77505753	77505503	77505590	77505679	77505753	55	3,6,4	52,52,54	5,2,1	38,56,54	-2	-1	0.265064343086	1.0	0.028,0.055,0.036	0.062,0.018,0.009	0.01
56	"ENSMUSG00000079197"	"Psme2"	chr14	-	55587653	55588094	55587653	55587740	55588039	55588094	56	2,3,1	76,47,84	0,0,1	29,25,30	-2	-1	0.991970321281	1.0	0.013,0.031,0.006	0.0,0.0,0.016	0.011
58	"ENSMUSG00000053907"	"Mat2a"	chr6	-	72432798	72435114	72432798	72434395	72434980	72435114	58	0,0,0	76,160,125	0,1,1	140,63,54	-2	-1	1	1.0	0.0,0.0,0.0	0.0,0.008,0.009	-0.006
59	"ENSMUSG00000053907"	"Mat2a"	chr6	-	72436994	72437448	72436994	72437117	72437370	72437448	59	0,3,1	171,170,205	0,1,1	113,261,220	-2	-1	1	1.0	0.0,0.009,0.002	0.0,0.002,0.002	0.002
66	"ENSMUSG00000078762"	"Haus5"	chr7	-	30659062	30659413	30659062	30659126	30659288	30659413	66	1,3,0	4,9,3	0,0,3	3,0,5	-2	-1	1	1.0	0.111,0.143,0.0	0.0,NA,0.231	-0.031
67	"ENSMUSG00000031505"	"Naxd"	chr8	+	11509321	11509557	11509321	11509372	11509452	11509557	67	11,5,9	57,45,56	9,11,9	40,54,33	-2	-1	0.230208167812	1.0	0.088,0.053,0.074	0.101,0.092,0.12	-0.033
69	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25464848	25466437	25464848	25464880	25466316	25466437	69	0,0,0	4,7,4	0,1,0	3,4,5	-2	-1	1	1.0	0.0,0.0,0.0	0.0,0.111,0.0	-0.037
73	"ENSMUSG00000032553"	"Srprb"	chr9	-	103197537	103198866	103197537	103197620	103198788	103198866	73	6,10,4	14,41,30	8,3,6	29,37,29	-2	-1	0.45349848387	1.0	0.176,0.109,0.063	0.121,0.039,0.094	0.031
77	"ENSMUSG00000014856"	"Tmem208"	chr8	+	105328321	105328692	105328321	105328458	105328607	105328692	77	3,1,1	38,29,49	0,3,0	35,6,14	-2	-1	0.360220593324	1.0	0.038,0.017,0.01	0.0,0.2,0.0	-0.045
78	"ENSMUSG00000014856"	"Tmem208"	chr8	+	105328321	105328692	105328321	105328484	105328607	105328692	78	3,1,2	5,2,10	0,3,0	4,4,1	-2	-1	0.150654596194	1.0	0.231,0.2,0.091	0.0,0.273,0.0	0.083
79	"ENSMUSG00000022685"	"Parn"	chr16	-	13664655	13665981	13664655	13664737	13665901	13665981	79	0,0,1	0,0,0	0,0,0	1,0,0	-2	-1	1	1.0	NA,NA,1.0	0.0,NA,NA	1.0
83	"ENSMUSG00000040054"	"Baz2a"	chr10	+	128115024	128116169	128115024	128115085	128116060	128116169	83	0,3,3	4,14,6	0,0,0	8,12,10	-2	-1	0.0201995271712	0.374488602424	0.0,0.097,0.2	0.0,0.0,0.0	0.099
86	"ENSMUSG00000027667"	"Zfp639"	chr3	+	32515283	32517139	32515283	32515352	32517028	32517139	86	0,0,0	10,21,7	0,0,1	21,13,2	-2	-1	1	1.0	0.0,0.0,0.0	0.0,0.0,0.2	-0.067
88	"ENSMUSG00000031511"	"Arhgef7"	chr8	+	11781154	11782655	11781154	11781239	11782524	11782655	88	0,3,1	5,17,7	3,5,3	12,18,13	-2	-1	0.0754964556564	0.723636095373	0.0,0.081,0.067	0.111,0.122,0.103	-0.063
90	"ENSMUSG00000031388"	"Naa10"	chrX	-	73919501	73919869	73919501	73919540	73919753	73919869	90	20,10,10	3,2,0	5,13,4	1,1,2	-2	-1	0.949774424676	1.0	0.769,0.714,1.0	0.714,0.867,0.5	0.134
91	"ENSMUSG00000031388"	"Naa10"	chrX	-	73919501	73919869	73919501	73919546	73919753	73919869	91	4,2,2	166,112,122	1,2,1	72,60,66	-2	-1	1	1.0	0.012,0.009,0.008	0.007,0.016,0.008	-0.001
97	"ENSMUSG00000021486"	"Prelid1"	chr13	+	55324330	55324605	55324330	55324444	55324526	55324605	97	1,0,7	115,84,105	1,2,0	59,52,46	-2	-1	0.906532972782	1.0	0.004,0.0,0.032	0.008,0.019,0.0	0.003
98	"ENSMUSG00000031232"	"Magt1"	chrX	-	105968083	105971479	105968083	105971026	105971435	105971479	98	16,22,12	6,7,5	16,13,8	9,6,2	-2	-1	0.615838717772	1.0	0.571,0.611,0.545	0.471,0.52,0.667	0.023
106	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89185361	89186047	89185361	89185647	89185993	89186047	106	1,2,1	9,10,11	2,0,4	4,12,10	-2	-1	0.870060669105	1.0	0.053,0.091,0.043	0.2,0.0,0.167	-0.06
107	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186171	89186819	89186171	89186261	89186362	89186819	107	3,0,0	17,17,10	0,1,0	7,16,6	-2	-1	1	1.0	0.081,0.0,0.0	0.0,0.03,0.0	0.017
108	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186171	89186819	89186171	89186261	89186753	89186819	108	0,2,1	1,0,0	0,1,1	0,0,0	-2	-1	1	1.0	0.0,1.0,1.0	NA,1.0,1.0	-0.333
109	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186362	89186819	89186362	89186427	89186753	89186819	109	0,4,2	29,11,13	0,3,1	10,12,4	-2	-1	0.775416878081	1.0	0.0,0.154,0.071	0.0,0.111,0.111	0.001
110	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186955	89187243	89186955	89186998	89187147	89187243	110	7,10,10	0,1,0	4,7,6	0,0,1	-2	-1	1	1.0	1.0,0.833,1.0	1.0,1.0,0.75	0.028
121	"ENSMUSG00000027889"	"Ampd2"	chr3	-	108080266	108080774	108080266	108080335	108080643	108080774	121	3,0,0	2,6,2	0,1,0	5,3,0	-2	-1	1	1.0	0.429,0.0,0.0	0.0,0.143,NA	0.071
122	"ENSMUSG00000022515"	"Anks3"	chr16	-	4947648	4948363	4947648	4947758	4948225	4948363	122	1,0,0	11,8,8	0,0,0	6,10,9	-2	-1	1	1.0	0.043,0.0,0.0	0.0,0.0,0.0	0.014
125	"ENSMUSG00000030357"	"Fkbp4"	chr6	-	128433525	128433793	128433525	128433609	128433702	128433793	125	13,17,24	216,269,253	18,17,9	170,190,235	-2	-1	0.994136410328	1.0	0.029,0.031,0.045	0.05,0.043,0.019	-0.002
127	"ENSMUSG00000053877"	"Srcap"	chr7	+	127519580	127519832	127519580	127519602	127519659	127519832	127	2,8,5	0,2,0	10,4,8	0,0,0	-2	-1	1	1.0	1.0,0.667,1.0	1.0,1.0,1.0	-0.111
130	"ENSMUSG00000004455"	"Ppp1cc"	chr5	+	122172731	122173280	122172731	122172803	122173145	122173280	130	21,26,41	0,1,0	27,15,37	0,1,1	-2	-1	1	1.0	1.0,0.929,1.0	1.0,0.882,0.949	0.033
