ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566907	118566979	118566958	118566979	118565556	118565667
1	"ENSMUSG00000051705"	"Senp8"	chr9	-	59739939	59740051	59739939	59740032	59750261	59750371
2	"ENSMUSG00000038534"	"Osbpl7"	chr11	+	97052485	97052611	97052526	97052611	97052224	97052376
3	"ENSMUSG00000041064"	"Pif1"	chr9	+	65591686	65591859	65591719	65591859	65589947	65590054
4	"ENSMUSG00000021708"	"Rasgrf2"	chr13	-	91972180	91972288	91972180	91972285	91982593	91982856
5	"ENSMUSG00000022247"	"Brix1"	chr15	-	10483294	10483406	10483294	10483362	10485354	10485416
6	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43514710	43516003	43514710	43514861	43518229	43518299
7	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519226	43519297
8	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120712439	120712712	120712439	120712539	120713692	120713732
9	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711702	120711895	120711702	120711756	120713692	120713738
10	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701022	56702890	56702762	56702890	56696717	56696789
11	"ENSMUSG00000022838"	"Eaf2"	chr16	-	36800586	36800844	36800586	36800702	36808014	36808160
12	"ENSMUSG00000060112"	"Olfr60"	chr7	-	140343814	140346097	140343814	140346094	140346987	140347226
13	"ENSMUSG00000109354"	"Olfr706"	chr7	-	106882588	106884003	106882588	106883967	106884786	106884829
14	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919384	144919504	144918650	144918794
15	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75725258	75725404	75725258	75725385	75725548	75725755
16	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75725548	75725755	75725548	75725681	75726857	75727019
17	"ENSMUSG00000048416"	"Mlf1"	chr3	+	67392839	67392975	67392891	67392975	67384550	67384698
18	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48488700	48490938	48488700	48489988	48493406	48493494
19	"ENSMUSG00000079334"	"Naa80"	chr9	+	107582816	107583519	107583135	107583519	107579099	107580935
20	"ENSMUSG00000059743"	"Fdps"	chr3	-	89094451	89094577	89094451	89094529	89094859	89094932
21	"ENSMUSG00000068617"	"Efcab1"	chr16	+	14920294	14920446	14920341	14920446	14917642	14917747
22	"ENSMUSG00000068617"	"Efcab1"	chr16	+	14920723	14920885	14920780	14920885	14920294	14920446
23	"ENSMUSG00000065999"	"Zfp985"	chr4	+	147577024	147577129	147577071	147577129	147562914	147562958
24	"ENSMUSG00000030795"	"Fus"	chr7	+	127971837	127971982	127971840	127971982	127969716	127969871
