ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000066152"	"Slc31a2"	chr4	+	62295886	62296076	62292631	62292698	62296974	62297355
3	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46590140	46590201	46587934	46588010	46590483	46590550
8	"ENSMUSG00000038708"	"Golga4"	chr9	+	118522517	118522583	118514179	118514269	118527009	118527321
11	"ENSMUSG00000038708"	"Golga4"	chr9	+	118551831	118551963	118548407	118548801	118553434	118553490
12	"ENSMUSG00000038708"	"Golga4"	chr9	+	118565556	118565667	118560741	118560872	118568963	118569039
13	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566907	118566979	118565556	118565667	118568963	118569039
14	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566958	118566979	118565275	118565667	118568963	118569039
15	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567180	118567249	118566958	118566979	118568963	118569039
16	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567190	118567249	118566907	118566979	118568963	118569039
17	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118568963	118569039	118577141	118577228
19	"ENSMUSG00000038708"	"Golga4"	chr9	+	118577141	118577228	118572771	118573021	118581848	118581873
27	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	75048441	75048524	75047352	75047469	75048784	75048803
28	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	75048441	75048539	75047352	75047469	75048784	75048813
32	"ENSMUSG00000022940"	"Pigp"	chr16	-	94365354	94365473	94358762	94359174	94370088	94370192
33	"ENSMUSG00000022940"	"Pigp"	chr16	-	94365354	94365473	94364446	94364787	94370088	94370192
34	"ENSMUSG00000022940"	"Pigp"	chr16	-	94367560	94367633	94365354	94365473	94370088	94370192
36	"ENSMUSG00000020627"	"Klhl29"	chr12	-	5102688	5102827	5094816	5095019	5137422	5137935
46	"ENSMUSG00000031451"	"Gas6"	chr8	-	13479006	13479129	13478251	13478374	13483673	13483736
