ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000066152"	"Slc31a2"	chr4	+	62295886	62296076	62292631	62292698	62296974	62297355
1	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46588223	46588309	46587934	46588010	46590140	46590201
2	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46589553	46589746	46588223	46588309	46590140	46590201
3	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46590140	46590201	46587934	46588010	46590483	46590550
4	"ENSMUSG00000037636"	"Slc25a43"	chrX	+	36752132	36752374	36743658	36744018	36757767	36757940
5	"ENSMUSG00000112121"	"C230072F16Rik"	chr17	+	80922642	80922712	80896839	80896957	80923166	80923349
6	"ENSMUSG00000112121"	"C230072F16Rik"	chr17	+	80924941	80925020	80923465	80923601	80926767	80927464
7	"ENSMUSG00000038708"	"Golga4"	chr9	+	118519085	118519184	118514179	118514269	118522517	118522583
8	"ENSMUSG00000038708"	"Golga4"	chr9	+	118522517	118522583	118514179	118514269	118527009	118527321
9	"ENSMUSG00000038708"	"Golga4"	chr9	+	118537241	118537325	118536758	118536943	118538876	118539024
10	"ENSMUSG00000038708"	"Golga4"	chr9	+	118548034	118548169	118538876	118539024	118548622	118548801
11	"ENSMUSG00000038708"	"Golga4"	chr9	+	118551831	118551963	118548407	118548801	118553434	118553490
12	"ENSMUSG00000038708"	"Golga4"	chr9	+	118565556	118565667	118560741	118560872	118568963	118569039
13	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566907	118566979	118565556	118565667	118568963	118569039
14	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566958	118566979	118565275	118565667	118568963	118569039
15	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567180	118567249	118566958	118566979	118568963	118569039
16	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567190	118567249	118566907	118566979	118568963	118569039
17	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118568963	118569039	118577141	118577228
18	"ENSMUSG00000038708"	"Golga4"	chr9	+	118576222	118576356	118572917	118573021	118577141	118577228
19	"ENSMUSG00000038708"	"Golga4"	chr9	+	118577141	118577228	118572771	118573021	118581848	118581873
20	"ENSMUSG00000038708"	"Golga4"	chr9	+	118579541	118579606	118577141	118577228	118581848	118582519
21	"ENSMUSG00000108596"	"Gm49368"	chr7	+	128116735	128116846	128116401	128116503	128126807	128128160
22	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58534484	58534652	58527020	58530259	58535389	58535549
23	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58556508	58556564	58552149	58552329	58557271	58557373
24	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58562639	58562787	58557976	58558057	58565856	58565954
25	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58565767	58565954	58557976	58558057	58586211	58586277
26	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58565856	58565954	58557976	58558057	58586211	58586264
27	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	75048441	75048524	75047352	75047469	75048784	75048803
28	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	75048441	75048539	75047352	75047469	75048784	75048813
29	"ENSMUSG00000037348"	"Paqr7"	chr4	+	134500599	134500683	134496974	134497036	134506802	134507546
30	"ENSMUSG00000037348"	"Paqr7"	chr4	+	134506522	134506717	134496974	134497036	134506802	134507215
31	"ENSMUSG00000037348"	"Paqr7"	chr4	+	134506680	134506717	134500599	134500683	134506802	134506995
32	"ENSMUSG00000022940"	"Pigp"	chr16	-	94365354	94365473	94358762	94359174	94370088	94370192
33	"ENSMUSG00000022940"	"Pigp"	chr16	-	94365354	94365473	94364446	94364787	94370088	94370192
34	"ENSMUSG00000022940"	"Pigp"	chr16	-	94367560	94367633	94365354	94365473	94370088	94370192
35	"ENSMUSG00000020627"	"Klhl29"	chr12	-	5090918	5091101	5090535	5090716	5091241	5091440
36	"ENSMUSG00000020627"	"Klhl29"	chr12	-	5102688	5102827	5094816	5095019	5137422	5137935
37	"ENSMUSG00000051705"	"Senp8"	chr9	-	59739939	59740032	59734452	59737868	59750261	59750371
