ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118577141	118577228	118568963	118569039	118581848	118582117	0	153,97,144,75,122	247,162,197,139,170	109,127,112	152,192,221	103	86	0.739948923729	1.0	0.341,0.333,0.379,0.311,0.375	0.375,0.356,0.297	0.005
1	"ENSMUSG00000079362"	"Gm43302"	chr5	-	105288926	105289054	105290836	105291026	105280454	105280564	105293625	105293695	1	16,11,7,5,12	8,12,4,4,18	1,3,0	1,1,0	189	127	1	1.0	0.573,0.381,0.54,0.457,0.309	0.402,0.668,NA	-0.083
2	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100824915	100825001	100826451	100826518	100821118	100821206	100828899	100829022	2	11,9,12,5,7	12,11,28,14,3	2,0,0	3,3,5	66	85	0.00042409856137	0.00432113022372	0.541,0.513,0.356,0.315,0.75	0.462,0.0,0.0	0.341
3	"ENSMUSG00000060275"	"Nrg2"	chr18	-	36031882	36031941	36032335	36032412	36024305	36024408	36038230	36038351	3	2,1,2,0,0	0,0,0,0,0	0,0,0	0,1,0	76	58	1	1.0	1.0,1.0,1.0,NA,NA	NA,0.0,NA	1.0
4	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297	4	87,77,167,124,115	44897,37352,45528,36474,36186	66,73,59	27159,17255,13412	75	75	1	1.0	0.002,0.002,0.004,0.003,0.003	0.002,0.004,0.004	-0.001
5	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919840	144920079	144918650	144918794	144923905	144924031	5	2,2,1,5,7	110,92,126,113,104	0,1,0	13,13,33	274	238	0.0857142505754	0.273862321592	0.016,0.019,0.007,0.037,0.055	0.0,0.063,0.0	0.006
6	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144919840	144920079	144918650	144918794	144923905	144924031	6	59,74,89,94,69	110,92,126,113,104	18,19,27	13,13,33	119	238	0.0331601526439	0.137309560068	0.518,0.617,0.586,0.625,0.57	0.735,0.745,0.621	-0.117
7	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144918650	144918794	144927134	144927639	7	1,0,2,1,0	167,191,189,179,197	0,0,0	39,30,23	238	125	1	1.0	0.003,0.0,0.006,0.003,0.0	0.0,0.0,0.0	0.002
8	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144919229	144919504	144927134	144927639	8	76,79,129,88,80	167,191,189,180,197	25,28,21	38,30,23	238	125	0.00812833139432	0.0467469369967	0.193,0.178,0.264,0.204,0.176	0.257,0.329,0.324	-0.1
9	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374377	38362208	38363147	38377654	38378216	9	58,20,27,59,35	34,26,31,53,34	71,101,97	50,58,55	108	558	0.0198022138134	0.0929017823898	0.898,0.799,0.818,0.852,0.842	0.88,0.9,0.901	-0.052
10	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374236	38362244	38363147	38377654	38378216	10	58,20,27,59,35	2,0,0,2,1	71,101,97	1,3,0	108	417	1	1.0	0.991,1.0,1.0,0.991,0.993	0.996,0.992,1.0	-0.001
