ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000066152"	"Slc31a2"	chr4	+	62295886	62296076	62292631	62292698	62296974	62297355	0	7,13,11,9,14	2,0,1,1,0	10,10,10	1,1,0	189	-1	nan	nan	-0.019,1.0,-0.062,-0.05,1.0	-0.056,-0.056,1.0	0.078
1	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46588223	46588309	46587934	46588010	46590140	46590201	1	9,1,3,2,0	0,0,1,0,1	2,0,1	0,1,0	85	-1	nan	nan	1.0,1.0,-0.037,1.0,-0.0	1.0,-0.0,1.0	-0.074
3	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46590140	46590201	46587934	46588010	46590483	46590550	3	0,0,3,0,3	0,0,2,0,0	0,1,1	0,0,0	60	-1	1	nan	NA,NA,-0.026,NA,1.0	NA,1.0,1.0	-0.513
7	"ENSMUSG00000038708"	"Golga4"	chr9	+	118519085	118519184	118514179	118514269	118522517	118522583	7	171,118,223,136,106	2,8,5,8,3	158,193,223	7,8,2	98	-1	nan	nan	-6.84,-0.177,-0.835,-0.21,-0.564	-0.299,-0.327,8.259	-4.27
8	"ENSMUSG00000038708"	"Golga4"	chr9	+	118522517	118522583	118514179	118514269	118527009	118527321	8	78,58,90,57,60	0,0,0,1,0	73,100,125	0,0,0	65	-1	nan	nan	1.0,1.0,1.0,-7.125,1.0	1.0,1.0,1.0	-1.625
9	"ENSMUSG00000038708"	"Golga4"	chr9	+	118522517	118522583	118514179	118514269	118535341	118535474	9	1,8,2,7,2	1,0,0,0,0	6,10,2	0,0,0	65	-1	nan	nan	-0.016,1.0,1.0,1.0,1.0	1.0,1.0,1.0	-0.203
10	"ENSMUSG00000038708"	"Golga4"	chr9	+	118537241	118537325	118536758	118536943	118538876	118539024	10	116,104,148,114,87	23,12,33,22,22	119,127,100	16,34,20	83	-1	nan	nan	-0.065,-0.117,-0.057,-0.067,-0.05	-0.098,-0.047,-0.064	-0.002
11	"ENSMUSG00000038708"	"Golga4"	chr9	+	118548034	118548169	118538876	118539024	118548622	118548801	11	1,0,0,0,0	94,65,126,91,71	2,0,0	82,31,43	134	-1	1	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
12	"ENSMUSG00000038708"	"Golga4"	chr9	+	118551831	118551963	118548407	118548801	118553434	118553490	12	203,150,230,139,145	0,0,0,0,1	122,125,111	0,0,0	131	-1	nan	nan	1.0,1.0,1.0,1.0,10.357	1.0,1.0,1.0	1.871
13	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566958	118566979	118565275	118565667	118567180	118567249	13	254,187,210,175,203	0,0,0,0,0	147,181,186	0,0,1	20	-1	1	nan	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.12	-0.04
