"","ID","GeneID","geneSymbol","chr","strand","X1stExonStart_0base","X1stExonEnd","X2ndExonStart_0base","X2ndExonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"64",70,"ENSMUSG00000052707","Tnrc6a","chr7","+",123152163,123152185,123162493,123162877,123143749,123143837,123169535,123172118,70,"5,7,7,7,2","10,17,20,22,18","0,1,0","7,15,4",-2,-2,5.11141788129e-06,4.59172141888e-05,"0.333,0.292,0.259,0.241,0.1","0.0,0.063,0.0",0.224,28,87,1,26
"81",89,"ENSMUSG00000021798","Ldb3","chr14","-",34572989,34573012,34576985,34577344,34567397,34567567,34578594,34578670,89,"53,70,38,35,35","739,521,606,674,583","10,23,17","942,1232,856",-2,-2,0,0,"0.067,0.118,0.059,0.049,0.057","0.011,0.018,0.019",0.054,231,3123,50,3030
"133",156,"ENSMUSG00000002963","Pnkp","chr7","+",44860359,44860431,44860862,44860911,44859887,44859945,44860988,44861059,156,"5,0,2,5,5","13,21,16,12,11","0,0,3","15,16,9",-2,-2,0.00431686985102,0.0209217146053,"0.278,0.0,0.111,0.294,0.313","0.0,0.0,0.25",0.116,17,73,3,40
"148",174,"ENSMUSG00000025871","4833439L19Rik","chr13","-",54553197,54553304,54556526,54556651,54552897,54553037,54565181,54565333,174,"6,11,9,11,19","29,35,42,45,34","14,11,7","123,236,116",-2,-2,2.02871506261e-08,2.5471644675e-07,"0.171,0.239,0.176,0.196,0.358","0.102,0.045,0.057",0.16,56,185,32,475
"149",175,"ENSMUSG00000025871","4833439L19Rik","chr13","-",54556526,54556651,54561692,54561871,54553197,54553304,54564184,54564272,175,"5,3,12,6,4","36,35,41,39,32","3,19,11","147,335,134",-2,-2,0.000630377173166,0.00375949941885,"0.122,0.079,0.226,0.133,0.111","0.02,0.054,0.076",0.084,30,183,33,616
"150",176,"ENSMUSG00000025871","4833439L19Rik","chr13","-",54561692,54561871,54564184,54564272,54559197,54559324,54564514,54564621,176,"13,7,10,20,8","30,30,33,28,21","12,33,20","128,180,104",-2,-2,0.000198828763544,0.00132986092003,"0.302,0.189,0.233,0.417,0.276","0.086,0.155,0.161",0.149,58,142,65,412
"231",284,"ENSMUSG00000021282","Eif5","chr12","+",111542679,111542841,111543099,111543264,111542151,111542310,111543526,111543661,284,"376,426,487,445,498","134,168,191,174,180","243,202,227","159,177,153",-2,-2,2.4139268362e-10,3.40967165613e-09,"0.737,0.717,0.718,0.719,0.735","0.604,0.533,0.597",0.147,2232,847,672,489
"269",343,"ENSMUSG00000027651","Rprd1b","chr2","+",158058651,158058827,158070560,158070656,158050086,158050213,158074929,158078207,343,"4,9,6,11,8","0,0,1,0,0","29,51,26","4,8,1",-2,-2,2.48417636941e-05,0.000197044447121,"1.0,1.0,0.857,1.0,1.0","0.879,0.864,0.963",0.069,38,1,106,13
"293",373,"ENSMUSG00000118346","Tmem179b","chr19","-",8773289,8773424,8773504,8773622,8773027,8773106,8774334,8774467,373,"2,2,3,7,3","26,11,36,19,29","0,0,0","17,14,8",-2,-2,3.96698931677e-05,0.00029884652853,"0.071,0.154,0.077,0.269,0.094","0.0,0.0,0.0",0.133,17,121,0,39
"308",390,"ENSMUSG00000024587","Nars","chr18","-",64509244,64509315,64510452,64510531,64507771,64507858,64511610,64511700,390,"73,134,86,85,88","23,37,30,18,16","62,100,58","53,80,38",-2,-2,3.28913563052e-11,5.19248102848e-10,"0.76,0.784,0.741,0.825,0.846","0.539,0.556,0.604",0.225,466,124,220,171
"309",392,"ENSMUSG00000024587","Nars","chr18","-",64510452,64510531,64511610,64511700,64509244,64509315,64511784,64511877,392,"150,164,138,161,139","54,67,47,72,36","71,106,71","73,120,53",-2,-2,3.08638670177e-11,4.908497962e-10,"0.735,0.71,0.746,0.691,0.794","0.493,0.469,0.573",0.224,752,276,248,246
"400",512,"ENSMUSG00000044477","Zfand3","chr17","+",30135322,30135505,30153302,30153368,30005047,30005308,30192562,30192730,512,"15,14,17,18,21","79,91,91,83,111","12,18,11","138,178,126",-2,-2,0.00085592806879,0.00498015599917,"0.16,0.133,0.157,0.178,0.159","0.08,0.092,0.08",0.073,85,455,41,442
