ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118577141	118577228	118568963	118569039	118581848	118582117	0	278,237,218,258,211	480,513,406,453,402	183,173,202	302,233,283	103	86	0.0116188437695	0.0491090191131	0.326,0.278,0.31,0.322,0.305	0.336,0.383,0.373	-0.056
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518229	43518299	43518401	43518464	43514711	43516003	43518643	43518719	2	24063,24871,22247,27605,24079	25627,26132,24866,31328,27578	17828,15914,10948	18853,17734,11490	62	69	0.724174817107	1.0	0.511,0.514,0.499,0.495,0.493	0.513,0.5,0.515	-0.007
3	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43518464	43518643	43518719	43518229	43518299	43519226	43519297	3	18909,20038,18316,22118,18662	17250,18009,17598,20594,17640	16574,14410,10198	12906,8904,7944	75	62	0.000572143468497	0.00352180836619	0.475,0.479,0.462,0.47,0.467	0.515,0.572,0.515	-0.063
4	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297	4	200,291,465,239,269	47062,49065,44482,54477,46878	122,93,143	37594,33925,23005	75	75	1	1.0	0.004,0.006,0.01,0.004,0.006	0.003,0.003,0.006	0.002
5	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919840	144920079	144918650	144918794	144923905	144924031	5	1,0,6,4,2	95,106,124,104,59	3,0,0	54,26,42	274	238	0.345398199162	0.691118297857	0.009,0.0,0.04,0.032,0.029	0.046,0.0,0.0	0.007
6	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144923905	144924031	144918650	144918794	144927134	144927639	6	1,0,6,4,1	132,186,264,157,103	3,0,1	52,64,77	274	125	1	1.0	0.003,0.0,0.01,0.011,0.004	0.026,0.0,0.006	-0.005
7	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144919840	144920079	144918650	144918794	144923905	144924031	7	44,52,64,38,29	95,106,124,104,59	25,37,30	54,26,42	119	238	0.0433429234307	0.14272585369	0.481,0.495,0.508,0.422,0.496	0.481,0.74,0.588	-0.123
8	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144923905	144924031	144918650	144918794	144927134	144927645	8	44,52,64,38,28	132,186,264,157,103	25,37,31	52,64,77	119	125	0.000589395379955	0.00360521903351	0.259,0.227,0.203,0.203,0.222	0.336,0.378,0.297	-0.114
9	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144918650	144918794	144927134	144927639	9	0,1,1,0,5	132,186,264,157,103	0,0,0	52,64,77	238	125	1	1.0	0.0,0.003,0.002,0.0,0.025	0.0,0.0,0.0	0.006
10	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144919229	144919504	144927134	144927639	10	56,72,60,66,33	132,186,264,157,104	47,38,49	50,64,77	238	125	8.38690454441e-06	7.34966696198e-05	0.182,0.169,0.107,0.181,0.143	0.331,0.238,0.251	-0.117
11	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374377	38362208	38363147	38377654	38378216	11	35,19,29,25,41	72,33,40,52,43	97,97,85	116,102,106	108	558	0.0537784917283	0.170047721383	0.715,0.748,0.789,0.713,0.831	0.812,0.831,0.806	-0.057
12	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374236	38362244	38363147	38377654	38378216	12	35,19,29,25,41	3,1,2,2,0	97,97,85	1,2,0	108	417	1	1.0	0.978,0.987,0.982,0.98,1.0	0.997,0.995,1.0	-0.012
13	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50176876	50176918	50178388	50178520	50163421	50163649	50180175	50180275	13	27,35,38,44,22	71,91,90,96,84	57,59,54	130,154,105	41	131	0.380912045875	0.740106934383	0.549,0.551,0.574,0.594,0.456	0.583,0.55,0.622	-0.04
14	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119344508	119346469	119346568	119344172	119344252	119347729	119347810	14	3,4,3,1,5	89,102,93,93,93	1,2,2	103,78,65	42	98	0.163669505539	0.402500440774	0.073,0.084,0.07,0.024,0.111	0.022,0.056,0.067	0.024
