ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118577141	118577228	118568963	118569039	118581848	118582117
1	"ENSMUSG00000079362"	"Gm43302"	chr5	-	105288926	105289054	105290836	105291026	105280454	105280564	105293625	105293695
2	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100824915	100825001	100826451	100826518	100821118	100821206	100828899	100829022
7	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144918650	144918794	144927134	144927639
8	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144919229	144919504	144927134	144927639
9	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374377	38362208	38363147	38377654	38378216
10	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374236	38362244	38363147	38377654	38378216
11	"ENSMUSG00000031605"	"Klhl2"	chr8	-	64749031	64749172	64749694	64749823	64739847	64743098	64751728	64751830
12	"ENSMUSG00000023143"	"Nagpa"	chr16	-	5199615	5199744	5199942	5200051	5198730	5198936	5201373	5201513
13	"ENSMUSG00000056342"	"Usp34"	chr11	+	23420039	23420144	23421097	23421153	23418978	23419131	23421245	23421366
14	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119344508	119346469	119346568	119344172	119344252	119347729	119347810
16	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70247573	70247719	70266629	70266754	70245852	70245992	70267308	70267506
17	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70256359	70256471	70266629	70266754	70247573	70247719	70267308	70267506
18	"ENSMUSG00000030347"	"D6Wsu163e"	chr6	+	126966879	126967082	126973555	126973613	126961965	126962040	126974486	126974554
19	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23111502	23111592	23110233	23110343	23111816	23112409
20	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111125	23111263	23111502	23111592	23110579	23110723	23111816	23111896
23	"ENSMUSG00000041890"	"Git2"	chr5	-	114766451	114766557	114769616	114769750	114764346	114764477	114773313	114773495
24	"ENSMUSG00000024789"	"Jak2"	chr19	+	29288673	29288801	29291166	29291301	29287900	29288087	29294855	29294943
25	"ENSMUSG00000026495"	"Efcab2"	chr1	+	178455815	178455888	178474881	178474961	178437401	178437486	178475684	178475727
26	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44161809	44161953	44163876	44164084	44160976	44161037	44166808	44166998
27	"ENSMUSG00000032952"	"Ap4b1"	chr3	+	103817759	103817843	103818803	103818907	103814824	103815321	103820253	103820461
30	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83730110	83730257	83734295	83734352	83729381	83729525	83741106	83741169
31	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83734008	83734125	83734295	83734352	83729381	83729525	83741106	83741169
34	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25464848	25466437	25471797	25472073	25463328	25463900	25476343	25476703
38	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109519917	109519993	109520467	109520642	109519584	109519648	109521600	109522367
40	"ENSMUSG00000033065"	"Pfkm"	chr15	+	98125549	98125613	98126303	98126453	98125025	98125090	98126852	98126923
43	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010003	98010376	98011342	98011497	98009857	98009916	98011865	98011942
44	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010295	98010376	98011342	98011497	98009857	98009916	98011865	98011942
46	"ENSMUSG00000043940"	"Wdfy3"	chr5	-	101981378	101981589	102009788	102009887	101968868	101968992	102041654	102041743
47	"ENSMUSG00000054302"	"Eapp"	chr12	-	54685859	54685971	54691999	54692095	54678509	54678623	54692774	54692956
48	"ENSMUSG00000026159"	"Agfg1"	chr1	+	82880007	82880127	82880746	82880818	82876170	82876324	82882227	82882437
50	"ENSMUSG00000020740"	"Gga3"	chr11	-	115591629	115591753	115592431	115592530	115591262	115591366	115594705	115594781
51	"ENSMUSG00000038615"	"Nfe2l1"	chr11	-	96821250	96821409	96822103	96822319	96817413	96820516	96827197	96828223
52	"ENSMUSG00000042015"	"Wdr41"	chr13	+	94995249	94995298	95005730	95005842	94978469	94978585	95008807	95008870
54	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67031028	67031098	67031451	67031514	67028847	67029742	67031950	67032026
55	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67031451	67031514	67032793	67032864	67031028	67031098	67033875	67033993
57	"ENSMUSG00000020955"	"Ap4s1"	chr12	+	51720635	51720722	51722979	51723048	51716941	51717150	51730887	51730899
58	"ENSMUSG00000037151"	"Lrrc20"	chr10	+	61482335	61482482	61527059	61527209	61475800	61475889	61548047	61548215
59	"ENSMUSG00000037151"	"Lrrc20"	chr10	+	61527059	61527209	61548047	61548215	61482335	61482482	61580129	61582791
60	"ENSMUSG00000033382"	"Trappc8"	chr18	-	20854944	20855076	20860432	20860538	20852629	20852854	20862894	20862995
63	"ENSMUSG00000031657"	"Heatr3"	chr8	+	88161877	88161966	88164887	88165031	88158128	88158265	88166995	88167172
64	"ENSMUSG00000079055"	"Slc8a3"	chr12	-	81214065	81214169	81216720	81216827	81204891	81205016	81314259	81316104
66	"ENSMUSG00000059495"	"Arhgef12"	chr9	-	43027196	43027295	43040539	43040596	43026179	43026229	43042590	43042676
69	"ENSMUSG00000033060"	"Lmo7"	chr14	+	101885290	101885572	101886936	101887656	101884161	101884414	101888676	101888706
70	"ENSMUSG00000033060"	"Lmo7"	chr14	+	101885290	101885572	101886936	101887891	101884161	101884414	101888676	101888706
71	"ENSMUSG00000063564"	"Col23a1"	chr11	+	51557470	51557587	51558428	51558464	51551975	51552002	51560006	51560033
72	"ENSMUSG00000027809"	"Etfdh"	chr3	-	79614999	79615146	79615923	79616001	79613621	79613762	79618306	79618425
73	"ENSMUSG00000041143"	"Tmco4"	chr4	+	139019572	139019642	139020045	139020189	139010468	139010601	139020858	139020978
78	"ENSMUSG00000027474"	"Ccm2l"	chr2	+	153074771	153074907	153076400	153076464	153071757	153072212	153078481	153078611
79	"ENSMUSG00000020459"	"Mtif2"	chr11	+	29533831	29533992	29535089	29535266	29533225	29533397	29536832	29536972
80	"ENSMUSG00000063558"	"Aox1"	chr1	+	58059034	58059186	58059378	58059472	58058131	58058224	58061195	58061305
81	"ENSMUSG00000021495"	"Fam193b"	chr13	-	55555982	55556225	55564519	55564580	55554216	55554448	55569704	55571120
83	"ENSMUSG00000020821"	"Kif1c"	chr11	+	70706940	70707086	70708441	70708611	70706680	70706759	70708778	70708858
84	"ENSMUSG00000051730"	"Mettl5"	chr2	-	69873883	69873935	69880766	69880948	69871731	69871781	69881296	69881411
85	"ENSMUSG00000051730"	"Mettl5"	chr2	-	69879101	69879184	69881296	69881411	69873883	69873935	69885248	69885615
86	"ENSMUSG00000039703"	"Nploc4"	chr11	-	120408772	120408899	120411657	120411744	120404205	120404366	120413559	120413739
87	"ENSMUSG00000002881"	"Nab1"	chr1	-	52464784	52464947	52466889	52466979	52462087	52462204	52479237	52479289
88	"ENSMUSG00000014932"	"Yes1"	chr5	+	32640330	32640603	32645007	32645107	32611170	32611375	32651656	32651755
89	"ENSMUSG00000014932"	"Yes1"	chr5	+	32640330	32640603	32645007	32645107	32611183	32611837	32651656	32651755
90	"ENSMUSG00000028035"	"Dnajb4"	chr3	-	152186414	152186983	152193376	152193618	152183981	152185380	152209834	152210083
91	"ENSMUSG00000028035"	"Dnajb4"	chr3	-	152195049	152195100	152208883	152208946	152193376	152193618	152209834	152210057
