"","ID","GeneID","geneSymbol","chr","strand","X1stExonStart_0base","X1stExonEnd","X2ndExonStart_0base","X2ndExonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"3",2,"ENSMUSG00000021629","Slc30a5","chr13","-",100824915,100825001,100826451,100826518,100821118,100821206,100828899,100829022,2,"11,9,12,5,7","12,11,28,14,3","2,0,0","3,3,5",-2,-2,0.00032624941924,0.00368755598363,"0.478,0.45,0.3,0.263,0.7","0.4,0.0,0.0",0.305,44,68,2,11
"93",100,"ENSMUSG00000021798","Ldb3","chr14","-",34572989,34573012,34576985,34577344,34567397,34567567,34578594,34578670,100,"110,174,170,44,74","825,821,1211,1025,739","19,23,12","1002,1152,893",-2,-2,0,0,"0.118,0.175,0.123,0.041,0.091","0.019,0.02,0.013",0.092,572,4621,54,3047
"122",133,"ENSMUSG00000035258","Abi3bp","chr16","+",56626666,56626747,56627559,56627673,56624502,56624562,56629095,56629155,133,"19,12,23,14,6","6,2,8,12,5","1,0,0","0,2,1",-2,-2,0.000345946890588,0.00384253456155,"0.76,0.857,0.742,0.538,0.545","1.0,0.0,0.0",0.355,74,33,1,3
"126",137,"ENSMUSG00000035258","Abi3bp","chr16","+",56637067,56637124,56642488,56642560,56634458,56634539,56647024,56647099,137,"4,1,3,8,0","19,17,45,10,8","0,0,0","3,9,2",-2,-2,0.000137216218829,0.00183997706906,"0.174,0.056,0.063,0.444,0.0","0.0,0.0,0.0",0.147,16,99,0,14
"129",140,"ENSMUSG00000029767","Calu","chr6","+",29361293,29361487,29361559,29361753,29356470,29356697,29366039,29366206,140,"164,197,320,211,125","221,191,317,221,139","57,58,49","129,113,112",-2,-2,2.84229090264e-08,7.1416008311e-07,"0.426,0.508,0.502,0.488,0.473","0.306,0.339,0.304",0.163,1017,1089,164,354
"215",246,"ENSMUSG00000048537","Phldb1","chr9","-",44699555,44699696,44700945,44701086,44699346,44699449,44701502,44701670,246,"5,7,6,1,4","35,19,48,33,25","0,1,1","17,14,15",-2,-2,0.000669633894358,0.00635101508765,"0.125,0.269,0.111,0.029,0.138","0.0,0.067,0.063",0.091,23,160,2,46
"242",283,"ENSMUSG00000003421","Nosip","chr7","+",45076309,45076428,45076551,45076739,45076068,45076228,45076820,45076929,283,"99,82,82,90,69","52,46,74,48,48","50,21,22","33,51,39",-2,-2,0.00761910650906,0.045749994537,"0.656,0.641,0.526,0.652,0.59","0.602,0.292,0.361",0.195,422,268,93,123
"243",284,"ENSMUSG00000021140","Pcnx","chr12","+",81928241,81928374,81933530,81933715,81917664,81919380,81946930,81947021,284,"18,25,32,12,17","17,23,20,28,12","12,23,14","39,40,32",-2,-2,0.00226949198485,0.0176911001711,"0.514,0.521,0.615,0.3,0.586","0.235,0.365,0.304",0.206,104,100,49,111
"279",326,"ENSMUSG00000029407","Uso1","chr5","+",92195347,92195434,92198335,92198434,92194011,92194175,92199816,92199924,326,"91,60,95,67,84","127,64,145,91,88","34,39,29","71,82,78",-2,-2,0.000214744851865,0.0026464746506,"0.417,0.484,0.396,0.424,0.488","0.324,0.322,0.271",0.136,397,515,102,231
"289",337,"ENSMUSG00000029128","Rab28","chr5","-",41626986,41627081,41633172,41633250,41624975,41625862,41635805,41635909,337,"147,156,153,149,136","135,147,188,115,154","118,32,54","129,102,115",-2,-2,0.00278907249153,0.0208014974296,"0.521,0.515,0.449,0.564,0.469","0.478,0.239,0.32",0.158,741,739,204,346
"394",467,"ENSMUSG00000022091","Sorbs3","chr14","-",70186858,70186984,70190727,70190842,70184827,70185136,70191015,70191062,467,"67,44,59,56,60","92,65,95,74,78","28,19,16","48,58,47",-2,-2,0.00484173349927,0.031965322184,"0.421,0.404,0.383,0.431,0.435","0.368,0.247,0.254",0.125,286,404,63,153
"408",481,"ENSMUSG00000026289","Atg16l1","chr1","+",87774812,87774869,87775080,87775128,87774144,87774231,87775756,87775859,481,"16,12,30,19,18","6,14,12,5,7","5,9,3","8,14,8",-2,-2,0.000327269876602,0.00368755598363,"0.727,0.462,0.714,0.792,0.72","0.385,0.391,0.273",0.333,95,44,17,30
"440",516,"ENSMUSG00000024587","Nars","chr18","-",64509244,64509315,64510452,64510531,64507771,64507858,64511610,64511700,516,"120,97,137,128,81","80,79,123,66,55","87,25,33","58,90,67",-2,-2,0.00842303489911,0.0490964286462,"0.6,0.551,0.527,0.66,0.596","0.6,0.217,0.33",0.204,563,403,145,215
"441",518,"ENSMUSG00000024587","Nars","chr18","-",64510452,64510531,64511610,64511700,64509244,64509315,64511784,64511877,518,"129,104,129,121,96","119,110,146,134,92","55,23,28","75,80,59",-2,-2,0.000485804272877,0.00496941287828,"0.52,0.486,0.469,0.475,0.511","0.423,0.223,0.322",0.17,579,601,106,214
