"","ID","GeneID","geneSymbol","chr","strand","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"50",71,"ENSMUSG00000028464","Tpm2","chr4","-",43519002,43519078,43518401,43518464,43519226,43519297,71,"87,77,167,124,115","3,1,0,1,0","66,73,59","11,4,4",-2,-1,3.30431981777e-09,4.88534506391e-07,"0.935,0.975,1.0,0.984,1.0","0.75,0.901,0.881",0.135,570,5,198,19
"107",156,"ENSMUSG00000036879","Phkb","chr8","+",85843003,85843112,85841001,85841103,85875633,85875723,156,"1,0,3,5,2","9,7,7,7,5","2,5,0","44,97,140",-2,-1,0.000597968693993,0.017180504042,"0.053,0.0,0.176,0.263,0.167","0.022,0.025,0.0",0.116,11,35,7,281
"108",157,"ENSMUSG00000036879","Phkb","chr8","+",85843020,85843112,85840958,85841103,85875633,85875723,157,"1,0,3,5,2","9,7,7,7,5","1,4,3","44,97,140",-2,-1,0.00113004621425,0.0285393640586,"0.053,0.0,0.176,0.263,0.167","0.011,0.02,0.011",0.118,11,35,8,281
"123",179,"ENSMUSG00000038388","Mpp6","chr6","+",50143718,50143784,50110240,50110464,50145773,50145892,179,"63,87,78,49,42","5,3,3,10,1","62,36,30","14,6,7",-2,-1,0.000423740466393,0.0131507791975,"0.863,0.935,0.929,0.71,0.955","0.689,0.75,0.682",0.171,319,22,128,27
"350",522,"ENSMUSG00000068250","Amn1","chr6","-",149183393,149183538,149170832,149171050,149188605,149188695,522,"13,11,14,7,8","1,0,0,0,1","3,9,3","1,3,1",-2,-1,8.20497679554e-06,0.00050633030718,"0.867,1.0,1.0,1.0,0.8","0.6,0.6,0.6",0.333,53,2,15,5
"557",828,"ENSMUSG00000031714","Gab1","chr8","-",80776160,80776250,80774933,80775027,80784626,80784930,828,"12,5,9,4,7","35,33,30,37,19","1,0,1","6,6,8",-2,-1,0.00127238469503,0.0313530904597,"0.146,0.07,0.13,0.051,0.156","0.077,0.0,0.059",0.065,37,154,2,20
"699",1051,"ENSMUSG00000038260","Trpm4","chr7","-",45327271,45327452,45326976,45327140,45333381,45333452,1051,"15,19,29,25,10","3,0,4,2,2","4,13,11","1,6,6",-2,-1,0.00188118526989,0.0425163847091,"0.714,1.0,0.784,0.862,0.714","0.667,0.52,0.478",0.26,98,11,28,13
"711",1070,"ENSMUSG00000058291","Zfp68","chr5","-",138616469,138616559,138612038,138612165,138617054,138617167,1070,"19,13,21,26,15","15,12,9,6,3","5,3,9","8,8,18",-2,-1,9.46234313287e-05,0.0038589935558,"0.388,0.351,0.538,0.684,0.714","0.238,0.158,0.2",0.336,94,45,17,34
"712",1071,"ENSMUSG00000058291","Zfp68","chr5","-",138616469,138616565,138612038,138612165,138617054,138617167,1071,"29,27,26,26,20","15,12,9,6,3","8,8,16","8,8,18",-2,-1,0.000403103063502,0.0125836718797,"0.492,0.529,0.591,0.684,0.769","0.333,0.333,0.308",0.288,128,45,32,34
"713",1072,"ENSMUSG00000058291","Zfp68","chr5","-",138616469,138616614,138612066,138612165,138617054,138617167,1072,"20,14,19,21,13","15,12,9,6,3","4,2,7","8,8,18",-2,-1,9.05097324133e-06,0.000545878811071,"0.4,0.368,0.514,0.636,0.684","0.2,0.111,0.163",0.362,87,45,13,34
"735",1119,"ENSMUSG00000020821","Kif1c","chr11","+",70702371,70702551,70700560,70700709,70702771,70702905,1119,"288,283,318,258,211","29,63,37,44,42","213,284,290","92,67,66",-2,-1,0.000879692222526,0.0231430028,"0.832,0.692,0.811,0.746,0.715","0.537,0.679,0.687",0.125,1358,215,787,225
"834",1277,"ENSMUSG00000021798","Ldb3","chr14","-",34555342,34555528,34552176,34552322,34566856,34566893,1277,"210,143,259,184,99","287,193,332,268,202","55,43,22","239,259,230",-2,-1,0,0,"0.268,0.27,0.281,0.256,0.197","0.103,0.077,0.046",0.179,895,1282,120,728
