ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118577141	118577228	118568963	118569039	118581848	118582117	0	278,237,218,258,211	480,513,406,453,402	183,173,202	302,233,283	-2	-2	0.0115217219015	0.0478474601983	0.367,0.316,0.349,0.363,0.344	0.377,0.426,0.416	-0.059
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518229	43518299	43518401	43518464	43514711	43516003	43518643	43518719	2	24063,24871,22247,27605,24079	25627,26132,24866,31328,27578	17828,15914,10948	18853,17734,11490	-2	-2	0.7242135924	1.0	0.484,0.488,0.472,0.468,0.466	0.486,0.473,0.488	-0.007
3	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43518464	43518643	43518719	43518229	43518299	43519226	43519297	3	18909,20038,18316,22118,18662	17250,18009,17598,20594,17640	16574,14410,10198	12906,8904,7944	-2	-2	0.000572027112089	0.00345955552016	0.523,0.527,0.51,0.518,0.514	0.562,0.618,0.562	-0.062
4	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297	4	200,291,465,239,269	47062,49065,44482,54477,46878	122,93,143	37594,33925,23005	-2	-2	1	1.0	0.004,0.006,0.01,0.004,0.006	0.003,0.003,0.006	0.002
5	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919840	144920079	144918650	144918794	144923905	144924031	5	1,0,6,4,2	95,106,124,104,59	3,0,0	54,26,42	-2	-2	0.257592401717	0.559202109693	0.01,0.0,0.046,0.037,0.033	0.053,0.0,0.0	0.008
6	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144923905	144924031	144918650	144918794	144927134	144927639	6	1,0,6,4,1	132,186,264,157,103	3,0,1	52,64,77	-2	-2	0.461566742714	0.834864192592	0.008,0.0,0.022,0.025,0.01	0.055,0.0,0.013	-0.01
7	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144919840	144920079	144918650	144918794	144923905	144924031	7	44,52,64,38,29	95,106,124,104,59	25,37,30	54,26,42	-2	-2	0.0535457064254	0.168411490033	0.317,0.329,0.34,0.268,0.33	0.316,0.587,0.417	-0.123
8	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144923905	144924031	144918650	144918794	144927134	144927645	8	44,52,64,38,28	132,186,264,157,103	25,37,31	52,64,77	-2	-2	0.00058251353162	0.00351308020334	0.25,0.218,0.195,0.195,0.214	0.325,0.366,0.287	-0.112
9	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144918650	144918794	144927134	144927639	9	0,1,1,0,5	132,186,264,157,103	0,0,0	52,64,77	-2	-2	1	1.0	0.0,0.005,0.004,0.0,0.046	0.0,0.0,0.0	0.011
10	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144919229	144919504	144927134	144927639	10	56,72,60,66,33	132,186,264,157,104	47,38,49	50,64,77	-2	-2	3.21883228145e-05	0.000245937114173	0.298,0.279,0.185,0.296,0.241	0.485,0.373,0.389	-0.156
