ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118577141	118577228	118568963	118569039	118581848	118582117	0	153,97,144,75,122	247,162,197,139,170	109,127,112	152,192,221	-2	-2	0.745024804875	1.0	0.383,0.375,0.422,0.35,0.418	0.418,0.398,0.336	0.006
1	"ENSMUSG00000079362"	"Gm43302"	chr5	-	105288926	105289054	105290836	105291026	105280454	105280564	105293625	105293695	1	16,11,7,5,12	8,12,4,4,18	1,3,0	1,1,0	-2	-2	1	1.0	0.667,0.478,0.636,0.556,0.4	0.5,0.75,NA	-0.078
2	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100824915	100825001	100826451	100826518	100821118	100821206	100828899	100829022	2	11,9,12,5,7	12,11,28,14,3	2,0,0	3,3,5	-2	-2	0.00032624941924	0.00368755598363	0.478,0.45,0.3,0.263,0.7	0.4,0.0,0.0	0.305
3	"ENSMUSG00000060275"	"Nrg2"	chr18	-	36031882	36031941	36032335	36032412	36024305	36024408	36038230	36038351	3	2,1,2,0,0	0,0,0,0,0	0,0,0	0,1,0	-2	-2	1	1.0	1.0,1.0,1.0,NA,NA	NA,0.0,NA	1.0
4	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297	4	87,77,167,124,115	44897,37352,45528,36474,36186	66,73,59	27159,17255,13412	-2	-2	1	1.0	0.002,0.002,0.004,0.003,0.003	0.002,0.004,0.004	-0.001
5	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919840	144920079	144918650	144918794	144923905	144924031	5	2,2,1,5,7	110,92,126,113,104	0,1,0	13,13,33	-2	-2	0.0555636023538	0.202818903937	0.018,0.021,0.008,0.042,0.063	0.0,0.071,0.0	0.007
6	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144919840	144920079	144918650	144918794	144923905	144924031	6	59,74,89,94,69	110,92,126,113,104	18,19,27	13,13,33	-2	-2	0.0489621385315	0.185582393458	0.349,0.446,0.414,0.454,0.399	0.581,0.594,0.45	-0.129
7	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144918650	144918794	144927134	144927639	7	1,0,2,1,0	167,191,189,179,197	0,0,0	39,30,23	-2	-2	1	1.0	0.006,0.0,0.01,0.006,0.0	0.0,0.0,0.0	0.004
8	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144919229	144919504	144927134	144927639	8	76,79,129,88,80	167,191,189,180,197	25,28,21	38,30,23	-2	-2	0.00803497976971	0.0474406048472	0.313,0.293,0.406,0.328,0.289	0.397,0.483,0.477	-0.127
9	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374377	38362208	38363147	38377654	38378216	9	58,20,27,59,35	34,26,31,53,34	71,101,97	50,58,55	-2	-2	0.0236091817987	0.106446972988	0.63,0.435,0.466,0.527,0.507	0.587,0.635,0.638	-0.107
10	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374236	38362244	38363147	38377654	38378216	10	58,20,27,59,35	2,0,0,2,1	71,101,97	1,3,0	-2	-2	1	1.0	0.967,1.0,1.0,0.967,0.972	0.986,0.971,1.0	-0.004
