ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566907	118566979	118566958	118566979	118565556	118565667	0	15,9,12,8,17	318,311,273,284,214	13,2,0,2,4	217,146,168,146,155	-2	-1	0.00895018236251	0.160224737017	0.023,0.014,0.022,0.014,0.038	0.029,0.007,0.0,0.007,0.013	0.011
4	"ENSMUSG00000021708"	"Rasgrf2"	chr13	-	91972180	91972288	91972180	91972285	91982593	91982856	4	0,0,0,1,0	0,0,0,0,1	1,1,0,3,1	4,4,15,1,5	-2	-1	1	1.0	NA,NA,NA,1.0,0.0	0.111,0.111,0.0,0.6,0.091	0.317
6	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43514710	43516003	43514710	43514861	43518229	43518299	6	31233,32005,30604,38065,33417	94,137,244,140,149	26736,19590,25208,20278,19764	46,46,83,80,47	-2	-1	0.372606098007	1.0	0.994,0.992,0.984,0.993,0.991	0.997,0.995,0.993,0.992,0.995	-0.004
7	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519226	43519297	7	4177,4715,4534,5182,4739	7,4,2,2,0	5225,3874,5308,4103,4121	3,1,0,1,0	-2	-1	1	1.0	0.997,0.998,0.999,0.999,1.0	0.999,0.999,1.0,1.0,1.0	-0.001
9	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711702	120711895	120711702	120711756	120713692	120713738	9	5,12,10,12,15	0,0,3,0,1	7,13,9,7,5	0,1,2,2,1	-2	-1	0.123159807851	0.943971280256	1.0,1.0,0.625,1.0,0.882	1.0,0.867,0.692,0.636,0.714	0.12
10	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701022	56702890	56702762	56702890	56696717	56696789	10	15,8,15,11,10	1,0,0,2,0	45,41,46,38,31	0,3,1,0,0	-2	-1	1	1.0	0.882,1.0,1.0,0.733,1.0	1.0,0.872,0.958,1.0,1.0	-0.043
14	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919384	144919504	144918650	144918794	14	1,0,6,4,1	44,52,64,38,28	2,2,1,4,7	59,74,89,93,69	-2	-1	0.918020119629	1.0	0.011,0.0,0.045,0.05,0.018	0.017,0.013,0.006,0.021,0.048	0.004
15	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75725258	75725404	75725258	75725385	75725548	75725755	15	4,1,3,4,1	0,2,0,0,0	9,4,6,13,5	0,0,0,1,0	-2	-1	1	1.0	1.0,0.2,1.0,1.0,1.0	1.0,1.0,1.0,0.867,1.0	-0.133
16	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75725548	75725755	75725548	75725681	75726857	75727019	16	0,0,5,0,0	1,0,0,0,0	4,4,17,5,2	0,1,0,0,1	-2	-1	1	1.0	0.0,NA,1.0,NA,NA	1.0,0.667,1.0,1.0,0.5	-0.333
17	"ENSMUSG00000048416"	"Mlf1"	chr3	+	67392839	67392975	67392891	67392975	67384550	67384698	17	6,3,9,14,4	8,22,13,25,22	14,10,12,12,3	50,33,24,33,37	-2	-1	0.369416995391	1.0	0.273,0.064,0.257,0.219,0.083	0.123,0.132,0.2,0.154,0.039	0.05
