ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118577141	118577228	118568963	118569039	118581848	118582117	0	183,173,202	302,233,283	109,127,112	152,192,221	-2	-2	0.412790230111	0.841252435034	0.377,0.426,0.416	0.418,0.398,0.336	0.022
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297	2	122,93,143	37594,33925,23005	66,73,59	27159,17255,13412	-2	-2	1	1.0	0.003,0.003,0.006	0.002,0.004,0.004	0.001
3	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144923905	144924031	144918650	144918794	144927134	144927639	3	3,0,1	52,64,77	0,1,0	39,30,23	-2	-2	0.645344728392	1.0	0.055,0.0,0.013	0.0,0.032,0.0	0.012
4	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144923905	144924031	144918650	144918794	144927134	144927645	4	25,37,31	52,64,77	18,19,27	39,30,23	-2	-2	0.175875233625	0.540629415006	0.325,0.366,0.287	0.316,0.388,0.54	-0.089
5	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374377	38362208	38363147	38377654	38378216	5	97,97,85	116,102,106	71,101,97	50,58,55	-2	-2	1.65469160754e-05	0.00105836620898	0.455,0.487,0.445	0.587,0.635,0.638	-0.158
6	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374236	38362244	38363147	38377654	38378216	6	97,97,85	1,2,0	71,101,97	1,3,0	-2	-2	1	1.0	0.99,0.98,1.0	0.986,0.971,1.0	0.004
7	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50176876	50176918	50178388	50178520	50163421	50163649	50180175	50180275	7	57,59,54	130,154,105	64,22,17	143,83,76	-2	-2	0.0950967489153	0.387028033428	0.305,0.277,0.34	0.309,0.21,0.183	0.073
8	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50183709	50183871	50194525	50194728	50180590	50180659	50196513	50196558	8	89,118,82	117,113,114	66,55,27	76,90,75	-2	-2	0.10149772717	0.403653977469	0.432,0.511,0.418	0.465,0.379,0.265	0.084
9	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119344508	119346469	119346568	119344172	119344252	119347729	119347810	9	1,2,2	103,78,65	3,3,6	76,77,83	-2	-2	0.0329028628697	0.200430259899	0.01,0.025,0.03	0.038,0.037,0.067	-0.026
10	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119348920	119349100	119349353	119349409	119348580	119348771	119349491	119349637	10	5,12,15	26,37,32	7,6,7	39,14,16	-2	-2	0.699475267665	1.0	0.161,0.245,0.319	0.152,0.3,0.304	-0.01
11	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70247573	70247719	70266629	70266754	70245852	70245992	70267308	70267506	11	21,20,12	18,22,11	32,22,18	5,6,8	-2	-2	8.48554297443e-05	0.00350809600261	0.538,0.476,0.522	0.865,0.786,0.692	-0.269
12	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70256359	70256471	70266629	70266754	70247573	70247719	70267308	70267506	12	21,20,12	24,27,16	32,22,19	14,25,24	-2	-2	0.22740023655	0.621567223685	0.467,0.426,0.429	0.696,0.468,0.442	-0.095
13	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111125	23111263	23111502	23111592	23110579	23110723	23111816	23111896	13	382,387,360	371,325,406	421,188,197	297,311,287	-2	-2	0.296284990053	0.723527075563	0.507,0.544,0.47	0.586,0.377,0.407	0.05
14	"ENSMUSG00000041890"	"Git2"	chr5	-	114739032	114739281	114743775	114743880	114733860	114733943	114745428	114745571	14	8,7,4	3,11,3	4,9,4	9,4,2	-2	-2	0.984539375173	1.0	0.727,0.389,0.571	0.308,0.692,0.667	0.007
16	"ENSMUSG00000024789"	"Jak2"	chr19	+	29288673	29288801	29291166	29291301	29287900	29288087	29294855	29294943	16	20,48,16	30,26,17	34,25,28	31,19,16	-2	-2	0.505711812464	0.92329251266	0.4,0.649,0.485	0.523,0.568,0.636	-0.064
17	"ENSMUSG00000032952"	"Ap4b1"	chr3	+	103817759	103817843	103818803	103818907	103814824	103815321	103820253	103820461	17	9,16,10	11,18,16	18,16,20	16,17,7	-2	-2	0.104287545502	0.410000444846	0.45,0.471,0.385	0.529,0.485,0.741	-0.15
18	"ENSMUSG00000028100"	"Nudt17"	chr3	-	96707783	96707809	96707809	96707886	96707557	96707650	96707991	96708175	18	0,1,0	0,0,1	0,0,0	1,1,2	-2	-2	1	1.0	NA,1.0,0.0	0.0,0.0,0.0	0.5
19	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83730110	83730257	83734295	83734352	83729381	83729525	83741106	83741169	19	1,6,2	15,19,10	0,6,8	17,22,19	-2	-2	0.650672038388	1.0	0.063,0.24,0.167	0.0,0.214,0.296	-0.013
20	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83734008	83734125	83734295	83734352	83729381	83729525	83741106	83741169	20	1,6,2	1,0,1	0,6,8	0,2,3	-2	-2	1	1.0	0.5,1.0,0.667	NA,0.75,0.727	-0.016
21	"ENSMUSG00000034621"	"Gpatch8"	chr11	-	102531312	102531330	102537111	102537146	102528093	102528166	102538281	102538356	21	1,0,1	0,1,0	0,1,1	4,5,4	-2	-2	1	1.0	1.0,0.0,1.0	0.0,0.167,0.2	0.544
22	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25465467	25465520	25466316	25466437	25464848	25464880	25471797	25472073	22	19,20,15	0,0,0	6,13,16	1,0,0	-2	-2	1	1.0	1.0,1.0,1.0	0.857,1.0,1.0	0.048
24	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109519917	109519993	109520467	109520642	109519584	109519648	109521600	109522367	24	157,218,438	0,0,0	156,319,263	1,0,0	-2	-2	1	1.0	1.0,1.0,1.0	0.994,1.0,1.0	0.002
26	"ENSMUSG00000033065"	"Pfkm"	chr15	+	98125025	98125090	98125549	98125613	98123795	98123921	98126303	98126453	26	2243,4122,1879	1250,1861,1023	2887,4672,5008	1404,1268,1587	-2	-2	0.000309460379425	0.00830052598361	0.642,0.689,0.647	0.673,0.787,0.759	-0.08
27	"ENSMUSG00000033065"	"Pfkm"	chr15	+	98125549	98125613	98126303	98126453	98125025	98125090	98126852	98126923	27	1128,2137,905	3178,5165,2390	1472,1526,1750	3315,3968,4508	-2	-2	0.509988931662	0.926897916234	0.262,0.293,0.275	0.307,0.278,0.28	-0.012
28	"ENSMUSG00000063145"	"Bbs5"	chr2	+	69661035	69661098	69663025	69663160	69656896	69656992	69665025	69665109	28	3,1,1	1,7,6	1,0,0	1,4,2	-2	-2	0.0108585062788	0.100880982914	0.75,0.125,0.143	0.5,0.0,0.0	0.173
