"","ID","GeneID","geneSymbol","chr","strand","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"160",314,"ENSMUSG00000030067","Foxp1","chr6","-",99015423,99015513,99015423,99015510,99016527,99016665,314,"3,2,4,3,5","0,1,0,0,0","14,3,13,16,13","0,2,3,3,2",-2,-1,5.0457650227e-05,0.00327189829694,"1.0,0.5,1.0,1.0,1.0","1.0,0.429,0.684,0.727,0.765",0.179,17,1,59,10
"236",435,"ENSMUSG00000024908","Ppp6r3","chr19","-",3473768,3473866,3473768,3473815,3484830,3484916,435,"7,6,6,11,5","0,0,0,0,0","46,49,85,70,43","3,1,8,2,1",-2,-1,2.74399157602e-05,0.00200174185471,"1.0,1.0,1.0,1.0,1.0","0.885,0.961,0.842,0.946,0.956",0.082,35,0,293,15
"295",558,"ENSMUSG00000005371","Fbxo11","chr17","-",88014405,88014550,88014405,88014547,88015398,88015480,558,"2,1,0,1,1","0,0,1,0,0","12,15,21,15,17","7,9,13,0,2",-2,-1,3.56922590561e-06,0.000416600047703,"1.0,1.0,0.0,1.0,1.0","0.462,0.455,0.447,1.0,0.81",0.165,5,1,80,31
"358",674,"ENSMUSG00000064179","Tnnt1","chr7","-",4512264,4512286,4512264,4512283,4513810,4513837,674,"968,1070,804,944,1124","472,511,384,431,592","865,1198,1073,581,689","748,919,794,366,481",-2,-1,4.69689798166e-09,2.28425805175e-06,"0.506,0.511,0.511,0.523,0.487","0.366,0.395,0.403,0.442,0.417",0.103,4910,2390,4406,3308
"444",825,"ENSMUSG00000026082","Rev1","chr1","-",38079289,38079398,38079289,38079395,38083703,38083820,825,"1,1,4,0,2","0,0,0,1,0","12,13,22,7,15","3,1,7,4,2",-2,-1,9.39877787764e-06,0.000884697866031,"1.0,1.0,1.0,0.0,1.0","0.667,0.867,0.611,0.467,0.789",0.12,8,1,69,17
"499",928,"ENSMUSG00000024853","Sf3b2","chr19","-",5288303,5288413,5288303,5288410,5291304,5291422,928,"15,15,19,16,6","1,0,0,0,0","57,45,53,61,22","2,2,9,3,2",-2,-1,2.43201541472e-06,0.000322573680916,"0.882,1.0,1.0,1.0,1.0","0.934,0.918,0.746,0.91,0.846",0.106,71,1,238,18
"670",1286,"ENSMUSG00000055204","Ankrd17","chr5","-",90278242,90278391,90278242,90278388,90285040,90285143,1286,"2,5,1,4,1","0,0,0,1,0","13,7,12,12,11","0,0,10,6,1",-2,-1,1.72822761801e-06,0.00024014134235,"1.0,1.0,1.0,0.667,1.0","1.0,1.0,0.375,0.5,0.846",0.189,13,1,55,17
"674",1296,"ENSMUSG00000056234","Ncoa4","chr14","+",32174389,32174533,32174392,32174533,32173400,32173490,1296,"3,2,7,4,3","0,0,0,1,0","51,61,65,37,22","6,0,3,3,3",-2,-1,0.000124275964644,0.00636205727774,"1.0,1.0,1.0,0.667,1.0","0.81,1.0,0.915,0.86,0.786",0.059,19,1,236,15
"719",1387,"ENSMUSG00000027411","Vps16","chr2","+",130441607,130441705,130441616,130441705,130441394,130441503,1387,"17,14,11,25,6","0,3,0,0,0","22,7,14,17,14","0,0,4,6,1",-2,-1,5.27079688815e-05,0.00334351854774,"1.0,0.7,1.0,1.0,1.0","1.0,1.0,0.636,0.586,0.875",0.121,73,3,74,11
"752",1434,"ENSMUSG00000026991","Pkp4","chr2","+",59311693,59311913,59311696,59311913,59310101,59310290,1434,"5,14,2,11,3","1,1,0,1,0","15,23,21,25,22","4,0,2,7,2",-2,-1,0.000109696551756,0.00581990069135,"0.714,0.875,1.0,0.846,1.0","0.652,1.0,0.84,0.641,0.846",0.091,35,3,106,15
