ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46587934	46590201	46587934	46588010	46590140	46590201	0	2,0,0,0,0	0,0,0,0,0	1,0,2,0,0	0,0,1,0,1	2129	-1	1	nan	1.0,NA,NA,NA,NA	1.0,NA,-0.001,NA,-0.0	0.667
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519002	43519078	2	4070,4578,4284,5050,4599	94,154,250,115,130	5176,3835,5229,4047,4076	29,34,82,58,59	537	-1	1	nan	-0.088,-0.059,-0.033,-0.089,-0.071	-0.498,-0.266,-0.135,-0.149,-0.148	0.171
4	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711702	120711895	120711702	120711756	120711843	120711895	4	3,10,9,7,6	28,24,40,37,33	6,10,8,6,5	26,28,10,8,7	86	-1	nan	nan	-0.001,-0.005,-0.003,-0.002,-0.002	-0.003,-0.004,-0.009,-0.009,-0.008	0.004
5	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701022	56702890	56701022	56701088	56702762	56702890	5	0,0,1,0,0	0,1,3,0,0	1,3,1,1,0	1,1,0,6,0	1673	-1	1	nan	NA,-0.0,-0.0,NA,NA	-0.001,-0.002,1.0,-0.0,NA	-0.249
10	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96664761	96665897	96664761	96664846	96665809	96665897	10	0,0,0,0,0	0,0,0,0,2	0,2,0,2,2	1,2,4,1,1	962	-1	1	nan	NA,NA,NA,NA,-0.0	-0.0,-0.001,-0.0,-0.002,-0.002	0.001
11	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48488700	48490938	48488700	48489988	48490847	48490938	11	1,0,1,0,1	10,14,13,17,10	0,0,0,0,7	25,26,45,33,9	858	-1	1	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.0,-0.0,-0.001	0.0
14	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127328093	127328524	127328093	127328147	127328389	127328524	14	1,1,1,0,0	1,2,3,1,1	1,0,1,0,0	3,3,1,3,1	241	-1	1	nan	-0.004,-0.002,-0.001,-0.0,-0.0	-0.001,-0.0,-0.004,-0.0,-0.0	-0.0
17	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124886682	124886946	124886682	124886779	124886852	124886946	17	3,1,1,0,0	160,176,176,219,157	0,0,0,0,0	197,213,255,179,184	72	-1	nan	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.0,-0.0,-0.0	0.0
18	"ENSMUSG00000030795"	"Fus"	chr7	+	127972553	127975920	127972553	127972770	127975887	127975920	18	22,34,26,45,9	0,1,5,3,3	22,2,19,8,10	2,2,3,1,0	3116	-1	nan	nan	1.0,-0.011,-0.002,-0.005,-0.001	-0.004,-0.0,-0.002,-0.003,1.0	-0.002
19	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428133	89428827	89428133	89428229	89428410	89428827	19	0,0,0,0,0	121,97,86,115,59	0,0,1,0,0	105,98,140,94,69	180	-1	1	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.0,-0.0,-0.0	0.0
21	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428410	89428827	89428410	89428544	89428713	89428827	21	0,0,0,0,0	10,10,15,12,15	0,0,1,0,0	23,32,35,45,20	168	-1	1	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.0,-0.0,-0.0	0.0
22	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428410	89428827	89428410	89428578	89428713	89428827	22	0,0,0,0,0	1,14,2,2,10	0,0,1,0,0	8,11,5,7,6	134	-1	1	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.001,-0.0,-0.0	0.0
23	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119346568	119344465	119344508	119346469	119346568	23	0,0,0,0,1	53,54,48,47,56	1,0,0,0,0	69,48,56,86,44	1960	-1	1	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.0,-0.0,-0.0	0.0
24	"ENSMUSG00000020883"	"Fbxl20"	chr11	-	98095132	98097059	98095132	98095193	98096928	98097059	24	2,1,0,3,0	4,1,1,3,3	8,0,5,3,0	43,18,54,32,24	1734	-1	1	nan	-0.0,-0.001,-0.0,-0.001,-0.0	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0
28	"ENSMUSG00000020486"	"Sept4"	chr11	+	87589655	87590055	87589655	87589818	87590008	87590055	28	69,76,87,116,79	20,13,21,16,27	42,26,37,71,33	11,2,6,12,0	189	-1	nan	nan	-0.019,-0.032,-0.022,-0.04,-0.016	-0.021,-0.074,-0.034,-0.032,1.0	-0.194
29	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89363604	89363834	89363604	89363689	89363765	89363834	29	0,5,4,2,0	23,41,30,33,33	1,7,4,5,2	93,113,116,92,67	75	-1	nan	nan	-0.0,-0.002,-0.002,-0.001,-0.0	-0.0,-0.001,-0.0,-0.001,-0.0	-0.001
30	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370394	89370675	89370394	89370488	89370600	89370675	30	1,4,1,3,0	18,20,23,13,29	1,0,6,3,2	16,42,27,27,31	111	-1	1	nan	-0.001,-0.002,-0.0,-0.002,-0.0	-0.001,-0.0,-0.002,-0.001,-0.001	0.0
31	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370394	89370675	89370394	89370488	89370603	89370675	31	5,10,6,12,7	92,105,114,102,131	7,12,7,9,6	115,86,144,108,120	114	-1	1	nan	-0.0,-0.001,-0.0,-0.001,-0.0	-0.001,-0.001,-0.0,-0.001,-0.0	0.0
