ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118577141	118577228	118568963	118569039	118581848	118582117	0	278,237,218,258,211	480,513,406,453,402	153,97,144,75,122	247,162,197,139,170	103	86	0.0403714879413	0.142219941932	0.326,0.278,0.31,0.322,0.305	0.341,0.333,0.379,0.311,0.375	-0.04
1	"ENSMUSG00000079362"	"Gm43302"	chr5	-	105288926	105289054	105290836	105291026	105280454	105280564	105293625	105293695	1	0,3,2,1,0	0,3,1,2,0	16,11,7,5,12	8,12,4,4,18	189	127	1	1.0	NA,0.402,0.573,0.251,NA	0.573,0.381,0.54,0.457,0.309	-0.043
2	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100824915	100825001	100826451	100826518	100821118	100821206	100828899	100829022	2	1,1,0,1,0	0,0,0,0,1	11,9,12,5,7	12,11,28,14,3	66	85	1	1.0	1.0,1.0,NA,1.0,0.0	0.541,0.513,0.356,0.315,0.75	0.255
4	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518229	43518299	43518401	43518464	43514711	43516003	43518643	43518719	4	24063,24871,22247,27605,24079	25627,26132,24866,31328,27578	21509,18790,22181,17473,17216	21754,15764,20512,16552,16048	62	69	0.00741252023503	0.0365402423666	0.511,0.514,0.499,0.495,0.493	0.524,0.57,0.546,0.54,0.544	-0.042
5	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43518464	43518643	43518719	43518229	43518299	43519226	43519297	5	18909,20038,18316,22118,18662	17250,18009,17598,20594,17640	19682,16063,19955,16149,16133	13800,12166,13458,11080,10682	75	62	5.36958174291e-06	7.37188371994e-05	0.475,0.479,0.462,0.47,0.467	0.541,0.522,0.551,0.546,0.555	-0.072
6	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297	6	200,291,465,239,269	47062,49065,44482,54477,46878	87,77,167,124,115	44897,37352,45528,36474,36186	75	75	1	1.0	0.004,0.006,0.01,0.004,0.006	0.002,0.002,0.004,0.003,0.003	0.003
7	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919840	144920079	144918650	144918794	144923905	144924031	7	1,0,6,4,2	95,106,124,104,59	2,2,1,5,7	110,92,126,113,104	274	238	0.560505263136	0.981970460998	0.009,0.0,0.04,0.032,0.029	0.016,0.019,0.007,0.037,0.055	-0.005
8	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144919840	144920079	144918650	144918794	144923905	144924031	8	44,52,64,38,29	95,106,124,104,59	59,74,89,94,69	110,92,126,113,104	119	238	0.000863222993144	0.00618572964355	0.481,0.495,0.508,0.422,0.496	0.518,0.617,0.586,0.625,0.57	-0.103
9	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144919229	144919504	144927134	144927639	9	56,72,60,66,33	132,186,264,157,104	76,79,129,88,80	167,191,189,180,197	238	125	0.00142543128845	0.00953967454548	0.182,0.169,0.107,0.181,0.143	0.193,0.178,0.264,0.204,0.176	-0.047
10	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374377	38362208	38363147	38377654	38378216	10	35,19,29,25,41	72,33,40,52,43	58,20,27,59,35	34,26,31,53,34	108	558	0.000522902655955	0.00399035844986	0.715,0.748,0.789,0.713,0.831	0.898,0.799,0.818,0.852,0.842	-0.083
