ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46587934	46590201	46587934	46588010	46590140	46590201	0	2,0,0,0,0	0,0,0,0,0	0,1,0	0,1,0	-2	-1	1	1.0	1.0,NA,NA,NA,NA	NA,0.333,NA	0.667
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519002	43519078	2	4070,4578,4284,5050,4599	94,154,250,115,130	3951,4909,2448	52,35,62	-2	-1	1.35447209004e-14	2.08453254657e-11	0.956,0.937,0.895,0.956,0.946	0.974,0.986,0.952	-0.033
4	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711702	120711895	120711702	120711756	120711843	120711895	4	3,10,9,7,6	28,24,40,37,33	8,1,1	20,15,21	-2	-1	0.377367129075	1.0	0.051,0.172,0.101,0.086,0.083	0.167,0.032,0.023	0.025
5	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701022	56702890	56701022	56701088	56702762	56702890	5	0,0,1,0,0	0,1,3,0,0	1,0,0	2,0,0	-2	-1	1	1.0	NA,0.0,0.143,NA,NA	0.2,NA,NA	-0.129
10	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96664761	96665897	96664761	96664846	96665809	96665897	10	0,0,0,0,0	0,0,0,0,2	1,0,0	2,1,1	-2	-1	1	1.0	NA,NA,NA,NA,0.0	0.2,0.0,0.0	-0.067
11	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48488700	48490938	48488700	48489988	48490847	48490938	11	1,0,1,0,1	10,14,13,17,10	2,2,0	15,11,5	-2	-1	1	1.0	0.048,0.0,0.037,0.0,0.048	0.063,0.083,0.0	-0.022
14	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127328093	127328524	127328093	127328147	127328389	127328524	14	1,1,1,0,0	1,2,3,1,1	0,0,0	1,2,2	-2	-1	1	1.0	0.333,0.2,0.143,0.0,0.0	0.0,0.0,0.0	0.135
17	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124886682	124886946	124886682	124886779	124886852	124886946	17	3,1,1,0,0	160,176,176,219,157	1,0,1	180,194,173	-2	-1	1	1.0	0.009,0.003,0.003,0.0,0.0	0.003,0.0,0.003	0.001
18	"ENSMUSG00000030795"	"Fus"	chr7	+	127972553	127975920	127972553	127972770	127975887	127975920	18	22,34,26,45,9	0,1,5,3,3	12,7,5	0,0,1	-2	-1	0.00285211081061	0.0997590576711	1.0,0.944,0.722,0.882,0.6	1.0,1.0,0.714	-0.075
22	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119346568	119344465	119344508	119346469	119346568	22	0,0,0,0,1	53,54,48,47,56	0,0,2	53,71,55	-2	-1	1	1.0	0.0,0.0,0.0,0.0,0.009	0.0,0.0,0.018	-0.004
23	"ENSMUSG00000020883"	"Fbxl20"	chr11	-	98095132	98097059	98095132	98095193	98096928	98097059	23	2,1,0,3,0	4,1,1,3,3	1,7,3	4,9,5	-2	-1	0.0793360730609	0.65293163872	0.2,0.333,0.0,0.333,0.0	0.111,0.28,0.231	-0.034
27	"ENSMUSG00000020486"	"Sept4"	chr11	+	87589655	87590055	87589655	87589818	87590008	87590055	27	69,76,87,116,79	20,13,21,16,27	37,48,40	10,12,5	-2	-1	0.747025552769	1.0	0.633,0.745,0.674,0.784,0.594	0.649,0.667,0.8	-0.019
28	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89363604	89363834	89363604	89363689	89363765	89363834	28	0,5,4,2,0	23,41,30,33,33	0,2,1	55,62,38	-2	-1	0.188205773034	1.0	0.0,0.057,0.063,0.029,0.0	0.0,0.016,0.013	0.02
29	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370394	89370675	89370394	89370488	89370600	89370675	29	1,4,1,3,0	18,20,23,13,29	3,1,4	13,21,18	-2	-1	0.200154611486	1.0	0.027,0.091,0.021,0.103,0.0	0.103,0.023,0.1	-0.027
30	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370394	89370675	89370394	89370488	89370603	89370675	30	5,10,6,12,7	92,105,114,102,131	5,5,10	75,78,80	-2	-1	0.70192426308	1.0	0.026,0.045,0.026,0.056,0.026	0.032,0.031,0.059	-0.005
31	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370752	89370993	89370752	89370808	89370891	89370993	31	5,11,13,15,13	50,62,64,52,87	2,6,6	37,43,51	-2	-1	0.0470749419059	0.500846720849	0.048,0.081,0.092,0.126,0.07	0.026,0.065,0.056	0.034
33	"ENSMUSG00000062006"	"Rpl34"	chr3	-	130729050	130729302	130729050	130729150	130729228	130729302	33	0,1,0,0,0	218,148,318,247,237	0,0,0	217,89,352	-2	-1	1	1.0	0.0,0.003,0.0,0.0,0.0	0.0,0.0,0.0	0.001
34	"ENSMUSG00000027776"	"Il12a"	chr3	+	68695189	68695346	68695189	68695231	68695304	68695346	34	0,0,0,0,0	0,1,0,0,0	1,2,0	1,1,4	-2	-1	1	1.0	NA,0.0,NA,NA,NA	0.333,0.5,0.0	-0.278
35	"ENSMUSG00000027776"	"Il12a"	chr3	+	68695189	68695580	68695189	68695346	68695436	68695580	35	0,0,0,0,0	0,3,0,0,0	0,0,1	4,4,5	-2	-1	1	1.0	NA,0.0,NA,NA,NA	0.0,0.0,0.091	-0.03
36	"ENSMUSG00000034187"	"Nsf"	chr11	-	103913315	103913908	103913315	103913391	103913800	103913908	36	0,0,0,0,0	2,3,2,5,0	0,1,0	8,11,2	-2	-1	1	1.0	0.0,0.0,0.0,0.0,NA	0.0,0.043,0.0	-0.014
37	"ENSMUSG00000075232"	"Amd1"	chr10	-	40290117	40290615	40290117	40290273	40290377	40290615	37	0,0,0,0,0	44,31,37,47,66	0,2,0	184,777,222	-2	-1	1	1.0	0.0,0.0,0.0,0.0,0.0	0.0,0.001,0.0	-0.0
38	"ENSMUSG00000001524"	"Gtf2h4"	chr17	-	35670656	35670962	35670656	35670745	35670865	35670962	38	2,3,1,0,0	3,3,2,10,1	2,1,0	6,4,2	-2	-1	0.507703136563	1.0	0.25,0.333,0.2,0.0,0.0	0.143,0.111,0.0	0.072
40	"ENSMUSG00000027610"	"Gss"	chr2	-	155566802	155567887	155566802	155566884	155567692	155567887	40	9,6,7,11,8	10,9,10,13,16	3,1,2	6,2,10	-2	-1	0.0323230411272	0.392239314098	0.31,0.25,0.259,0.297,0.2	0.2,0.2,0.091	0.1
42	"ENSMUSG00000027610"	"Gss"	chr2	-	155578288	155578787	155578288	155578428	155578711	155578787	42	2,0,0,0,0	6,2,9,5,1	1,0,0	2,7,7	-2	-1	1	1.0	0.143,0.0,0.0,0.0,0.0	0.2,0.0,0.0	-0.038
43	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23108587	23108851	23108587	23108633	23108718	23108851	43	0,0,1,1,0	27,15,26,19,18	4,1,1	94,150,145	-2	-1	1	1.0	0.0,0.0,0.019,0.026,0.0	0.021,0.003,0.003	0.0
44	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23109984	23110343	23109984	23110153	23110233	23110343	44	0,0,0,0,0	139,132,114,140,83	0,0,1	383,486,354	-2	-1	1	1.0	0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.001	-0.0
45	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111125	23111263	45	0,0,0,0,0	199,181,193,239,131	0,0,1	381,387,359	-2	-1	1	1.0	0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.001	-0.0
46	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111125	23111592	23111125	23111263	23111502	23111592	46	22,23,27,29,19	336,378,342,401,323	33,36,39	658,590,667	-2	-1	0.309853368409	1.0	0.032,0.03,0.038,0.035,0.029	0.024,0.03,0.028	0.005
52	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107751718	107751953	107751718	107751791	107751875	107751953	52	3,5,1,3,0	42,17,18,27,10	3,0,0	23,37,28	-2	-1	0.037568581117	0.431690865088	0.034,0.128,0.027,0.053,0.0	0.061,0.0,0.0	0.028
53	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107756908	107760391	107756908	107756992	107760321	107760391	53	2,0,1,3,0	0,5,1,2,0	9,4,0	2,0,0	-2	-1	1	1.0	1.0,0.0,0.333,0.429,NA	0.692,1.0,NA	-0.405
54	"ENSMUSG00000011877"	"Git1"	chr11	+	77503355	77504018	77503355	77503428	77503920	77504018	54	0,0,2,0,0	23,26,29,19,17	0,4,0	39,37,27	-2	-1	0.848192686118	1.0	0.0,0.0,0.033,0.0,0.0	0.0,0.051,0.0	-0.01
55	"ENSMUSG00000011877"	"Git1"	chr11	+	77505503	77505753	77505503	77505590	77505679	77505753	55	1,7,8,3,6	44,55,50,50,40	3,6,4	52,52,54	-2	-1	0.53063693672	1.0	0.011,0.06,0.074,0.029,0.07	0.028,0.055,0.036	0.009
56	"ENSMUSG00000079197"	"Psme2"	chr14	-	55587653	55588094	55587653	55587740	55588039	55588094	56	2,2,5,6,1	152,203,171,228,223	2,3,1	76,47,84	-2	-1	0.97661841155	1.0	0.007,0.005,0.014,0.013,0.002	0.013,0.031,0.006	-0.008
57	"ENSMUSG00000079197"	"Psme2"	chr14	-	55589480	55589705	55589480	55589511	55589618	55589705	57	0,0,0,1,2	129,214,173,180,167	0,0,0	92,53,87	-2	-1	1	1.0	0.0,0.0,0.0,0.003,0.006	0.0,0.0,0.0	0.002
59	"ENSMUSG00000053907"	"Mat2a"	chr6	-	72436994	72437448	72436994	72437117	72437370	72437448	59	0,0,0,2,0	46,35,17,51,24	0,3,1	171,170,205	-2	-1	1	1.0	0.0,0.0,0.0,0.019,0.0	0.0,0.009,0.002	0.0
63	"ENSMUSG00000070034"	"Sp110"	chr1	-	85584902	85586295	85584902	85585052	85586214	85586295	63	0,2,0,0,2	0,1,6,2,5	0,0,0	2,3,0	-2	-1	1	1.0	NA,0.5,0.0,0.0,0.167	0.0,0.0,NA	0.167
66	"ENSMUSG00000078762"	"Haus5"	chr7	-	30659062	30659413	30659062	30659126	30659288	30659413	66	0,1,0,2,1	3,4,3,6,6	1,3,0	4,9,3	-2	-1	1	1.0	0.0,0.111,0.0,0.143,0.077	0.111,0.143,0.0	-0.018
