ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000066152"	"Slc31a2"	chr4	+	62295886	62296076	62292631	62292698	62296974	62297355	0	12,2,11,17,15	0,2,2,1,1	12,11,5	0,1,0	189	-1	nan	nan	1.0,-0.005,-0.03,-0.099,-0.086	1.0,-0.062,1.0	-0.49
1	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46588223	46588309	46587934	46588010	46590140	46590201	1	0,2,0,0,3	0,0,0,0,0	2,0,1	0,1,0	85	-1	1	nan	NA,1.0,NA,NA,1.0	1.0,-0.0,1.0	0.333
6	"ENSMUSG00000038708"	"Golga4"	chr9	+	118519085	118519184	118514179	118514269	118522517	118522583	6	19,20,22,24,29	2,0,0,0,2	39,134,47	0,8,5	98	-1	nan	nan	-0.107,1.0,1.0,1.0,-0.174	1.0,-0.206,-0.106	0.314
7	"ENSMUSG00000038708"	"Golga4"	chr9	+	118537241	118537325	118536758	118536943	118538876	118539024	7	39,53,48,54,35	10,19,11,11,6	63,105,65	11,26,9	83	-1	nan	nan	-0.049,-0.035,-0.055,-0.063,-0.076	-0.074,-0.051,-0.095	0.018
8	"ENSMUSG00000038708"	"Golga4"	chr9	+	118548034	118548169	118538876	118539024	118548622	118548801	8	1,1,3,0,2	73,75,81,69,73	0,0,0	33,114,58	134	-1	1	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
9	"ENSMUSG00000038708"	"Golga4"	chr9	+	118551831	118551963	118548407	118548801	118553434	118553490	9	140,183,164,164,125	0,0,0,0,0	92,207,98	0,1,1	131	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	1.0,2.724,-2.97	0.749
10	"ENSMUSG00000038708"	"Golga4"	chr9	+	118565556	118565667	118560741	118560872	118568963	118569039	10	287,240,251,223,184	2,1,0,0,0	243,235,210	0,0,0	110	-1	nan	nan	4.284,1.846,1.0,1.0,1.0	1.0,1.0,1.0	0.826
11	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566907	118566979	118565556	118565667	118568963	118569039	11	4,4,5,4,2	1,0,0,0,0	2,0,2	0,0,0	71	-1	1	nan	-0.06,1.0,1.0,1.0,1.0	1.0,NA,1.0	-0.212
12	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566958	118566979	118565275	118565667	118568963	118569039	12	47,57,59,45,37	1,0,0,0,0	39,25,45	0,0,0	20	-1	nan	nan	1.741,1.0,1.0,1.0,1.0	1.0,1.0,1.0	0.148
13	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567180	118567249	118566958	118566979	118568963	118569039	13	641,619,517,568,466	0,0,2,0,0	431,466,521	0,0,0	68	-1	nan	nan	1.0,1.0,1.357,1.0,1.0	1.0,1.0,1.0	0.071
