"","ID","GeneID","geneSymbol","chr","strand","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"32",61,"ENSMUSG00000028464","Tpm2","chr4","-",43519002,43519078,43518401,43518464,43519226,43519297,61,"200,291,465,239,269","7,4,2,2,0","122,93,143","9,6,7",-2,-1,1.67955027996e-07,1.35310678009e-05,"0.935,0.973,0.991,0.984,1.0","0.871,0.886,0.911",0.087,1464,15,358,22
"129",216,"ENSMUSG00000042079","Hnrnpf","chr6","+",117907148,117907208,117906789,117906839,117917469,117917598,216,"10,14,14,10,13","0,1,0,1,2","10,4,13","3,3,4",-2,-1,5.30022109235e-06,0.000296344222842,"1.0,0.875,1.0,0.833,0.765","0.625,0.4,0.619",0.347,61,4,27,10
"188",318,"ENSMUSG00000002885","Adgre5","chr8","-",83730110,83730257,83729381,83729525,83733413,83733566,318,"15,10,17,15,15","3,1,0,0,3","19,21,16","3,25,3",-2,-1,0.00199985601122,0.0446416220943,"0.714,0.833,1.0,1.0,0.714","0.76,0.296,0.727",0.258,72,7,56,31
"190",320,"ENSMUSG00000002885","Adgre5","chr8","-",83731902,83732037,83730110,83730257,83733413,83733566,320,"17,12,12,17,6","0,0,0,0,1","9,17,13","4,3,6",-2,-1,5.96806715158e-10,7.29503601342e-08,"1.0,1.0,1.0,1.0,0.75","0.529,0.739,0.52",0.354,64,1,39,13
"310",520,"ENSMUSG00000018412","Kansl1","chr11","-",104342858,104343047,104342362,104342511,104343490,104343673,520,"12,18,14,23,13","0,0,0,1,2","26,41,17","2,3,2",-2,-1,0.00215088533688,0.0473568841129,"1.0,1.0,1.0,0.92,0.765","0.867,0.872,0.81",0.087,80,3,84,7
"311",521,"ENSMUSG00000018412","Kansl1","chr11","-",104368679,104368778,104357480,104357596,104378684,104378826,521,"2,8,3,8,6","0,0,1,0,0","22,46,21","1,10,3",-2,-1,9.37044044691e-07,6.43727466981e-05,"1.0,1.0,0.6,1.0,1.0","0.917,0.697,0.778",0.123,27,1,89,14
"640",1128,"ENSMUSG00000021798","Ldb3","chr14","-",34555342,34555528,34552176,34552322,34566856,34566893,1128,"34,28,17,32,13","50,33,23,38,34","13,31,7","170,318,120",-2,-1,0,0,"0.254,0.298,0.27,0.296,0.16","0.037,0.046,0.028",0.219,124,178,51,608
"889",1596,"ENSMUSG00000027288","Zfp106","chr2","-",120539294,120539492,120531594,120532222,120545842,120545901,1596,"80,98,94,92,99","3,1,6,3,0","32,188,43","7,25,8",-2,-1,3.97836885657e-09,4.2995493667e-07,"0.93,0.98,0.887,0.939,1.0","0.696,0.79,0.729",0.209,463,13,263,40
"971",1714,"ENSMUSG00000030249","Abcc9","chr6","-",142658497,142658602,142656602,142656675,142664531,142664640,1714,"5,6,3,3,4","0,0,0,0,0","50,147,60","5,37,0",-2,-1,5.12090404525e-08,4.6217999808e-06,"1.0,1.0,1.0,1.0,1.0","0.833,0.665,1.0",0.167,21,0,257,42
"1002",1769,"ENSMUSG00000031422","Morf4l2","chrX","-",136735545,136735622,136732941,136734501,136739804,136739894,1769,"81,60,87,74,55","9,4,10,2,4","72,99,108","33,59,32",-2,-1,2.19990692329e-12,3.42027634284e-10,"0.818,0.882,0.813,0.949,0.873","0.522,0.456,0.628",0.332,357,29,279,124
