ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
46	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111125	23111263
48	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44173337	44174031	44173337	44173579	44173911	44174031
70	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25464848	25466437	25464848	25464880	25466316	25466437
73	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109519584	109519993	109519584	109519648	109519917	109519993
128	"ENSMUSG00000053877"	"Srcap"	chr7	+	127519580	127519832	127519580	127519602	127519659	127519832
143	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181354352	181355552	181354352	181354442	181355309	181355552
144	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181354352	181355552	181354352	181354442	181355327	181355552
154	"ENSMUSG00000027655"	"Dhx35"	chr2	+	158826304	158827999	158826304	158826417	158827902	158827999
167	"ENSMUSG00000038619"	"Ensa"	chr3	+	95628540	95632102	95628540	95628707	95631431	95632102
169	"ENSMUSG00000032816"	"Igdcc4"	chr9	+	65123775	65124189	65123775	65123913	65123915	65124189
195	"ENSMUSG00000040270"	"Bach2"	chr4	+	32561777	32563367	32561777	32562794	32563163	32563367
199	"ENSMUSG00000030894"	"Tpp1"	chr7	-	105750179	105751729	105750179	105750330	105751589	105751729
219	"ENSMUSG00000024560"	"Cxxc1"	chr18	+	74219130	74219567	74219130	74219238	74219382	74219567
252	"ENSMUSG00000036073"	"Galt"	chr4	+	41758083	41758695	41758083	41758238	41758502	41758695
260	"ENSMUSG00000030872"	"Gga2"	chr7	-	121986721	121989801	121986721	121987664	121988273	121989801
278	"ENSMUSG00000024287"	"Thoc1"	chr18	+	9959097	9959315	9959097	9959171	9959254	9959315
290	"ENSMUSG00000028057"	"Rit1"	chr3	+	88725994	88726471	88725994	88726068	88726279	88726471
291	"ENSMUSG00000028057"	"Rit1"	chr3	+	88725994	88726471	88725994	88726179	88726279	88726471
293	"ENSMUSG00000031537"	"Ikbkb"	chr8	-	22665488	22665911	22665488	22665636	22665811	22665911
309	"ENSMUSG00000033257"	"Ttll4"	chr1	+	74678897	74680463	74678897	74678931	74680353	74680463
316	"ENSMUSG00000029472"	"Anapc5"	chr5	-	122799338	122800593	122799338	122799474	122800450	122800593
326	"ENSMUSG00000045128"	"Rpl18a"	chr8	-	70895378	70895709	70895378	70895507	70895599	70895709
327	"ENSMUSG00000045128"	"Rpl18a"	chr8	-	70895599	70896045	70895599	70895709	70895915	70896045
344	"ENSMUSG00000026107"	"Nabp1"	chr1	-	51477477	51478399	51477477	51477616	51477721	51478399
345	"ENSMUSG00000026107"	"Nabp1"	chr1	-	51477477	51478399	51477477	51477616	51477824	51478399
346	"ENSMUSG00000026107"	"Nabp1"	chr1	-	51477477	51478399	51477477	51477616	51478300	51478399
347	"ENSMUSG00000026107"	"Nabp1"	chr1	-	51477477	51478399	51477477	51477616	51478371	51478399
365	"ENSMUSG00000036672"	"Cenpt"	chr8	-	105845259	105846391	105845259	105845436	105846164	105846391
366	"ENSMUSG00000036672"	"Cenpt"	chr8	-	105845259	105846391	105845259	105845436	105846315	105846391
438	"ENSMUSG00000003421"	"Nosip"	chr7	+	45076068	45076428	45076068	45076228	45076309	45076428
445	"ENSMUSG00000025332"	"Kdm5c"	chrX	+	152244872	152245283	152244872	152244996	152245101	152245283
472	"ENSMUSG00000004567"	"Mcoln1"	chr8	+	3508683	3509235	3508683	3508780	3509135	3509235
476	"ENSMUSG00000029298"	"Gbp9"	chr5	-	105082703	105083853	105082703	105082910	105083572	105083853
478	"ENSMUSG00000022253"	"Nadk2"	chr15	+	9100105	9100202	9100105	9100145	9100146	9100202
479	"ENSMUSG00000022253"	"Nadk2"	chr15	+	9100105	9100202	9100105	9100145	9100149	9100202
508	"ENSMUSG00000026942"	"Traf2"	chr2	-	25528231	25530448	25528231	25528306	25530286	25530448
512	"ENSMUSG00000060216"	"Arrb2"	chr11	+	70437943	70438391	70437943	70438028	70438318	70438391
514	"ENSMUSG00000031939"	"Taf1d"	chr9	+	15306872	15307821	15306872	15306990	15307727	15307821
515	"ENSMUSG00000031939"	"Taf1d"	chr9	+	15310357	15311695	15310357	15310409	15311526	15311695
518	"ENSMUSG00000031939"	"Taf1d"	chr9	+	15313989	15315131	15313989	15314264	15315101	15315131
523	"ENSMUSG00000028245"	"Nsmaf"	chr4	-	6420049	6421136	6420049	6420140	6421056	6421136
543	"ENSMUSG00000091896"	"Ube2d2a"	chr18	+	35799951	35800215	35799951	35800029	35800109	35800215
547	"ENSMUSG00000062908"	"Acadm"	chr3	-	153938896	153939167	153938896	153938966	153939069	153939167
548	"ENSMUSG00000029068"	"Ccnl2"	chr4	+	155817922	155820428	155817922	155817987	155818538	155820428
549	"ENSMUSG00000029068"	"Ccnl2"	chr4	+	155817922	155820428	155817922	155817987	155820328	155820428
550	"ENSMUSG00000029068"	"Ccnl2"	chr4	+	155818538	155820428	155818538	155818664	155820328	155820428
566	"ENSMUSG00000053291"	"Rab4b"	chr7	-	27175778	27176238	27175778	27175893	27176157	27176238
590	"ENSMUSG00000018566"	"Slc2a4"	chr11	-	69944058	69944888	69944058	69944262	69944786	69944888
602	"ENSMUSG00000038671"	"Arfrp1"	chr2	-	181364013	181364398	181364013	181364096	181364310	181364398
603	"ENSMUSG00000038671"	"Arfrp1"	chr2	-	181364013	181364398	181364013	181364195	181364310	181364398
608	"ENSMUSG00000028700"	"Pomgnt1"	chr4	+	116155728	116156014	116155728	116155801	116155885	116156014
613	"ENSMUSG00000064127"	"Med14"	chrX	-	12706298	12706692	12706298	12706445	12706531	12706692
636	"ENSMUSG00000004270"	"Lpcat3"	chr6	+	124700006	124700278	124700006	124700100	124700240	124700278
639	"ENSMUSG00000039701"	"Usp53"	chr3	-	122961154	122961432	122961154	122961237	122961318	122961432
642	"ENSMUSG00000049606"	"Zfp644"	chr5	-	106635609	106638635	106635609	106636323	106636416	106638635
648	"ENSMUSG00000026754"	"Golga1"	chr2	-	39047022	39047766	39047022	39047134	39047585	39047766
649	"ENSMUSG00000026754"	"Golga1"	chr2	-	39047022	39047766	39047022	39047134	39047596	39047766
652	"ENSMUSG00000026201"	"Stk16"	chr1	+	75212599	75213006	75212599	75212733	75212885	75213006
653	"ENSMUSG00000026082"	"Rev1"	chr1	-	38074314	38075023	38074314	38074443	38074898	38075023
656	"ENSMUSG00000061410"	"Zcchc14"	chr8	-	121609079	121609315	121609079	121609134	121609220	121609315
662	"ENSMUSG00000038766"	"Gabpb2"	chr3	-	95203730	95204808	95203730	95203925	95204640	95204808
673	"ENSMUSG00000015697"	"Setdb1"	chr3	-	95337148	95339032	95337148	95337265	95338345	95339032
691	"ENSMUSG00000023191"	"P3h3"	chr6	-	124845201	124845658	124845201	124845319	124845507	124845658
725	"ENSMUSG00000073434"	"Wdr90"	chr17	-	25854529	25855234	25854529	25854765	25855117	25855234
761	"ENSMUSG00000024661"	"Fth1"	chr19	+	9982703	9984327	9982703	9982983	9984252	9984327
768	"ENSMUSG00000015750"	"Aph1a"	chr3	+	95895142	95895570	95895142	95895216	95895447	95895570
771	"ENSMUSG00000010608"	"Rbm25"	chr12	+	83660594	83664259	83660594	83660678	83663978	83664259
799	"ENSMUSG00000001062"	"Vps9d1"	chr8	-	123248153	123248676	123248153	123248206	123248613	123248676
808	"ENSMUSG00000037720"	"Tmem33"	chr5	+	67260695	67261033	67260695	67260806	67260963	67261033
809	"ENSMUSG00000037720"	"Tmem33"	chr5	+	67286095	67291461	67286095	67286216	67287009	67291461
822	"ENSMUSG00000063870"	"Chd4"	chr6	+	125120204	125120556	125120204	125120385	125120469	125120556
825	"ENSMUSG00000039515"	"Ptpa"	chr2	+	30438228	30439764	30438228	30438353	30439663	30439764
832	"ENSMUSG00000027371"	"Fahd2a"	chr2	-	127438112	127438569	127438112	127438272	127438509	127438569
840	"ENSMUSG00000034255"	"Arhgap27"	chr11	-	103338306	103338755	103338306	103338397	103338687	103338755
845	"ENSMUSG00000005625"	"Psmd4"	chr3	-	95033632	95034026	95033632	95033764	95033908	95034026
846	"ENSMUSG00000005625"	"Psmd4"	chr3	-	95033632	95034026	95033632	95033764	95033917	95034026
851	"ENSMUSG00000026927"	"Entr1"	chr2	-	26385497	26386063	26385497	26385609	26385989	26386063
856	"ENSMUSG00000025410"	"Dctn2"	chr10	+	127277694	127278222	127277694	127277772	127277866	127278222
868	"ENSMUSG00000058254"	"Tspan7"	chrX	+	10590135	10595354	10590135	10590219	10595278	10595354
869	"ENSMUSG00000058254"	"Tspan7"	chrX	+	10590135	10596605	10590135	10595354	10595629	10596605
892	"ENSMUSG00000025512"	"Chid1"	chr7	-	141522608	141527705	141522608	141522701	141527598	141527705
900	"ENSMUSG00000022552"	"Sharpin"	chr15	-	76347039	76347387	76347039	76347185	76347258	76347387
929	"ENSMUSG00000026309"	"Ilkap"	chr1	-	91387214	91388464	91387214	91387341	91388344	91388464
930	"ENSMUSG00000026309"	"Ilkap"	chr1	-	91387214	91388464	91387214	91387341	91388354	91388464
948	"ENSMUSG00000004031"	"Brinp2"	chr1	-	158266461	158268020	158266461	158266670	158267829	158268020
949	"ENSMUSG00000029267"	"Mtf2"	chr5	+	108080824	108081023	108080824	108080841	108080921	108081023
950	"ENSMUSG00000032942"	"Ucp3"	chr7	+	100479373	100480681	100479373	100479592	100480085	100480681
951	"ENSMUSG00000032942"	"Ucp3"	chr7	+	100480085	100480681	100480085	100480287	100480480	100480681
964	"ENSMUSG00000002395"	"Use1"	chr8	+	71367643	71367848	71367643	71367693	71367769	71367848
