ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
4	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711702	120711895	120711702	120711756	120711843	120711895
46	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111125	23111263
48	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44173337	44174031	44173337	44173579	44173911	44174031
70	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25464848	25466437	25464848	25464880	25466316	25466437
73	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109519584	109519993	109519584	109519648	109519917	109519993
112	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186955	89187243	89186955	89186998	89187147	89187243
113	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186955	89187243	89186955	89187050	89187147	89187243
129	"ENSMUSG00000053877"	"Srcap"	chr7	+	127519580	127519832	127519580	127519602	127519659	127519832
144	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181354352	181355552	181354352	181354442	181355309	181355552
145	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181354352	181355552	181354352	181354442	181355327	181355552
154	"ENSMUSG00000034664"	"Itga2b"	chr11	-	102464939	102465357	102464939	102465151	102465304	102465357
155	"ENSMUSG00000027655"	"Dhx35"	chr2	+	158826304	158827999	158826304	158826417	158827902	158827999
168	"ENSMUSG00000038619"	"Ensa"	chr3	+	95628540	95632102	95628540	95628707	95631431	95632102
170	"ENSMUSG00000032816"	"Igdcc4"	chr9	+	65123775	65124189	65123775	65123913	65123915	65124189
196	"ENSMUSG00000040270"	"Bach2"	chr4	+	32561777	32563367	32561777	32562794	32563163	32563367
200	"ENSMUSG00000030894"	"Tpp1"	chr7	-	105750179	105751729	105750179	105750330	105751589	105751729
220	"ENSMUSG00000024560"	"Cxxc1"	chr18	+	74219130	74219567	74219130	74219238	74219382	74219567
246	"ENSMUSG00000037446"	"Tulp1"	chr17	-	28359061	28359324	28359061	28359232	28359318	28359324
253	"ENSMUSG00000036073"	"Galt"	chr4	+	41758083	41758695	41758083	41758238	41758502	41758695
261	"ENSMUSG00000030872"	"Gga2"	chr7	-	121986721	121989801	121986721	121987664	121988273	121989801
279	"ENSMUSG00000024287"	"Thoc1"	chr18	+	9959097	9959315	9959097	9959171	9959254	9959315
289	"ENSMUSG00000028057"	"Rit1"	chr3	+	88717325	88717658	88717325	88717470	88717572	88717658
290	"ENSMUSG00000028057"	"Rit1"	chr3	+	88717325	88717658	88717325	88717470	88717601	88717658
291	"ENSMUSG00000028057"	"Rit1"	chr3	+	88725994	88726471	88725994	88726068	88726279	88726471
292	"ENSMUSG00000028057"	"Rit1"	chr3	+	88725994	88726471	88725994	88726179	88726279	88726471
294	"ENSMUSG00000031537"	"Ikbkb"	chr8	-	22665488	22665911	22665488	22665636	22665811	22665911
307	"ENSMUSG00000024845"	"Tmem134"	chr19	+	4125959	4126200	4125959	4126040	4126041	4126200
310	"ENSMUSG00000033257"	"Ttll4"	chr1	+	74678897	74680463	74678897	74678931	74680353	74680463
317	"ENSMUSG00000029472"	"Anapc5"	chr5	-	122799338	122800593	122799338	122799474	122800450	122800593
327	"ENSMUSG00000045128"	"Rpl18a"	chr8	-	70895378	70895709	70895378	70895507	70895599	70895709
328	"ENSMUSG00000045128"	"Rpl18a"	chr8	-	70895599	70896045	70895599	70895709	70895915	70896045
366	"ENSMUSG00000036672"	"Cenpt"	chr8	-	105845259	105846391	105845259	105845436	105846164	105846391
367	"ENSMUSG00000036672"	"Cenpt"	chr8	-	105845259	105846391	105845259	105845436	105846315	105846391
379	"ENSMUSG00000001065"	"Zfp276"	chr8	+	123264815	123265070	123264815	123264926	123264994	123265070
386	"ENSMUSG00000028826"	"Maco1"	chr4	-	134802758	134806691	134802758	134804564	134806516	134806691
390	"ENSMUSG00000025499"	"Hras"	chr7	-	141190929	141191467	141190929	141191227	141191341	141191467
430	"ENSMUSG00000002799"	"Jag2"	chr12	-	112916603	112916939	112916603	112916723	112916808	112916939
439	"ENSMUSG00000003421"	"Nosip"	chr7	+	45076068	45076428	45076068	45076228	45076309	45076428
446	"ENSMUSG00000025332"	"Kdm5c"	chrX	+	152244872	152245283	152244872	152244996	152245101	152245283
447	"ENSMUSG00000032383"	"Ppib"	chr9	+	66062988	66065671	66062988	66063082	66065486	66065671
462	"ENSMUSG00000025470"	"Zfp511"	chr7	+	140039325	140040602	140039325	140039445	140040242	140040602
473	"ENSMUSG00000004567"	"Mcoln1"	chr8	+	3508683	3509235	3508683	3508780	3509135	3509235
477	"ENSMUSG00000029298"	"Gbp9"	chr5	-	105082703	105083853	105082703	105082910	105083572	105083853
509	"ENSMUSG00000026942"	"Traf2"	chr2	-	25528231	25530448	25528231	25528306	25530286	25530448
515	"ENSMUSG00000031939"	"Taf1d"	chr9	+	15306872	15307821	15306872	15306990	15307727	15307821
516	"ENSMUSG00000031939"	"Taf1d"	chr9	+	15310357	15311695	15310357	15310409	15311526	15311695
519	"ENSMUSG00000031939"	"Taf1d"	chr9	+	15313989	15315131	15313989	15314264	15315101	15315131
524	"ENSMUSG00000028245"	"Nsmaf"	chr4	-	6420049	6421136	6420049	6420140	6421056	6421136
544	"ENSMUSG00000091896"	"Ube2d2a"	chr18	+	35799951	35800215	35799951	35800029	35800109	35800215
548	"ENSMUSG00000062908"	"Acadm"	chr3	-	153938896	153939167	153938896	153938966	153939069	153939167
549	"ENSMUSG00000029068"	"Ccnl2"	chr4	+	155817922	155820428	155817922	155817987	155818538	155820428
