ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
45	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111125	23111263
47	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44173337	44174031	44173337	44173579	44173911	44174031
64	"ENSMUSG00000042487"	"Leo1"	chr9	+	75447101	75448396	75447101	75447206	75448301	75448396
72	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109519584	109519993	109519584	109519648	109519917	109519993
86	"ENSMUSG00000027667"	"Zfp639"	chr3	+	32515283	32517139	32515283	32515352	32517028	32517139
110	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186955	89187243	89186955	89186998	89187147	89187243
111	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186955	89187243	89186955	89187050	89187147	89187243
127	"ENSMUSG00000053877"	"Srcap"	chr7	+	127519580	127519832	127519580	127519602	127519659	127519832
166	"ENSMUSG00000038619"	"Ensa"	chr3	+	95628540	95632102	95628540	95628707	95631431	95632102
168	"ENSMUSG00000032816"	"Igdcc4"	chr9	+	65123775	65124189	65123775	65123913	65123915	65124189
194	"ENSMUSG00000040270"	"Bach2"	chr4	+	32561777	32563367	32561777	32562794	32563163	32563367
198	"ENSMUSG00000030894"	"Tpp1"	chr7	-	105750179	105751729	105750179	105750330	105751589	105751729
304	"ENSMUSG00000024845"	"Tmem134"	chr19	+	4125959	4126200	4125959	4126040	4126041	4126200
314	"ENSMUSG00000029472"	"Anapc5"	chr5	-	122799338	122800593	122799338	122799474	122800450	122800593
324	"ENSMUSG00000045128"	"Rpl18a"	chr8	-	70895378	70895709	70895378	70895507	70895599	70895709
342	"ENSMUSG00000026107"	"Nabp1"	chr1	-	51477477	51478399	51477477	51477616	51477721	51478399
343	"ENSMUSG00000026107"	"Nabp1"	chr1	-	51477477	51478399	51477477	51477616	51477824	51478399
344	"ENSMUSG00000026107"	"Nabp1"	chr1	-	51477477	51478399	51477477	51477616	51478300	51478399
345	"ENSMUSG00000026107"	"Nabp1"	chr1	-	51477477	51478399	51477477	51477616	51478371	51478399
474	"ENSMUSG00000029298"	"Gbp9"	chr5	-	105082703	105083853	105082703	105082910	105083572	105083853
476	"ENSMUSG00000022253"	"Nadk2"	chr15	+	9100105	9100202	9100105	9100145	9100146	9100202
477	"ENSMUSG00000022253"	"Nadk2"	chr15	+	9100105	9100202	9100105	9100145	9100149	9100202
510	"ENSMUSG00000060216"	"Arrb2"	chr11	+	70437943	70438391	70437943	70438028	70438318	70438391
597	"ENSMUSG00000038671"	"Arfrp1"	chr2	-	181364013	181364398	181364013	181364096	181364310	181364398
598	"ENSMUSG00000038671"	"Arfrp1"	chr2	-	181364013	181364398	181364013	181364195	181364310	181364398
603	"ENSMUSG00000028700"	"Pomgnt1"	chr4	+	116155728	116156014	116155728	116155801	116155885	116156014
621	"ENSMUSG00000037032"	"Apbb1"	chr7	-	105567253	105567484	105567253	105567339	105567427	105567484
630	"ENSMUSG00000002981"	"Clptm1"	chr7	-	19638116	19639017	19638116	19638237	19638931	19639017
631	"ENSMUSG00000004270"	"Lpcat3"	chr6	+	124700006	124700278	124700006	124700100	124700240	124700278
634	"ENSMUSG00000039701"	"Usp53"	chr3	-	122961154	122961432	122961154	122961237	122961318	122961432
637	"ENSMUSG00000049606"	"Zfp644"	chr5	-	106635609	106638635	106635609	106636323	106636416	106638635
643	"ENSMUSG00000026754"	"Golga1"	chr2	-	39047022	39047766	39047022	39047134	39047596	39047766
646	"ENSMUSG00000026201"	"Stk16"	chr1	+	75212599	75213006	75212599	75212733	75212885	75213006
647	"ENSMUSG00000026082"	"Rev1"	chr1	-	38074314	38075023	38074314	38074443	38074898	38075023
650	"ENSMUSG00000061410"	"Zcchc14"	chr8	-	121609079	121609315	121609079	121609134	121609220	121609315
657	"ENSMUSG00000038766"	"Gabpb2"	chr3	-	95203730	95204808	95203730	95203925	95204640	95204808
697	"ENSMUSG00000024866"	"Acy3"	chr19	+	3988137	3988505	3988137	3988231	3988397	3988505
755	"ENSMUSG00000024661"	"Fth1"	chr19	+	9982703	9984327	9982703	9982983	9984252	9984327
803	"ENSMUSG00000037720"	"Tmem33"	chr5	+	67260695	67261033	67260695	67260806	67260963	67261033
804	"ENSMUSG00000037720"	"Tmem33"	chr5	+	67286095	67291461	67286095	67286216	67287009	67291461
827	"ENSMUSG00000027371"	"Fahd2a"	chr2	-	127438112	127438569	127438112	127438272	127438509	127438569
840	"ENSMUSG00000005625"	"Psmd4"	chr3	-	95033632	95034026	95033632	95033764	95033908	95034026
841	"ENSMUSG00000005625"	"Psmd4"	chr3	-	95033632	95034026	95033632	95033764	95033917	95034026
845	"ENSMUSG00000026927"	"Entr1"	chr2	-	26385497	26386063	26385497	26385609	26385989	26386063
850	"ENSMUSG00000025410"	"Dctn2"	chr10	+	127277694	127278222	127277694	127277772	127277866	127278222
886	"ENSMUSG00000025512"	"Chid1"	chr7	-	141522608	141527705	141522608	141522701	141527598	141527705
894	"ENSMUSG00000022552"	"Sharpin"	chr15	-	76347039	76347387	76347039	76347185	76347258	76347387
