ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000066152"	"Slc31a2"	chr4	+	62295886	62296076	62292631	62292698	62296974	62297355	0	12,2,11,17,15	0,2,2,1,1	7,13,11,9,14	2,0,1,1,0	189	-1	nan	nan	1.0,-0.005,-0.03,-0.099,-0.086	-0.019,1.0,-0.062,-0.05,1.0	-0.218
1	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46588223	46588309	46587934	46588010	46590140	46590201	1	0,2,0,0,3	0,0,0,0,0	9,1,3,2,0	0,0,1,0,1	85	-1	1	nan	NA,1.0,NA,NA,1.0	1.0,1.0,-0.037,1.0,-0.0	0.407
7	"ENSMUSG00000038708"	"Golga4"	chr9	+	118519085	118519184	118514179	118514269	118522517	118522583	7	19,20,22,24,29	2,0,0,0,2	171,118,223,136,106	2,8,5,8,3	98	-1	nan	nan	-0.107,1.0,1.0,1.0,-0.174	-6.84,-0.177,-0.835,-0.21,-0.564	2.269
8	"ENSMUSG00000038708"	"Golga4"	chr9	+	118522517	118522583	118514179	118514269	118527009	118527321	8	11,7,9,13,11	0,0,0,0,0	78,58,90,57,60	0,0,0,1,0	65	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,-7.125,1.0	1.625
9	"ENSMUSG00000038708"	"Golga4"	chr9	+	118537241	118537325	118536758	118536943	118538876	118539024	9	39,53,48,54,35	10,19,11,11,6	116,104,148,114,87	23,12,33,22,22	83	-1	nan	nan	-0.049,-0.035,-0.055,-0.063,-0.076	-0.065,-0.117,-0.057,-0.067,-0.05	0.016
10	"ENSMUSG00000038708"	"Golga4"	chr9	+	118548034	118548169	118538876	118539024	118548622	118548801	10	1,1,3,0,2	73,75,81,69,73	1,0,0,0,0	94,65,126,91,71	134	-1	1	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.0,-0.0,-0.0	0.0
11	"ENSMUSG00000038708"	"Golga4"	chr9	+	118551831	118551963	118548407	118548801	118553434	118553490	11	140,183,164,164,125	0,0,0,0,0	203,150,230,139,145	0,0,0,0,1	131	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,10.357	-1.871
12	"ENSMUSG00000038708"	"Golga4"	chr9	+	118565556	118565667	118560741	118560872	118568963	118569039	12	287,240,251,223,184	2,1,0,0,0	204,172,165,117,140	0,0,0,0,0	110	-1	nan	nan	4.284,1.846,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0	0.826
13	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566907	118566979	118565556	118565667	118568963	118569039	13	4,4,5,4,2	1,0,0,0,0	4,1,0,0,1	0,0,0,0,0	71	-1	1	nan	-0.06,1.0,1.0,1.0,1.0	1.0,1.0,NA,NA,1.0	-0.212
14	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566958	118566979	118565275	118565667	118568963	118569039	14	47,57,59,45,37	1,0,0,0,0	40,36,28,22,23	0,0,0,0,0	20	-1	nan	nan	1.741,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0	0.148
15	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567180	118567249	118566958	118566979	118568963	118569039	15	641,619,517,568,466	0,0,2,0,0	408,278,352,266,337	0,0,0,0,0	68	-1	nan	nan	1.0,1.0,1.357,1.0,1.0	1.0,1.0,1.0,1.0,1.0	0.071
16	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567190	118567249	118566907	118566979	118568963	118569039	16	275,273,225,248,213	0,0,2,0,0	176,121,162,111,147	0,0,0,0,0	58	-1	nan	nan	1.0,1.0,2.064,1.0,1.0	1.0,1.0,1.0,1.0,1.0	0.213
17	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118568963	118569039	118577141	118577228	17	644,584,560,631,475	1,0,2,1,0	368,243,316,181,286	0,0,0,0,1	103	-1	1	nan	1.19,1.0,1.582,1.195,1.0	1.0,1.0,1.0,1.0,1.563	0.081
18	"ENSMUSG00000038708"	"Golga4"	chr9	+	118576222	118576356	118572917	118573021	118577141	118577228	18	5,7,4,5,6	366,350,344,376,268	2,1,2,6,1	217,151,172,108,164	133	-1	1	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.0,-0.0,-0.0	0.0
19	"ENSMUSG00000038708"	"Golga4"	chr9	+	118577141	118577228	118572771	118573021	118581848	118581873	19	834,847,734,807,660	0,3,2,3,4	452,307,363,242,328	2,5,0,2,0	86	-1	nan	nan	1.0,1.438,1.306,1.47,2.089	1.614,-2.496,1.0,3.457,1.0	0.546
20	"ENSMUSG00000038708"	"Golga4"	chr9	+	118579541	118579606	118577141	118577228	118581848	118582519	20	1,0,0,0,1	505,538,434,473,422	0,0,0,2,1	251,162,211,154,178	64	-1	nan	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.0,-0.0,-0.0	0.0
22	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58534484	58534652	58527020	58530259	58535389	58535549	22	0,1,0,2,1	0,0,0,0,0	6,7,9,14,2	6,0,8,3,1	167	-1	1	nan	NA,1.0,NA,1.0,1.0	-0.006,1.0,-0.007,-0.029,-0.012	0.811
23	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58556508	58556564	58552149	58552329	58557271	58557373	23	0,2,0,0,0	0,1,0,0,0	0,0,1,2,0	5,6,4,4,1	55	-1	1	nan	NA,-0.038,NA,NA,NA	-0.0,-0.0,-0.005,-0.009,-0.0	-0.035
24	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58562639	58562787	58557976	58558057	58565856	58565954	24	0,0,0,0,0	0,2,4,2,1	0,0,1,0,0	2,3,6,2,0	147	-1	1	nan	NA,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.001,-0.0,NA	0.0
27	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	75048441	75048524	75047352	75047469	75048784	75048803	27	218,237,264,193,200	1,0,0,0,0	198,275,180,240,266	0,3,0,1,0	82	-1	nan	nan	1.603,1.0,1.0,1.0,1.0	1.0,9.483,1.0,1.519,1.0	-1.68
28	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	75048441	75048539	75047352	75047469	75048784	75048813	28	219,231,258,198,196	1,0,0,0,0	196,280,179,239,263	0,3,0,1,0	97	-1	nan	nan	1.795,1.0,1.0,1.0,1.0	1.0,-25.455,1.0,1.683,1.0	5.313
30	"ENSMUSG00000037348"	"Paqr7"	chr4	+	134506522	134506717	134496974	134497036	134506802	134507215	30	0,0,0,0,1	0,0,0,0,0	0,0,0,0,0	2,0,1,0,0	194	-1	1	nan	NA,NA,NA,NA,1.0	-0.0,NA,-0.0,NA,NA	1.0
31	"ENSMUSG00000037348"	"Paqr7"	chr4	+	134506680	134506717	134500599	134500683	134506802	134506995	31	0,0,0,0,1	0,0,0,0,0	0,0,0,0,0	0,0,0,1,0	36	-1	1	nan	NA,NA,NA,NA,1.0	NA,NA,NA,-0.0,NA	1.0
32	"ENSMUSG00000022940"	"Pigp"	chr16	-	94365354	94365473	94358762	94359174	94370088	94370192	32	1,1,1,1,33	0,0,0,3,0	10,2,1,2,1	0,0,0,1,0	118	-1	nan	nan	1.0,1.0,1.0,-0.003,1.0	1.0,1.0,1.0,-0.017,1.0	0.003
33	"ENSMUSG00000022940"	"Pigp"	chr16	-	94365354	94365473	94364446	94364787	94370088	94370192	33	265,282,243,317,358	0,0,0,0,0	287,151,263,215,180	1,2,0,0,0	118	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	1.698,-1.776,1.0,1.0,1.0	0.416
34	"ENSMUSG00000022940"	"Pigp"	chr16	-	94367560	94367633	94365354	94365473	94370088	94370192	34	277,269,228,264,291	0,1,1,1,33	202,197,275,162,193	7,2,1,2,1	72	-1	nan	nan	1.0,1.365,1.462,1.375,-0.14	-0.669,3.717,1.355,9.0,1.595	-1.987
35	"ENSMUSG00000020627"	"Klhl29"	chr12	-	5090918	5091101	5090535	5090716	5091241	5091440	35	0,0,0,2,0	0,0,0,0,0	4,0,6,2,0	0,1,0,0,0	182	-1	1	nan	NA,NA,NA,1.0,NA	1.0,-0.0,1.0,1.0,NA	0.25
37	"ENSMUSG00000051705"	"Senp8"	chr9	-	59739939	59740032	59734452	59737868	59750261	59750371	37	1,1,1,0,1	0,0,0,0,0	3,5,2,8,6	0,0,0,1,0	92	-1	1	nan	1.0,1.0,1.0,NA,1.0	1.0,1.0,1.0,-0.095,1.0	0.219
