ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
4	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711702	120711895	120711702	120711756	120711843	120711895
45	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111125	23111263
64	"ENSMUSG00000042487"	"Leo1"	chr9	+	75447101	75448396	75447101	75447206	75448301	75448396
72	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109519584	109519993	109519584	109519648	109519917	109519993
86	"ENSMUSG00000027667"	"Zfp639"	chr3	+	32515283	32517139	32515283	32515352	32517028	32517139
111	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186955	89187243	89186955	89186998	89187147	89187243
112	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186955	89187243	89186955	89187050	89187147	89187243
128	"ENSMUSG00000053877"	"Srcap"	chr7	+	127519580	127519832	127519580	127519602	127519659	127519832
153	"ENSMUSG00000034664"	"Itga2b"	chr11	-	102464939	102465357	102464939	102465151	102465304	102465357
167	"ENSMUSG00000038619"	"Ensa"	chr3	+	95628540	95632102	95628540	95628707	95631431	95632102
169	"ENSMUSG00000032816"	"Igdcc4"	chr9	+	65123775	65124189	65123775	65123913	65123915	65124189
199	"ENSMUSG00000030894"	"Tpp1"	chr7	-	105750179	105751729	105750179	105750330	105751589	105751729
245	"ENSMUSG00000037446"	"Tulp1"	chr17	-	28359061	28359324	28359061	28359232	28359318	28359324
260	"ENSMUSG00000030872"	"Gga2"	chr7	-	121986721	121989801	121986721	121987664	121988273	121989801
277	"ENSMUSG00000024287"	"Thoc1"	chr18	+	9959097	9959315	9959097	9959171	9959254	9959315
287	"ENSMUSG00000028057"	"Rit1"	chr3	+	88717325	88717658	88717325	88717470	88717572	88717658
288	"ENSMUSG00000028057"	"Rit1"	chr3	+	88717325	88717658	88717325	88717470	88717601	88717658
292	"ENSMUSG00000031537"	"Ikbkb"	chr8	-	22665488	22665911	22665488	22665636	22665811	22665911
305	"ENSMUSG00000024845"	"Tmem134"	chr19	+	4125959	4126200	4125959	4126040	4126041	4126200
315	"ENSMUSG00000029472"	"Anapc5"	chr5	-	122799338	122800593	122799338	122799474	122800450	122800593
325	"ENSMUSG00000045128"	"Rpl18a"	chr8	-	70895378	70895709	70895378	70895507	70895599	70895709
377	"ENSMUSG00000001065"	"Zfp276"	chr8	+	123264815	123265070	123264815	123264926	123264994	123265070
384	"ENSMUSG00000028826"	"Maco1"	chr4	-	134802758	134806691	134802758	134804564	134806516	134806691
388	"ENSMUSG00000025499"	"Hras"	chr7	-	141190929	141191467	141190929	141191227	141191341	141191467
428	"ENSMUSG00000002799"	"Jag2"	chr12	-	112916603	112916939	112916603	112916723	112916808	112916939
445	"ENSMUSG00000032383"	"Ppib"	chr9	+	66062988	66065671	66062988	66063082	66065486	66065671
460	"ENSMUSG00000025470"	"Zfp511"	chr7	+	140039325	140040602	140039325	140039445	140040242	140040602
475	"ENSMUSG00000029298"	"Gbp9"	chr5	-	105082703	105083853	105082703	105082910	105083572	105083853
507	"ENSMUSG00000026942"	"Traf2"	chr2	-	25528231	25530448	25528231	25528306	25530286	25530448
514	"ENSMUSG00000031939"	"Taf1d"	chr9	+	15310357	15311695	15310357	15310409	15311526	15311695
517	"ENSMUSG00000031939"	"Taf1d"	chr9	+	15313989	15315131	15313989	15314264	15315101	15315131
521	"ENSMUSG00000028245"	"Nsmaf"	chr4	-	6420049	6421136	6420049	6420140	6421056	6421136
541	"ENSMUSG00000091896"	"Ube2d2a"	chr18	+	35799951	35800215	35799951	35800029	35800109	35800215
564	"ENSMUSG00000053291"	"Rab4b"	chr7	-	27175778	27176238	27175778	27175893	27176157	27176238
590	"ENSMUSG00000053137"	"Mapk11"	chr15	-	89145095	89145446	89145095	89145175	89145374	89145446
591	"ENSMUSG00000053137"	"Mapk11"	chr15	-	89145095	89145446	89145095	89145232	89145374	89145446
592	"ENSMUSG00000053137"	"Mapk11"	chr15	-	89146002	89146168	89146002	89146050	89146138	89146168
598	"ENSMUSG00000038671"	"Arfrp1"	chr2	-	181364013	181364398	181364013	181364096	181364310	181364398
599	"ENSMUSG00000038671"	"Arfrp1"	chr2	-	181364013	181364398	181364013	181364195	181364310	181364398
604	"ENSMUSG00000028700"	"Pomgnt1"	chr4	+	116155728	116156014	116155728	116155801	116155885	116156014
622	"ENSMUSG00000037032"	"Apbb1"	chr7	-	105567253	105567484	105567253	105567339	105567427	105567484
631	"ENSMUSG00000002981"	"Clptm1"	chr7	-	19638116	19639017	19638116	19638237	19638931	19639017
632	"ENSMUSG00000004270"	"Lpcat3"	chr6	+	124700006	124700278	124700006	124700100	124700240	124700278
635	"ENSMUSG00000039701"	"Usp53"	chr3	-	122961154	122961432	122961154	122961237	122961318	122961432
638	"ENSMUSG00000049606"	"Zfp644"	chr5	-	106635609	106638635	106635609	106636323	106636416	106638635
647	"ENSMUSG00000026201"	"Stk16"	chr1	+	75212599	75213006	75212599	75212733	75212885	75213006
648	"ENSMUSG00000026082"	"Rev1"	chr1	-	38074314	38075023	38074314	38074443	38074898	38075023
649	"ENSMUSG00000090841"	"Myl6"	chr10	-	128490860	128492136	128490860	128491033	128492058	128492136
686	"ENSMUSG00000043866"	"Taf10"	chr7	-	105743225	105743492	105743225	105743340	105743427	105743492
699	"ENSMUSG00000024866"	"Acy3"	chr19	+	3988137	3988505	3988137	3988231	3988397	3988505
757	"ENSMUSG00000024661"	"Fth1"	chr19	+	9982703	9984327	9982703	9982983	9984252	9984327
767	"ENSMUSG00000010608"	"Rbm25"	chr12	+	83660594	83664259	83660594	83660678	83663978	83664259
770	"ENSMUSG00000038412"	"Higd1a"	chr9	-	121848562	121850322	121848562	121849689	121850187	121850322
796	"ENSMUSG00000001062"	"Vps9d1"	chr8	-	123248153	123248676	123248153	123248206	123248613	123248676
805	"ENSMUSG00000037720"	"Tmem33"	chr5	+	67260695	67261033	67260695	67260806	67260963	67261033
806	"ENSMUSG00000037720"	"Tmem33"	chr5	+	67286095	67291461	67286095	67286216	67287009	67291461
830	"ENSMUSG00000027371"	"Fahd2a"	chr2	-	127438112	127438569	127438112	127438272	127438509	127438569
838	"ENSMUSG00000034255"	"Arhgap27"	chr11	-	103338306	103338755	103338306	103338397	103338687	103338755
843	"ENSMUSG00000005625"	"Psmd4"	chr3	-	95033632	95034026	95033632	95033764	95033908	95034026
844	"ENSMUSG00000005625"	"Psmd4"	chr3	-	95033632	95034026	95033632	95033764	95033917	95034026
848	"ENSMUSG00000026927"	"Entr1"	chr2	-	26385497	26386063	26385497	26385609	26385989	26386063
853	"ENSMUSG00000025410"	"Dctn2"	chr10	+	127277694	127278222	127277694	127277772	127277866	127278222
854	"ENSMUSG00000025410"	"Dctn2"	chr10	+	127277866	127278222	127277866	127277938	127278119	127278222
889	"ENSMUSG00000025512"	"Chid1"	chr7	-	141522608	141527705	141522608	141522701	141527598	141527705
922	"ENSMUSG00000038762"	"Abcf1"	chr17	-	35963125	35963392	35963125	35963236	35963320	35963392
926	"ENSMUSG00000026309"	"Ilkap"	chr1	-	91387214	91388464	91387214	91387341	91388344	91388464
927	"ENSMUSG00000026309"	"Ilkap"	chr1	-	91387214	91388464	91387214	91387341	91388354	91388464
946	"ENSMUSG00000029267"	"Mtf2"	chr5	+	108080824	108081023	108080824	108080841	108080921	108081023
961	"ENSMUSG00000002395"	"Use1"	chr8	+	71367643	71367848	71367643	71367693	71367769	71367848
962	"ENSMUSG00000002395"	"Use1"	chr8	+	71368849	71369303	71368849	71368877	71369131	71369303
963	"ENSMUSG00000021123"	"Rdh12"	chr12	+	79211387	79212757	79211387	79211543	79212652	79212757
964	"ENSMUSG00000021123"	"Rdh12"	chr12	+	79211387	79212757	79211387	79211543	79212688	79212757
974	"ENSMUSG00000028975"	"Pex14"	chr4	-	148967523	148970635	148967523	148967626	148970549	148970635
995	"ENSMUSG00000029860"	"Zyx"	chr6	+	42357851	42358392	42357851	42357985	42358168	42358392
999	"ENSMUSG00000055024"	"Ep300"	chr15	+	81639740	81640141	81639740	81639891	81639994	81640141
1025	"ENSMUSG00000025159"	"Mms19"	chr19	-	41945732	41947103	41945732	41945815	41946916	41947103
1036	"ENSMUSG00000047617"	"Paxx"	chr2	-	25460008	25460357	25460008	25460074	25460166	25460357
1065	"ENSMUSG00000030890"	"Ilk"	chr7	+	105741373	105741707	105741373	105741483	105741579	105741707
1079	"ENSMUSG00000034771"	"Tle2"	chr10	+	81580256	81580667	81580256	81580298	81580483	81580667
1080	"ENSMUSG00000034771"	"Tle2"	chr10	+	81580256	81580667	81580256	81580331	81580483	81580667
1085	"ENSMUSG00000026791"	"Slc2a8"	chr2	-	32974837	32976280	32974837	32974983	32976136	32976280
1086	"ENSMUSG00000026791"	"Slc2a8"	chr2	-	32981360	32981883	32981360	32981567	32981720	32981883
1113	"ENSMUSG00000024442"	"Dele1"	chr18	+	38252820	38254069	38252820	38252965	38253907	38254069
1119	"ENSMUSG00000020250"	"Txnrd1"	chr10	+	82879205	82879865	82879205	82879348	82879749	82879865
1121	"ENSMUSG00000049643"	"2310022A10Rik"	chr7	+	27580336	27582099	27580336	27580691	27581350	27582099
1126	"ENSMUSG00000027465"	"Tbc1d20"	chr2	+	152307988	152308431	152307988	152308175	152308329	152308431
1138	"ENSMUSG00000020184"	"Mdm2"	chr10	-	117694904	117696439	117694904	117695068	117696380	117696439
1150	"ENSMUSG00000053453"	"Thoc7"	chr14	-	13953410	13954656	13953410	13953538	13954538	13954656
1151	"ENSMUSG00000053453"	"Thoc7"	chr14	-	13953410	13954656	13953410	13953538	13954565	13954656
1176	"ENSMUSG00000015488"	"Cacfd1"	chr2	+	27018887	27021089	27018887	27018979	27020020	27021089
1196	"ENSMUSG00000072591"	"Fzd10os"	chr5	-	128585271	128585406	128585271	128585350	128585354	128585406
1203	"ENSMUSG00000029060"	"Mib2"	chr4	-	155655521	155656305	155655521	155655700	155656071	155656305
1207	"ENSMUSG00000025237"	"Parp6"	chr9	+	59641023	59641810	59641023	59641096	59641740	59641810
1220	"ENSMUSG00000028455"	"Stoml2"	chr4	-	43028937	43029358	43028937	43029066	43029278	43029358
1221	"ENSMUSG00000009741"	"Ubp1"	chr9	+	113955962	113956813	113955962	113956068	113956706	113956813
1235	"ENSMUSG00000046032"	"Snx12"	chrX	-	101211958	101213864	101211958	101212346	101213773	101213864
1237	"ENSMUSG00000006301"	"Tmbim1"	chr1	-	74291430	74291734	74291430	74291468	74291694	74291734
1238	"ENSMUSG00000006301"	"Tmbim1"	chr1	-	74291694	74292888	74291694	74291734	74292834	74292888
1246	"ENSMUSG00000038520"	"Tbc1d17"	chr7	-	44841982	44842300	44841982	44842099	44842185	44842300
1247	"ENSMUSG00000038520"	"Tbc1d17"	chr7	-	44841982	44842300	44841982	44842099	44842202	44842300
1255	"ENSMUSG00000030763"	"Lcmt1"	chr7	+	123421537	123422798	123421537	123421639	123422706	123422798
1259	"ENSMUSG00000021235"	"Coq6"	chr12	+	84370255	84371031	84370255	84370354	84370923	84371031
1260	"ENSMUSG00000021235"	"Coq6"	chr12	+	84370255	84371031	84370255	84370386	84370923	84371031
1269	"ENSMUSG00000001909"	"Trmt1"	chr8	+	84695427	84696975	84695427	84695540	84696826	84696975
1272	"ENSMUSG00000098234"	"Snhg6"	chr1	-	9942024	9942391	9942024	9942149	9942322	9942391
1289	"ENSMUSG00000031835"	"Mbtps1"	chr8	-	119538843	119541694	119538843	119538960	119541584	119541694
1290	"ENSMUSG00000019194"	"Scn1b"	chr7	-	31116523	31117295	31116523	31117136	31117223	31117295
1291	"ENSMUSG00000005299"	"Letm1"	chr5	-	33745015	33746374	33745015	33745203	33746239	33746374
1309	"ENSMUSG00000021493"	"Pdlim7"	chr13	-	55507329	55507624	55507329	55507366	55507487	55507624
1310	"ENSMUSG00000047394"	"Odf3b"	chr15	-	89377448	89377872	89377448	89377589	89377731	89377872
1346	"ENSMUSG00000031532"	"Saraf"	chr8	+	34167718	34168611	34167718	34167857	34168456	34168611
1375	"ENSMUSG00000054021"	"Sirt5"	chr13	+	43385497	43387656	43385497	43385613	43387049	43387656
1393	"ENSMUSG00000025962"	"Fastkd2"	chr1	+	63735462	63735968	63735462	63735571	63735844	63735968
1405	"ENSMUSG00000026672"	"Optn"	chr2	-	5020641	5021481	5020641	5021228	5021322	5021481
1436	"ENSMUSG00000074578"	"Zfas1"	chr2	+	167065158	167065480	167065158	167065217	167065312	167065480
1437	"ENSMUSG00000074578"	"Zfas1"	chr2	+	167065158	167065480	167065158	167065217	167065433	167065480
1438	"ENSMUSG00000074578"	"Zfas1"	chr2	+	167065433	167065862	167065433	167065480	167065686	167065862
1454	"ENSMUSG00000026269"	"Rnpepl1"	chr1	+	92916710	92917746	92916710	92916946	92917146	92917746
1455	"ENSMUSG00000026269"	"Rnpepl1"	chr1	+	92916710	92917746	92916710	92916946	92917633	92917746
1457	"ENSMUSG00000026269"	"Rnpepl1"	chr1	+	92918017	92919103	92918017	92918126	92918872	92919103
1458	"ENSMUSG00000026269"	"Rnpepl1"	chr1	+	92918017	92919103	92918017	92918126	92918905	92919103
1459	"ENSMUSG00000026269"	"Rnpepl1"	chr1	+	92918017	92919103	92918017	92918126	92918937	92919103
1462	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6345576	6345836	6345576	6345610	6345727	6345836
1473	"ENSMUSG00000079109"	"Pms2"	chr5	+	143928098	143929042	143928098	143928266	143928941	143929042
1495	"ENSMUSG00000035629"	"Rubcn"	chr16	-	32842997	32843531	32842997	32843188	32843230	32843531
1503	"ENSMUSG00000031641"	"Cbr4"	chr8	+	61489939	61491678	61489939	61490060	61491544	61491678
1508	"ENSMUSG00000023764"	"Sfi1"	chr11	-	3134625	3135542	3134625	3134730	3135282	3135542
1520	"ENSMUSG00000024160"	"Spsb3"	chr17	+	24890832	24891136	24890832	24890935	24891010	24891136
1525	"ENSMUSG00000025155"	"Dus1l"	chr11	-	120793027	120793946	120793027	120793110	120793833	120793946
1527	"ENSMUSG00000022556"	"Hsf1"	chr15	+	76500130	76500336	76500130	76500196	76500266	76500336
1535	"ENSMUSG00000002831"	"Plin4"	chr17	-	56103416	56107374	56103416	56105501	56106095	56107374
1536	"ENSMUSG00000002831"	"Plin4"	chr17	-	56103416	56107374	56103416	56105522	56106116	56107374
1571	"ENSMUSG00000043716"	"Rpl7"	chr1	-	16103167	16103684	16103167	16103334	16103509	16103684
1574	"ENSMUSG00000024911"	"Fibp"	chr19	+	5463786	5464215	5463786	5463850	5464128	5464215
1586	"ENSMUSG00000026869"	"Psmd5"	chr2	-	34865526	34866095	34865526	34865655	34865981	34866095
1604	"ENSMUSG00000042726"	"Trafd1"	chr5	-	121373137	121374067	121373137	121373474	121373946	121374067
1605	"ENSMUSG00000042726"	"Trafd1"	chr5	-	121375015	121375872	121375015	121375246	121375795	121375872
