ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118577141	118577228	118568963	118569039	118581848	118582117
3	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144923905	144924031	144918650	144918794	144927134	144927639
4	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144923905	144924031	144918650	144918794	144927134	144927645
5	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374377	38362208	38363147	38377654	38378216
6	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374236	38362244	38363147	38377654	38378216
8	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50183709	50183871	50194525	50194728	50180590	50180659	50196513	50196558
9	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119344508	119346469	119346568	119344172	119344252	119347729	119347810
11	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70247573	70247719	70266629	70266754	70245852	70245992	70267308	70267506
12	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70256359	70256471	70266629	70266754	70247573	70247719	70267308	70267506
13	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111125	23111263	23111502	23111592	23110579	23110723	23111816	23111896
16	"ENSMUSG00000024789"	"Jak2"	chr19	+	29288673	29288801	29291166	29291301	29287900	29288087	29294855	29294943
19	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83730110	83730257	83734295	83734352	83729381	83729525	83741106	83741169
20	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83734008	83734125	83734295	83734352	83729381	83729525	83741106	83741169
24	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109519917	109519993	109520467	109520642	109519584	109519648	109521600	109522367
26	"ENSMUSG00000033065"	"Pfkm"	chr15	+	98125025	98125090	98125549	98125613	98123795	98123921	98126303	98126453
27	"ENSMUSG00000033065"	"Pfkm"	chr15	+	98125549	98125613	98126303	98126453	98125025	98125090	98126852	98126923
30	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010003	98010376	98011342	98011497	98009857	98009916	98011865	98011942
31	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010295	98010376	98011342	98011497	98009857	98009916	98011865	98011942
33	"ENSMUSG00000018412"	"Kansl1"	chr11	-	104378684	104378826	104423921	104425293	104357480	104357596	104441724	104442291
34	"ENSMUSG00000018412"	"Kansl1"	chr11	-	104378684	104378826	104423921	104425293	104357480	104357596	104467638	104467752
35	"ENSMUSG00000027667"	"Zfp639"	chr3	+	32514383	32514454	32515283	32515352	32513000	32513192	32517028	32517139
36	"ENSMUSG00000026159"	"Agfg1"	chr1	+	82880007	82880127	82880746	82880818	82876170	82876324	82882227	82882437
39	"ENSMUSG00000020740"	"Gga3"	chr11	-	115591629	115591753	115592431	115592530	115591262	115591366	115594705	115594781
40	"ENSMUSG00000038615"	"Nfe2l1"	chr11	-	96821250	96821409	96822103	96822319	96817413	96820516	96827197	96828223
42	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67031028	67031098	67031451	67031514	67028847	67029742	67031950	67032026
44	"ENSMUSG00000020955"	"Ap4s1"	chr12	+	51720635	51720722	51722979	51723048	51716941	51717150	51730887	51730899
45	"ENSMUSG00000037151"	"Lrrc20"	chr10	+	61482335	61482482	61527059	61527209	61475800	61475889	61548047	61548215
46	"ENSMUSG00000037151"	"Lrrc20"	chr10	+	61527059	61527209	61548047	61548215	61482335	61482482	61580129	61582791
49	"ENSMUSG00000033365"	"Ipo13"	chr4	-	117895211	117895301	117895419	117895478	117894743	117894925	117895562	117895629
50	"ENSMUSG00000031657"	"Heatr3"	chr8	+	88161877	88161966	88164887	88165031	88158128	88158265	88166995	88167172
51	"ENSMUSG00000031657"	"Heatr3"	chr8	+	88164887	88165031	88166995	88167172	88161517	88161966	88170858	88172027
52	"ENSMUSG00000079055"	"Slc8a3"	chr12	-	81214065	81214169	81216720	81216827	81204891	81205016	81314259	81316104
54	"ENSMUSG00000079055"	"Slc8a3"	chr12	-	81216720	81216827	81314259	81316104	81204891	81205016	81332640	81333180
56	"ENSMUSG00000021794"	"Glud1"	chr14	+	34338759	34338883	34339926	34340018	34336495	34336576	34342118	34342181
61	"ENSMUSG00000052707"	"Tnrc6a"	chr7	+	123152163	123152185	123162493	123162877	123124667	123124715	123169535	123172118
64	"ENSMUSG00000030374"	"Strn4"	chr7	+	16831345	16831580	16832925	16833101	16831024	16831138	16833177	16833225
65	"ENSMUSG00000030374"	"Strn4"	chr7	+	16831464	16831580	16832925	16833101	16831024	16831138	16833177	16833225
66	"ENSMUSG00000030374"	"Strn4"	chr7	+	16831485	16831580	16832925	16833101	16831024	16831138	16833177	16833225
67	"ENSMUSG00000051730"	"Mettl5"	chr2	-	69879101	69879184	69881296	69881411	69873883	69873935	69885248	69885615
68	"ENSMUSG00000051730"	"Mettl5"	chr2	-	69880766	69880948	69881296	69881411	69873883	69873935	69885248	69885597
69	"ENSMUSG00000014932"	"Yes1"	chr5	+	32640330	32640603	32645007	32645107	32611170	32611375	32651656	32651755
70	"ENSMUSG00000028035"	"Dnajb4"	chr3	-	152195049	152195100	152208883	152208946	152193376	152193618	152209834	152210057
73	"ENSMUSG00000028416"	"Bag1"	chr4	-	40937131	40937194	40939076	40939184	40936397	40936676	40941524	40941638
74	"ENSMUSG00000028416"	"Bag1"	chr4	-	40939076	40939184	40941524	40941638	40937131	40937194	40943624	40943707
79	"ENSMUSG00000079557"	"March2"	chr17	-	33696036	33696246	33703012	33703208	33691514	33692153	33709744	33709972
80	"ENSMUSG00000079557"	"March2"	chr17	-	33696036	33696246	33703012	33703208	33691514	33692203	33709744	33709972
81	"ENSMUSG00000071347"	"C1qtnf9"	chr14	+	60772275	60772462	60777024	60777087	60768133	60768168	60779251	60780869
90	"ENSMUSG00000090626"	"Tex9"	chr9	-	72473657	72473792	72477736	72477910	72461855	72461990	72478339	72478422
92	"ENSMUSG00000026447"	"Pik3c2b"	chr1	+	133070317	133070418	133071173	133071328	133066211	133067229	133071601	133071722
97	"ENSMUSG00000021234"	"Fam161b"	chr12	-	84348276	84348376	84348605	84348770	84345316	84346935	84353799	84353927
98	"ENSMUSG00000038670"	"Mybpc2"	chr7	-	44509533	44509638	44509730	44509890	44508968	44509157	44511808	44511948
99	"ENSMUSG00000022265"	"Ank"	chr15	+	27562723	27562894	27564901	27565036	27557163	27557247	27567514	27567607
101	"ENSMUSG00000035258"	"Abi3bp"	chr16	+	56647024	56647099	56650710	56650770	56594461	56594536	56652136	56652217
104	"ENSMUSG00000028692"	"Akr1a1"	chr4	-	116640990	116641142	116641857	116641977	116639809	116640005	116645503	116645593
105	"ENSMUSG00000028692"	"Akr1a1"	chr4	-	116641857	116641977	116645503	116645593	116640990	116641142	116651338	116651396
107	"ENSMUSG00000046280"	"She"	chr3	+	89849367	89849673	89851608	89851750	89834143	89834270	89852366	89852486
108	"ENSMUSG00000035248"	"Tut7"	chr13	-	59778751	59778815	59779136	59779201	59772633	59772859	59782017	59782343
109	"ENSMUSG00000020634"	"Ubxn2a"	chr12	-	4885720	4885858	4891314	4891421	4883822	4883981	4894537	4894679
113	"ENSMUSG00000026240"	"Cops7b"	chr1	+	86589163	86589341	86592290	86592366	86582903	86583096	86596750	86596839
117	"ENSMUSG00000060450"	"Rnf14"	chr18	+	38313211	38313384	38314672	38314803	38309484	38309713	38316524	38317186
124	"ENSMUSG00000040112"	"Mrps35"	chr6	+	147055851	147055991	147060141	147060251	147048133	147048301	147061422	147061492
129	"ENSMUSG00000098789"	"Jmjd7"	chr2	+	120031306	120031402	120031574	120031651	120030815	120030872	120031840	120032000
130	"ENSMUSG00000032381"	"Ciao2a"	chr9	+	66133431	66133481	66136301	66136347	66132526	66132691	66138336	66138955
132	"ENSMUSG00000024135"	"Srbd1"	chr17	-	86102842	86103000	86109226	86109334	86099204	86099295	86115192	86115296
133	"ENSMUSG00000057897"	"Camk2b"	chr11	-	5976764	5976893	5977811	5977940	5972812	5972888	5979672	5979721
136	"ENSMUSG00000107478"	"Gm45234"	chr6	-	124749235	124749349	124749461	124749599	124746019	124747989	124749746	124749921
139	"ENSMUSG00000003992"	"Ssbp2"	chr13	+	91564609	91564694	91642301	91642391	91539334	91539396	91664117	91664177
143	"ENSMUSG00000000708"	"Kat2b"	chr17	+	53644613	53644736	53648746	53648883	53641192	53641299	53653021	53653230
144	"ENSMUSG00000061887"	"Ssbp3"	chr4	+	107009678	107009768	107028192	107028252	106915644	106915729	107030861	107030928
150	"ENSMUSG00000025871"	"4833439L19Rik"	chr13	-	54561692	54561871	54564184	54564272	54559197	54559324	54564514	54564621
164	"ENSMUSG00000052139"	"Babam2"	chr5	+	31702030	31702103	31730966	31731043	31698049	31698077	31785577	31785672
165	"ENSMUSG00000052139"	"Babam2"	chr5	+	31820477	31820672	31831084	31831159	31785577	31785672	31901054	31901164
166	"ENSMUSG00000039159"	"Ube2h"	chr6	-	30241371	30241424	30242537	30242577	30221667	30221796	30260928	30261003
167	"ENSMUSG00000027668"	"Mfn1"	chr3	+	32569487	32569684	32574233	32574368	32568256	32568409	32577062	32577353
168	"ENSMUSG00000057110"	"Cntrl"	chr2	+	35160520	35160661	35160790	35160917	35160247	35160378	35161928	35162093
