ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58565767	58565954	58565856	58565954	58557976	58558057	0	0,3,0	0,0,1	0,0,0	1,2,4	88	-1	1	nan	NA,1.0,-0.0	-0.0,-0.0,-0.0	0.5
7	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38373818	38374377	38373818	38374236	38377654	38378216	7	115,101,106	0,1,0	50,58,55	1,3,0	140	-1	nan	nan	1.0,-2.59,1.0	-0.556,-0.16,1.0	-0.291
11	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124873332	124873509	124873332	124873479	124874218	124874348	11	97,116,70	2,6,3	85,122,112	3,6,6	29	-1	nan	nan	2.487,-2.0,-4.118	-42.5,-2.346,-1.806	14.34
15	"ENSMUSG00000019539"	"Rcn3"	chr7	-	45092095	45092221	45092104	45092221	45091440	45091688	15	2,10,6	0,1,2	3,12,3	0,3,2	8	-1	nan	nan	1.0,5.0,-0.6	1.0,-1.0,-0.231	1.877
16	"ENSMUSG00000020486"	"Sept4"	chr11	+	87588717	87589085	87588717	87588852	87589174	87589276	16	34,42,33	4,5,2	23,22,30	0,2,4	232	-1	nan	nan	-0.038,-0.038,-0.077	1.0,-0.05,-0.033	-0.357
18	"ENSMUSG00000025007"	"Aldh18a1"	chr19	-	40574210	40574369	40574216	40574369	40573770	40573861	18	2,4,5	0,0,0	1,4,5	0,1,0	5	-1	nan	nan	1.0,1.0,1.0	1.0,-4.0,1.0	1.667
21	"ENSMUSG00000001524"	"Gtf2h4"	chr17	-	35671225	35671357	35671229	35671357	35670865	35670962	21	13,22,9	0,0,0	33,18,14	0,0,1	3	-1	1	nan	1.0,1.0,1.0	1.0,1.0,1.273	-0.091
24	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23107758	23107880	23107758	23107820	23108587	23108633	24	1,3,3	20,14,19	2,1,1	13,59,45	59	-1	nan	nan	-0.001,-0.004,-0.003	-0.003,-0.0,-0.0	-0.002
25	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111502	23111592	25	658,590,668	0,2,2	666,405,369	1,0,0	539	-1	nan	nan	1.0,-1.209,-1.629	5.244,1.0,1.0	-3.027
26	"ENSMUSG00000041890"	"Git2"	chr5	-	114743730	114743880	114743775	114743880	114739032	114739281	26	1,7,3	0,0,2	3,0,3	0,0,0	44	-1	1	nan	1.0,1.0,-0.035	1.0,NA,1.0	-0.345
27	"ENSMUSG00000022510"	"Trp63"	chr16	+	25866074	25866211	25866074	25866199	25868166	25868249	27	6,6,5	4,2,2	7,3,1	1,1,0	11	-1	nan	nan	-0.158,-0.375,-0.294	-1.75,-0.375,1.0	0.099
30	"ENSMUSG00000054770"	"Kctd18"	chr1	-	57965328	57965540	57965350	57965540	57963067	57963261	30	0,3,1	0,0,3	0,0,0	1,0,1	21	-1	1	nan	NA,1.0,-0.016	-0.0,NA,-0.0	0.492
31	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44158143	44158335	44158143	44158259	44158804	44158891	31	0,1,0	9,7,4	0,0,0	8,3,1	75	-1	nan	nan	-0.0,-0.002,-0.0	-0.0,-0.0,-0.0	-0.001
32	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44160976	44161109	44160976	44161037	44161809	44161953	32	2,1,3	6,8,1	1,2,2	7,6,1	71	-1	nan	nan	-0.005,-0.002,-0.044	-0.002,-0.005,-0.029	-0.005
33	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83734295	83734352	83734301	83734352	83734008	83734125	33	5,24,11	1,1,0	8,26,29	0,1,4	5	-1	nan	nan
36	"ENSMUSG00000052395"	"Rft1"	chr14	+	30676849	30676907	30676849	30676900	30677686	30677817	36	0,2,5	5,3,2	1,3,3	1,10,3	6	-1	nan	nan
37	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107770551	107770959	107770884	107770959	107769560	107769626	37	0,0,2	8,8,10	0,0,0	6,30,34	332	-1	1	nan
38	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26372730	26372825	26372758	26372825	26370832	26370880	38	0,2,2	1,1,0	3,3,2	2,5,3	27	-1	nan	nan
40	"ENSMUSG00000001604"	"Tcea3"	chr4	+	136254464	136254642	136254464	136254570	136255149	136255288	40	13,11,4	347,437,317	3,15,3	295,185,213	71	-1	nan	nan
48	"ENSMUSG00000026648"	"Dclre1c"	chr2	+	3437029	3437090	3437029	3437086	3437675	3437748	48	3,1,1	0,0,0	1,0,0	2,1,0	3	-1	1	nan
49	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109519584	109519993	109519584	109519648	109520467	109520642	49	508,515,977	0,0,0	469,613,534	1,0,0	344	-1	nan	nan
51	"ENSMUSG00000014856"	"Tmem208"	chr8	+	105328321	105328484	105328321	105328458	105328607	105328692	51	5,2,10	38,29,49	4,4,1	35,6,14	25	-1	nan	nan
54	"ENSMUSG00000036632"	"Alg5"	chr3	+	54738781	54738953	54738781	54738951	54739261	54739308	54	16,18,15	1,0,1	11,12,14	1,0,1	1	-1	1	nan
57	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010003	98010376	98010295	98010376	98009857	98009916	57	26,64,36	192,238,180	39,32,23	144,234,181	291	-1	1	nan
59	"ENSMUSG00000043940"	"Wdfy3"	chr5	-	101900013	101900249	101900058	101900249	101898426	101898561	59	0,0,0	1,4,3	1,3,1	7,3,5	44	-1	nan	nan
65	"ENSMUSG00000024818"	"Slc25a45"	chr19	+	5880084	5880160	5880084	5880156	5880439	5880625	65	0,0,0	4,1,0	0,0,1	0,5,3	3	-1	1	nan
68	"ENSMUSG00000031627"	"Irf2"	chr8	+	46739760	46739936	46739760	46739796	46793492	46793585	68	19,28,18	0,3,0	21,20,18	0,0,0	139	-1	nan	nan
70	"ENSMUSG00000036120"	"Rfxank"	chr8	-	70135535	70135631	70135565	70135631	70135290	70135391	70	3,6,3	14,10,24	3,3,2	5,6,8	29	-1	nan	nan
71	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186362	89186819	89186753	89186819	89186171	89186261	71	17,19,11	1,0,0	7,17,7	0,0,0	390	-1	nan	nan
72	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186362	89187243	89186955	89187243	89186171	89186261	72	17,17,10	0,0,3	7,16,6	0,0,0	592	-1	nan	nan
74	"ENSMUSG00000059495"	"Arhgef12"	chr9	-	43022810	43022872	43022814	43022872	43020604	43020783	74	0,2,1	3,17,6	8,1,3	20,13,18	3	-1	nan	nan
78	"ENSMUSG00000062190"	"Lancl2"	chr6	+	57737655	57737958	57737655	57737754	57739024	57739438	78	0,1,0	1,0,0	0,0,0	1,0,1	203	-1	1	nan
81	"ENSMUSG00000038954"	"Supt3"	chr17	+	45041215	45041386	45041215	45041306	45048281	45048392	81	5,8,6	0,0,1	4,4,4	0,0,0	79	-1	nan	nan
82	"ENSMUSG00000036825"	"Ssx2ip"	chr3	+	146404641	146404935	146404641	146404784	146417606	146417790	82	0,16,2	2,2,0	9,20,10	5,10,6	150	-1	nan	nan
