ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566907	118566979	118566958	118566979	118565556	118565667	0	13,2,0,2,4	217,146,168,146,155	2,5,7	115,170,158	-2	-1	0.583474061784	1.0	0.029,0.007,0.0,0.007,0.013	0.009,0.014,0.022	-0.004
4	"ENSMUSG00000021708"	"Rasgrf2"	chr13	-	91972180	91972288	91972180	91972285	91982593	91982856	4	1,1,0,3,1	4,4,15,1,5	0,5,2	2,2,2	-2	-1	0.0230546251734	0.286051958285	0.111,0.111,0.0,0.6,0.091	0.0,0.556,0.333	-0.114
6	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43514710	43516003	43514710	43514861	43518229	43518299	6	26736,19590,25208,20278,19764	46,46,83,80,47	15429,11774,8713	43,24,25	-2	-1	1	1.0	0.997,0.995,0.993,0.992,0.995	0.994,0.996,0.994	-0.0
7	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519226	43519297	7	5225,3874,5308,4103,4121	3,1,0,1,0	3181,1727,1314	11,4,4	-2	-1	1	1.0	0.999,0.999,1.0,1.0,1.0	0.993,0.995,0.994	0.006
9	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711702	120711895	120711702	120711756	120713692	120713738	9	7,13,9,7,5	0,1,2,2,1	3,13,14	3,0,0	-2	-1	0.52442387886	1.0	1.0,0.867,0.692,0.636,0.714	0.333,1.0,1.0	0.004
10	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701022	56702890	56702762	56702890	56696717	56696789	10	45,41,46,38,31	0,3,1,0,0	25,31,31	0,1,1	-2	-1	1	1.0	1.0,0.872,0.958,1.0,1.0	1.0,0.939,0.939	0.007
14	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919384	144919504	144918650	144918794	14	2,2,1,4,7	59,74,89,93,69	0,1,0	18,19,27	-2	-1	0.291331337544	1.0	0.017,0.013,0.006,0.021,0.048	0.0,0.026,0.0	0.012
15	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75725258	75725404	75725258	75725385	75725548	75725755	15	9,4,6,13,5	0,0,0,1,0	7,3,1	0,0,0	-2	-1	1	1.0	1.0,1.0,1.0,0.867,1.0	1.0,1.0,1.0	-0.027
16	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75725548	75725755	75725548	75725681	75726857	75727019	16	4,4,17,5,2	0,1,0,0,1	8,4,4	0,1,0	-2	-1	1	1.0	1.0,0.667,1.0,1.0,0.5	1.0,0.667,1.0	-0.056
17	"ENSMUSG00000048416"	"Mlf1"	chr3	+	67392839	67392975	67392891	67392975	67384550	67384698	17	14,10,12,12,3	50,33,24,33,37	18,10,16	74,73,24	-2	-1	0.943991173702	1.0	0.123,0.132,0.2,0.154,0.039	0.108,0.064,0.25	-0.011
