ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118577141	118577228	118568963	118569039	118581848	118582117	0	183,173,202	302,233,283	109,127,112	152,192,221	103	86	0.403518654415	0.838814402865	0.336,0.383,0.373	0.375,0.356,0.297	0.021
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297	2	122,93,143	37594,33925,23005	66,73,59	27159,17255,13412	75	75	1	1.0	0.003,0.003,0.006	0.002,0.004,0.004	0.001
3	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144923905	144924031	144918650	144918794	144927134	144927639	3	3,0,1	52,64,77	0,1,0	39,30,23	274	125	1	1.0	0.026,0.0,0.006	0.0,0.015,0.0	0.006
4	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144923905	144924031	144918650	144918794	144927134	144927645	4	25,37,31	52,64,77	18,19,27	39,30,23	119	125	0.176163625044	0.543353579656	0.336,0.378,0.297	0.327,0.399,0.552	-0.089
5	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374377	38362208	38363147	38377654	38378216	5	97,97,85	116,102,106	71,101,97	50,58,55	108	558	1.51764959788e-05	0.000901375457598	0.812,0.831,0.806	0.88,0.9,0.901	-0.077
6	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38373818	38374236	38362244	38363147	38377654	38378216	6	97,97,85	1,2,0	71,101,97	1,3,0	108	417	1	1.0	0.997,0.995,1.0	0.996,0.992,1.0	0.001
7	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50176876	50176918	50178388	50178520	50163421	50163649	50180175	50180275	7	57,59,54	130,154,105	64,22,17	143,83,76	41	131	0.118350410942	0.437176109515	0.583,0.55,0.622	0.588,0.459,0.417	0.097
8	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50183709	50183871	50194525	50194728	50180590	50180659	50196513	50196558	8	89,118,82	117,113,114	66,55,27	76,90,75	161	202	0.110432953278	0.421328721703	0.488,0.567,0.474	0.521,0.434,0.311	0.088
9	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119344508	119346469	119346568	119344172	119344252	119347729	119347810	9	1,2,2	103,78,65	3,3,6	76,77,83	42	98	0.0327450190471	0.207053105229	0.022,0.056,0.067	0.084,0.083,0.144	-0.055
10	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119348920	119349100	119349353	119349409	119348580	119348771	119349491	119349637	10	5,12,15	26,37,32	7,6,7	39,14,16	179	55	0.58813174535	1.0	0.056,0.091,0.126	0.052,0.116,0.118	-0.004
11	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70247573	70247719	70266629	70266754	70245852	70245992	70267308	70267506	11	21,20,12	18,22,11	32,22,18	5,6,8	124	145	6.82220555828e-05	0.00283633196085	0.577,0.515,0.561	0.882,0.811,0.725	-0.255
12	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70256359	70256471	70266629	70266754	70247573	70247719	70267308	70267506	12	21,20,12	24,27,16	32,22,19	14,25,24	124	111	0.229725166951	0.629378834661	0.439,0.399,0.402	0.672,0.441,0.415	-0.096
13	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111125	23111263	23111502	23111592	23110579	23110723	23111816	23111896	13	382,387,360	371,325,406	421,188,197	297,311,287	137	89	0.276018572484	0.694430992498	0.401,0.436,0.365	0.479,0.282,0.308	0.044
14	"ENSMUSG00000041890"	"Git2"	chr5	-	114739032	114739281	114743775	114743880	114733860	114733943	114745428	114745571	14	8,7,4	3,11,3	4,9,4	9,4,2	104	248	0.969288689682	1.0	0.864,0.603,0.761	0.515,0.843,0.827	0.014
16	"ENSMUSG00000024789"	"Jak2"	chr19	+	29288673	29288801	29291166	29291301	29287900	29288087	29294855	29294943	16	20,48,16	30,26,17	34,25,28	31,19,16	127	134	0.503523776852	0.921856503772	0.413,0.661,0.498	0.536,0.581,0.649	-0.065
17	"ENSMUSG00000032952"	"Ap4b1"	chr3	+	103817759	103817843	103818803	103818907	103814824	103815321	103820253	103820461	17	9,16,10	11,18,16	18,16,20	16,17,7	83	103	0.101780504194	0.40785240262	0.504,0.525,0.437	0.583,0.539,0.78	-0.145
